Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Yunzhangfang.com,https://www.crunchbase.com/funding_round/yunzhangfang-com-series-c--93ad00d7,Yunzhangfang.com,https://www.crunchbase.com/organization/yunzhangfang-com,Series C,300000000,CNY,43149325,2018-10-29
Series B - eRoad Software,https://www.crunchbase.com/funding_round/eroad-software-series-b--036cac07,eRoad Software,https://www.crunchbase.com/organization/eroad-software,Series B,,,,2018-10-26
Series D - GoEuro,https://www.crunchbase.com/funding_round/goeuro-series-d--0d6cd11a,GoEuro,https://www.crunchbase.com/organization/goeuro,Series D,150000000,USD,150000000,2018-10-23
Seed Round - Tortoise & Panda,https://www.crunchbase.com/funding_round/tortoise-panda-seed--081113ef,Tortoise & Panda,https://www.crunchbase.com/organization/tortoise-panda,Seed,,,,2018-10-12
Series F - Meicai,https://www.crunchbase.com/funding_round/meicai-series-f--d65c40e2,Meicai,https://www.crunchbase.com/organization/meicai,Series F,800000000,USD,800000000,2018-10-08
Series C - Cardekho,https://www.crunchbase.com/funding_round/cardekho-series-c--f867dbc3,Cardekho,https://www.crunchbase.com/organization/cardekho,Series C,75000000,USD,75000000,2018-10-05
Series A - Miniso,https://www.crunchbase.com/funding_round/miniso-series-a--8469bea9,Miniso,https://www.crunchbase.com/organization/miniso,Series A,1000000000,CNY,145583717,2018-10-01
Series D - Kaochong,https://www.crunchbase.com/funding_round/kaochong-series-d--098263d4,Kaochong,https://www.crunchbase.com/organization/kaochong,Series D,55000000,USD,55000000,2018-09-05
Series C - Jacobio Pharmaceuticals,https://www.crunchbase.com/funding_round/jacobio-pharmaceuticals-series-c--af910cea,Jacobio Pharmaceuticals,https://www.crunchbase.com/organization/jacobio-pharmaceuticals,Series C,55000000,USD,55000000,2018-08-30
Post-IPO Equity - China Biologic Products,https://www.crunchbase.com/funding_round/china-biologic-products-post-ipo-equity--92783072,China Biologic Products,https://www.crunchbase.com/organization/china-biologic-products,Post-IPO Equity,590000000,USD,590000000,2018-08-27
Venture Round - Urotronic,https://www.crunchbase.com/funding_round/urotronic-series-unknown--0f345959,Urotronic,https://www.crunchbase.com/organization/urotronic,Venture - Series Unknown,20000000,USD,20000000,2018-08-22
Series C - MydreamPlus,https://www.crunchbase.com/funding_round/mydream-series-c--e1e0b9f1,MydreamPlus,https://www.crunchbase.com/organization/mydream,Series C,120000000,USD,120000000,2018-08-13
Series A - Xuanyu Tech,https://www.crunchbase.com/funding_round/xuanyu-tech-series-a--21f73c40,Xuanyu Tech,https://www.crunchbase.com/organization/xuanyu-tech,Series A,,,,2018-08-10
Series A - Hui'an Jinke (Ahi Fintech),https://www.crunchbase.com/funding_round/hui-an-jinke-ahi-fintech-series-a--238e7f9a,Hui'an Jinke (Ahi Fintech),https://www.crunchbase.com/organization/hui-an-jinke-ahi-fintech,Series A,100000000,CNY,14626646,2018-08-08
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--250ae6c2,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,4000000000,CNY,584513319,2018-08-02
Series B - Xiangwushuo,https://www.crunchbase.com/funding_round/xiangwushuo-series-b--eb3c31d8,Xiangwushuo,https://www.crunchbase.com/organization/xiangwushuo,Series B,65000000,USD,65000000,2018-08-01
Series B - Omniome,https://www.crunchbase.com/funding_round/omniome-series-b--8ac37120,Omniome,https://www.crunchbase.com/organization/omniome,Series B,60000000,USD,60000000,2018-07-31
Series B - Gossamer Bio,https://www.crunchbase.com/funding_round/gossamer-bio-series-b--bdd0edda,Gossamer Bio,https://www.crunchbase.com/organization/gossamer-bio,Series B,230000000,USD,230000000,2018-07-23
Series A - Newtop100.com,https://www.crunchbase.com/funding_round/newtop100-com-series-a--8fa0baee,Newtop100.com,https://www.crunchbase.com/organization/newtop100-com,Series A,,,,2018-07-19
Series C - Antiva Biosciences,https://www.crunchbase.com/funding_round/hera-therapeutics-series-c--e5a202ef,Antiva Biosciences,https://www.crunchbase.com/organization/hera-therapeutics,Series C,15000000,USD,15000000,2018-07-10
Series C - Moretickets,https://www.crunchbase.com/funding_round/moretickets-series-c--d24a5ebf,Moretickets,https://www.crunchbase.com/organization/moretickets,Series C,60000000,USD,60000000,2018-07-10
Series B - Airwallex,https://www.crunchbase.com/funding_round/airwallex-series-b--9d885cab,Airwallex,https://www.crunchbase.com/organization/airwallex,Series B,80000000,USD,80000000,2018-07-03
Series C - I-Mab Biopharma,https://www.crunchbase.com/funding_round/i-mab-biopharma-series-c--fb99ed9f,I-Mab Biopharma,https://www.crunchbase.com/organization/i-mab-biopharma,Series C,220000000,USD,220000000,2018-06-29
Series B - Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/funding_round/hangzhou-just-biotherapeutics-just-china-series-b--0640dbf2,Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/organization/hangzhou-just-biotherapeutics-just-china,Series B,35000000,USD,35000000,2018-06-06
Series A - China Chengxin Credit,https://www.crunchbase.com/funding_round/china-chengxin-credit-series-a--7d69c6c5,China Chengxin Credit,https://www.crunchbase.com/organization/china-chengxin-credit,Series A,450000000,CNY,70437967,2018-05-23
Series C - Grail,https://www.crunchbase.com/funding_round/grail-series-c--70330722,Grail,https://www.crunchbase.com/organization/grail,Series C,300000000,USD,300000000,2018-05-21
Series B - BorderX Lab,https://www.crunchbase.com/funding_round/borderx-lab-series-b--3ef5c047,BorderX Lab,https://www.crunchbase.com/organization/borderx-lab,Series B,20000000,USD,20000000,2018-05-10
Series B - CStone Pharmaceuticals,https://www.crunchbase.com/funding_round/cstone-pharmaceuticals-series-b--a63f5516,CStone Pharmaceuticals,https://www.crunchbase.com/organization/cstone-pharmaceuticals,Series B,260000000,USD,260000000,2018-05-09
Series E - Innovent Biologics,https://www.crunchbase.com/funding_round/innovent-biologics-series-e--9d419fb6,Innovent Biologics,https://www.crunchbase.com/organization/innovent-biologics,Series E,150000000,USD,150000000,2018-04-27
Private Equity Round - Manbang Group,https://www.crunchbase.com/funding_round/manbang-group-private-equity--dd36b7fb,Manbang Group,https://www.crunchbase.com/organization/manbang-group,Private Equity,1900000000,USD,1900000000,2018-04-24
Series F - Constellation Pharmaceuticals,https://www.crunchbase.com/funding_round/constellation-pharmaceuticals-series-f--6064f195,Constellation Pharmaceuticals,https://www.crunchbase.com/organization/constellation-pharmaceuticals,Series F,100000000,USD,100000000,2018-04-09
Series C - Arvinas,https://www.crunchbase.com/funding_round/arvinas-series-c--6c6d556d,Arvinas,https://www.crunchbase.com/organization/arvinas,Series C,55000000,USD,55000000,2018-04-04
Series B - TCR2,https://www.crunchbase.com/funding_round/tcr2-series-b--67983a26,TCR2,https://www.crunchbase.com/organization/tcr2,Series B,125000000,USD,125000000,2018-03-21
Private Equity Round - Ancient Nutrition,https://www.crunchbase.com/funding_round/ancient-nutrition-private-equity--c5439790,Ancient Nutrition,https://www.crunchbase.com/organization/ancient-nutrition,Private Equity,103000000,USD,103000000,2018-03-08
