Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Xingkeduo,https://www.crunchbase.com/funding_round/xingkeduo-series-b--967ea36c,Xingkeduo,https://www.crunchbase.com/organization/xingkeduo,Series B,100000000,CNY,14514630,2018-10-11
Series B - Fumi Technology,https://www.crunchbase.com/funding_round/fumi-technology-series-b--4797b500,Fumi Technology,https://www.crunchbase.com/organization/fumi-technology,Series B,200000000,CNY,29531192,2018-07-19
Series D - Wecash,https://www.crunchbase.com/funding_round/wecash-series-d--0a81787c,Wecash,https://www.crunchbase.com/organization/wecash,Series D,160000000,USD,160000000,2018-03-01
Series A - 52toys,https://www.crunchbase.com/funding_round/52toys-series-a--5f413180,52toys,https://www.crunchbase.com/organization/52toys,Series A,15800000,USD,15800000,2018-03-13
Series A - Pocket Noir,https://www.crunchbase.com/funding_round/pocket-noir-series-a--48e66831,Pocket Noir,https://www.crunchbase.com/organization/pocket-noir,Series A,,,,2018-04-18
Series B - MLog Tianqijia,https://www.crunchbase.com/funding_round/mlog-tianqijia-series-b--b56319a4,MLog Tianqijia,https://www.crunchbase.com/organization/mlog-tianqijia,Series B,18000000,USD,18000000,2018-01-12
Venture Round - Demiurge Technologies AG,https://www.crunchbase.com/funding_round/demiurge-technologies-ag-series-unknown--640fe8c4,Demiurge Technologies AG,https://www.crunchbase.com/organization/demiurge-technologies-ag,Venture - Series Unknown,9500000,USD,9500000,2015-12-25
Series A - ofo,https://www.crunchbase.com/funding_round/ofo-series-a--0ef759b3,ofo,https://www.crunchbase.com/organization/ofo,Series A,15000000,CNY,2280928,2016-02-01
Series C - Wecash,https://www.crunchbase.com/funding_round/wecash-series-c--992bad24,Wecash,https://www.crunchbase.com/organization/wecash,Series C,80000000,USD,80000000,2017-04-05
Series A - Fumi Technology,https://www.crunchbase.com/funding_round/fumi-technology-series-a--e88daf16,Fumi Technology,https://www.crunchbase.com/organization/fumi-technology,Series A,100000000,CNY,14502001,2017-05-04
Seed Round - ofo,https://www.crunchbase.com/funding_round/ofo-seed--d45f438e,ofo,https://www.crunchbase.com/organization/ofo,Seed,9000000,CNY,1406447,2015-12-01
Series C - Lagou,https://www.crunchbase.com/funding_round/lagou-series-c--2cbcbd44,Lagou,https://www.crunchbase.com/organization/lagou,Series C,34000000,USD,34000000,2016-03-24
