Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Terminus Technologies,https://www.crunchbase.com/funding_round/terminus-technologies-co-series-b--9be081e0,Terminus Technologies,https://www.crunchbase.com/organization/terminus-technologies-co,Series B,1200000000,CNY,172811059,2018-10-25
Series B - Letus Legend,https://www.crunchbase.com/funding_round/letus-legend-series-b--de671dd5,Letus Legend,https://www.crunchbase.com/organization/letus-legend,Series B,300000000,CNY,43543892,2018-10-11
Angel Round - GV20 Oncotherapy,https://www.crunchbase.com/funding_round/gv20-oncotherapy-angel--c7b5a2ba,GV20 Oncotherapy,https://www.crunchbase.com/organization/gv20-oncotherapy,Angel,,,,2018-10-08
Series A - The Vetreska Pet Lifestyle Company,https://www.crunchbase.com/funding_round/the-vetreska-pet-lifestyle-company-series-a--0318463c,The Vetreska Pet Lifestyle Company,https://www.crunchbase.com/organization/the-vetreska-pet-lifestyle-company,Series A,,,,2018-09-19
Series B - Shanghai AllDream Network Technology Co.,https://www.crunchbase.com/funding_round/shanghai-alldream-network-technology-co-series-b--ea5d9e45,Shanghai AllDream Network Technology Co.,https://www.crunchbase.com/organization/shanghai-alldream-network-technology-co,Series B,17500000,USD,17500000,2018-09-12
Angel Round - Ringle.AI,https://www.crunchbase.com/funding_round/ringle-ai-angel--7653dd5f,Ringle.AI,https://www.crunchbase.com/organization/ringle-ai,Angel,30000000,USD,30000000,2018-09-05
Series A - Qingmang,https://www.crunchbase.com/funding_round/qingmang-series-a--27387846,Qingmang,https://www.crunchbase.com/organization/qingmang,Series A,,,,2018-08-31
Series B - Plum,https://www.crunchbase.com/funding_round/plum-8-series-b--7b9c7191,Plum,https://www.crunchbase.com/organization/plum-8,Series B,,,,2018-08-27
Series B - Plum,https://www.crunchbase.com/funding_round/plum-8-series-b--d1dcd070,Plum,https://www.crunchbase.com/organization/plum-8,Series B,,,,2018-08-27
Series D - Maimai,https://www.crunchbase.com/funding_round/maimai-series-d--72621136,Maimai,https://www.crunchbase.com/organization/maimai,Series D,200000000,USD,200000000,2018-08-21
Seed Round - Jumeng,https://www.crunchbase.com/funding_round/jumeng-seed--4541a154,Jumeng,https://www.crunchbase.com/organization/jumeng,Seed,,,,2018-08-20
Series C - Redcore Times,https://www.crunchbase.com/funding_round/allmobilize-series-c--3e9daa35,Redcore Times,https://www.crunchbase.com/organization/allmobilize,Series C,250000000,CNY,36315303,2018-08-16
Venture Round - The Dexon Foundation(DEXON),https://www.crunchbase.com/funding_round/the-dexon-foundation-dexon-series-unknown--513efe19,The Dexon Foundation(DEXON),https://www.crunchbase.com/organization/the-dexon-foundation-dexon,Venture - Series Unknown,20000000,USD,20000000,2018-08-13
Series B - Jingkang (Recovery Plus),https://www.crunchbase.com/funding_round/jingkang-recovery-plus-series-b--7955365d,Jingkang (Recovery Plus),https://www.crunchbase.com/organization/jingkang-recovery-plus,Series B,40000000,CNY,5804799,2018-08-13
Series B - Shangyi Information Technology,https://www.crunchbase.com/funding_round/shangyi-information-technology-series-b--f11e911b,Shangyi Information Technology,https://www.crunchbase.com/organization/shangyi-information-technology,Series B,,,,2018-08-13
Series C - MagMode,https://www.crunchbase.com/funding_round/magmode-series-c--309496f4,MagMode,https://www.crunchbase.com/organization/magmode,Series C,30000000,USD,30000000,2018-08-10
Series A - EdiGENE,https://www.crunchbase.com/funding_round/edigene-series-a--146ab8b1,EdiGENE,https://www.crunchbase.com/organization/edigene,Series A,15000000,USD,15000000,2018-08-08
Series A - iQiyi Sports,https://www.crunchbase.com/funding_round/iqiyi-sports-series-a--c9f299fc,iQiyi Sports,https://www.crunchbase.com/organization/iqiyi-sports,Series A,500000000,CNY,73133233,2018-08-08
Angel Round - Kuaipeilian,https://www.crunchbase.com/funding_round/kuaipeilian-angel--45fea09a,Kuaipeilian,https://www.crunchbase.com/organization/kuaipeilian,Angel,50000000,CNY,7320965,2018-08-03
Series B - Xiangwushuo,https://www.crunchbase.com/funding_round/xiangwushuo-series-b--eb3c31d8,Xiangwushuo,https://www.crunchbase.com/organization/xiangwushuo,Series B,65000000,USD,65000000,2018-08-01
Series A - Qeebike,https://www.crunchbase.com/funding_round/qeebike-series-a--e8c2d00b,Qeebike,https://www.crunchbase.com/organization/qeebike,Series A,10000000,USD,10000000,2018-07-31
Series A - Meiwo,https://www.crunchbase.com/funding_round/meiwo-series-a--0ff7e9d7,Meiwo,https://www.crunchbase.com/organization/meiwo,Series A,70000000,CNY,10274324,2018-07-31
Series A - Tikin Media,https://www.crunchbase.com/funding_round/tikin-media-series-a--056e80b3,Tikin Media,https://www.crunchbase.com/organization/tikin-media,Series A,120000000,CNY,17616747,2018-07-27
Venture Round - MoonX,https://www.crunchbase.com/funding_round/moonx-series-unknown--84e14320,MoonX,https://www.crunchbase.com/organization/moonx,Venture - Series Unknown,29000000,USD,29000000,2018-07-26
Series A - Meng Fan Japanese,https://www.crunchbase.com/funding_round/meng-fan-japanese-series-a--bbe305a8,Meng Fan Japanese,https://www.crunchbase.com/organization/meng-fan-japanese,Series A,,,,2018-07-26
Series B - Haoyiku,https://www.crunchbase.com/funding_round/haoyiku-series-b--b5ff3397,Haoyiku,https://www.crunchbase.com/organization/haoyiku,Series B,,,,2018-07-17
Series B - TMiRob,https://www.crunchbase.com/funding_round/tmirob-series-b--78f0beea,TMiRob,https://www.crunchbase.com/organization/tmirob,Series B,30000000,USD,30000000,2018-07-17
Series A - Orange Dental,https://www.crunchbase.com/funding_round/orange-dental-series-a--d0cf7b06,Orange Dental,https://www.crunchbase.com/organization/orange-dental,Series A,,,,2018-07-16
Series B - ASR Microelectronics,https://www.crunchbase.com/funding_round/asr-microelectronics-series-b--4f2053d3,ASR Microelectronics,https://www.crunchbase.com/organization/asr-microelectronics,Series B,100000000,USD,100000000,2018-07-13
Series B - Yinchengku,https://www.crunchbase.com/funding_round/yinchengku-series-b--6dc34da8,Yinchengku,https://www.crunchbase.com/organization/yinchengku,Series B,39000000,USD,39000000,2018-07-06
Series A - SoulSense,https://www.crunchbase.com/funding_round/soulsense-series-a--60d52026,SoulSense,https://www.crunchbase.com/organization/soulsense,Series A,,,,2018-07-04
Series A - DEEP Informatics,https://www.crunchbase.com/funding_round/deep-informatics-series-a--a1823946,DEEP Informatics,https://www.crunchbase.com/organization/deep-informatics,Series A,,,,2018-07-03
Series D - High Fidelity,https://www.crunchbase.com/funding_round/high-fidelity-series-d--df359511,High Fidelity,https://www.crunchbase.com/organization/high-fidelity,Series D,35000000,USD,35000000,2018-06-28
Series A - Dtwave,https://www.crunchbase.com/funding_round/dtwave-series-a--351c1427,Dtwave,https://www.crunchbase.com/organization/dtwave,Series A,22000000,USD,22000000,2018-06-21
Series B - Huohua Siwei,https://www.crunchbase.com/funding_round/huohua-siwei-series-b--3f5e2d90,Huohua Siwei,https://www.crunchbase.com/organization/huohua-siwei,Series B,20000000,USD,20000000,2018-06-20
Series A - Haoyiku,https://www.crunchbase.com/funding_round/haoyiku-series-a--4f2371cb,Haoyiku,https://www.crunchbase.com/organization/haoyiku,Series A,100000000,CNY,15449741,2018-06-20
Series B - Agora.io,https://www.crunchbase.com/funding_round/agora-io-series-b--cff11033,Agora.io,https://www.crunchbase.com/organization/agora-io,Series B,30000000,USD,30000000,2018-06-08
Series B - EasyLinkin,https://www.crunchbase.com/funding_round/easylinkin-series-b--62fd22e5,EasyLinkin,https://www.crunchbase.com/organization/easylinkin,Series B,36000000,USD,36000000,2018-06-07
Series A - imToken,https://www.crunchbase.com/funding_round/imtoken-series-a--ecb4b04a,imToken,https://www.crunchbase.com/organization/imtoken,Series A,10000000,USD,10000000,2018-05-31
Series A - Easy Transfer,https://www.crunchbase.com/funding_round/easytransfer-series-a--a536623b,Easy Transfer,https://www.crunchbase.com/organization/easytransfer,Series A,,,,2018-05-31
Series A - Yogo Robot,https://www.crunchbase.com/funding_round/yogo-robot-series-a--befef226,Yogo Robot,https://www.crunchbase.com/organization/yogo-robot,Series A,,,,2018-05-31
Series A - Microvcard,https://www.crunchbase.com/funding_round/microvcard-series-a--742b42bc,Microvcard,https://www.crunchbase.com/organization/microvcard,Series A,,,,2018-05-30
Series B - SpeakIn,https://www.crunchbase.com/funding_round/speakin-series-b--8b527ee6,SpeakIn,https://www.crunchbase.com/organization/speakin,Series B,100000000,CNY,15627480,2018-05-28
Series A - Orange Dental,https://www.crunchbase.com/funding_round/orange-dental-series-a--c1ef4a93,Orange Dental,https://www.crunchbase.com/organization/orange-dental,Series A,,,,2018-05-21
Series A - Jiatui Technology,https://www.crunchbase.com/funding_round/jiatui-technology-series-a--209c1e4b,Jiatui Technology,https://www.crunchbase.com/organization/jiatui-technology,Series A,168000000,CNY,26340132,2018-05-18
Series A - OneMena,https://www.crunchbase.com/funding_round/onemena-series-a--e21f461a,OneMena,https://www.crunchbase.com/organization/onemena,Series A,,,,2018-05-17
Series E - Circle,https://www.crunchbase.com/funding_round/circle-2-series-e--99fa3cee,Circle,https://www.crunchbase.com/organization/circle-2,Series E,110000000,USD,110000000,2018-05-15
