Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Eyebright,https://www.crunchbase.com/funding_round/eyebright-series-c--0fd4c2f0,Eyebright,https://www.crunchbase.com/organization/eyebright,Series C,,,,2018-04-18
Series A - Asking Data,https://www.crunchbase.com/funding_round/asking-data-series-a--7bfaf07e,Asking Data,https://www.crunchbase.com/organization/asking-data,Series A,3000000,USD,3000000,2017-10-30
Series A - V-Key,https://www.crunchbase.com/funding_round/v-key-series-a--acb5d145,V-Key,https://www.crunchbase.com/organization/v-key,Series A,4000000,USD,4000000,2012-09-25
Series C - Vobile,https://www.crunchbase.com/funding_round/vobile-series-c--1257fcf1,Vobile,https://www.crunchbase.com/organization/vobile,Series C,11250000,USD,11250000,2013-12-01
Series B - V-Key,https://www.crunchbase.com/funding_round/v-key-series-b--db252cbf,V-Key,https://www.crunchbase.com/organization/v-key,Series B,12000000,USD,12000000,2014-11-17
Series B - Rayvio,https://www.crunchbase.com/funding_round/rayvio-series-b--0e5428f1,Rayvio,https://www.crunchbase.com/organization/rayvio,Series B,26000000,USD,26000000,2016-04-26
Venture Round - iSoftStone,https://www.crunchbase.com/funding_round/isoftstone-series-unknown--37c52322,iSoftStone,https://www.crunchbase.com/organization/isoftstone,Venture - Series Unknown,1500000,USD,1500000,2004-01-01
"Series B - Tactus Technology, Inc",https://www.crunchbase.com/funding_round/tactus-technology-series-b--0afeb81f,"Tactus Technology, Inc",https://www.crunchbase.com/organization/tactus-technology,Series B,17900000,USD,17900000,2014-01-02
Series A - TradeHero,https://www.crunchbase.com/funding_round/tradehero-series-a--18ee270e,TradeHero,https://www.crunchbase.com/organization/tradehero,Series A,10000000,USD,10000000,2013-09-26
Series B - Genapsys Inc.,https://www.crunchbase.com/funding_round/genapsys-series-b--19653440,Genapsys Inc.,https://www.crunchbase.com/organization/genapsys,Series B,37500000,USD,37500000,2013-11-14
Series B - Brite Semiconductor,https://www.crunchbase.com/funding_round/brite-semiconductor-series-b--99c0c806,Brite Semiconductor,https://www.crunchbase.com/organization/brite-semiconductor,Series B,15900000,USD,15900000,2010-01-01
Series C - iSoftStone,https://www.crunchbase.com/funding_round/isoftstone-series-c--fdce83ce,iSoftStone,https://www.crunchbase.com/organization/isoftstone,Series C,,,,2010-01-01
Series C - Amprius,https://www.crunchbase.com/funding_round/amprius-series-c--45af9a4a,Amprius,https://www.crunchbase.com/organization/amprius,Series C,30000000,USD,30000000,2014-01-06
Series A - Abloomy,https://www.crunchbase.com/funding_round/abloomy-series-a--ed363954,Abloomy,https://www.crunchbase.com/organization/abloomy,Series A,3000000,USD,3000000,2014-02-01
