Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Pretty Instant,https://www.crunchbase.com/funding_round/pretty-instant-seed--f38f9780,Pretty Instant,https://www.crunchbase.com/organization/pretty-instant,Seed,1300000,USD,1300000,2017-01-01
"Seed Round - Narrative I/O, Inc.",https://www.crunchbase.com/funding_round/narrative-i-o-inc-seed--758bc105,"Narrative I/O, Inc.",https://www.crunchbase.com/organization/narrative-i-o-inc,Seed,2250000,USD,2250000,2017-04-13
Seed Round - Glever.com,https://www.crunchbase.com/funding_round/glever-com-seed--8590ee25,Glever.com,https://www.crunchbase.com/organization/glever-com,Seed,,,,2018-02-05
Seed Round - Resure Technology,https://www.crunchbase.com/funding_round/resure-technology-seed--5dfa7e63,Resure Technology,https://www.crunchbase.com/organization/resure-technology,Seed,,,,2017-06-24
Seed Round - Neighborly,https://www.crunchbase.com/funding_round/neighborly-seed--6966bed4,Neighborly,https://www.crunchbase.com/organization/neighborly,Seed,5500000,USD,5500000,2015-09-15
Venture Round - Hockeystick,https://www.crunchbase.com/funding_round/hockeystick-series-unknown--d4c0c394,Hockeystick,https://www.crunchbase.com/organization/hockeystick,Venture - Series Unknown,,,,2016-09-15
Seed Round - Income&,https://www.crunchbase.com/funding_round/income-technologies-inc-seed--1718b544,Income&,https://www.crunchbase.com/organization/income-technologies-inc,Seed,3100000,USD,3100000,2015-12-08
Venture Round - Hooked,https://www.crunchbase.com/funding_round/hooked-series-unknown--a83aeff3,Hooked,https://www.crunchbase.com/organization/hooked,Venture - Series Unknown,,,,2015-11-05
Seed Round - Oddup,https://www.crunchbase.com/funding_round/oddup-seed--05f82b0e,Oddup,https://www.crunchbase.com/organization/oddup,Seed,1000000,USD,1000000,2015-11-29
Venture Round - Chiron Health,https://www.crunchbase.com/funding_round/chiron-health-series-unknown--5ea0045a,Chiron Health,https://www.crunchbase.com/organization/chiron-health,Venture - Series Unknown,2300000,USD,2300000,2015-12-15
Venture Round - Superfly,https://www.crunchbase.com/funding_round/superfly-3-series-unknown--5b445d2a,Superfly,https://www.crunchbase.com/organization/superfly-3,Venture - Series Unknown,,,,2015-09-18
Seed Round - Try The World,https://www.crunchbase.com/funding_round/try-the-world-seed--8f988b06,Try The World,https://www.crunchbase.com/organization/try-the-world,Seed,2300000,USD,2300000,2015-10-10
Seed Round - Rippleshot,https://www.crunchbase.com/funding_round/rippleshot-seed--e3d9a3dd,Rippleshot,https://www.crunchbase.com/organization/rippleshot,Seed,,,,2015-07-24
Equity Crowdfunding - Influential,https://www.crunchbase.com/funding_round/influential-equity-crowdfunding--cc2d0ba8,Influential,https://www.crunchbase.com/organization/influential,Equity Crowdfunding,1500000,USD,1500000,2015-06-09
Venture Round - BidFlyer,https://www.crunchbase.com/funding_round/bidflyer-series-unknown--bba41cd7,BidFlyer,https://www.crunchbase.com/organization/bidflyer,Venture - Series Unknown,,,,2016-02-16
