Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - MobileMD System,https://www.crunchbase.com/funding_round/mobilemd-system-series-d--14682be6,MobileMD System,https://www.crunchbase.com/organization/mobilemd-system,Series D,47600000,USD,47600000,2018-04-09
"Series B - 111, Inc.",https://www.crunchbase.com/funding_round/111-inc-series-b--31f07bda,"111, Inc.",https://www.crunchbase.com/organization/111-inc,Series B,9500000,USD,9500000,2013-12-01
Series B - Move Club,https://www.crunchbase.com/funding_round/move-club-series-b--f0bea451,Move Club,https://www.crunchbase.com/organization/move-club,Series B,,,,2018-08-27
"Series A - 111, Inc.",https://www.crunchbase.com/funding_round/111-inc-series-a--29bacbbb,"111, Inc.",https://www.crunchbase.com/organization/111-inc,Series A,2100000,USD,2100000,2013-09-01
Series A - I-Fitness,https://www.crunchbase.com/funding_round/i-fitness-series-a--02763c25,I-Fitness,https://www.crunchbase.com/organization/i-fitness,Series A,,,,2018-02-06
Venture Round - Anyang Phoenix Photovoltaic Technology,https://www.crunchbase.com/funding_round/anyang-phoenix-photovoltaic-technology-series-unknown--d2cb413a,Anyang Phoenix Photovoltaic Technology,https://www.crunchbase.com/organization/anyang-phoenix-photovoltaic-technology,Venture - Series Unknown,,,,2011-06-01
Series B - Yaoshibang,https://www.crunchbase.com/funding_round/yaoshibang-series-b--7739ba03,Yaoshibang,https://www.crunchbase.com/organization/yaoshibang,Series B,110000000,CNY,16003840,2017-02-08
Series A - 800APP,https://www.crunchbase.com/funding_round/800app-series-a--22fac737,800APP,https://www.crunchbase.com/organization/800app,Series A,,,,2008-11-08
Series A - Gentis,https://www.crunchbase.com/funding_round/gentis-series-a--49d6a2cd,Gentis,https://www.crunchbase.com/organization/gentis,Series A,10000000,USD,10000000,2007-06-21
Series C - Vobile,https://www.crunchbase.com/funding_round/vobile-series-c--1257fcf1,Vobile,https://www.crunchbase.com/organization/vobile,Series C,11250000,USD,11250000,2013-12-01
Series C - Pivot Medical,https://www.crunchbase.com/funding_round/pivot-medical-series-c--f7611d79,Pivot Medical,https://www.crunchbase.com/organization/pivot-medical,Series C,32000000,USD,32000000,2011-11-08
Series C - Atzuche,https://www.crunchbase.com/funding_round/atzuche-series-c--bf73d00d,Atzuche,https://www.crunchbase.com/organization/atzuche,Series C,400000000,CNY,58250871,2017-02-24
