Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Zmeng Network Technology (ZMT),https://www.crunchbase.com/funding_round/zmeng-network-technology-zmt-series-b--5dd2b25b,Zmeng Network Technology (ZMT),https://www.crunchbase.com/organization/zmeng-network-technology-zmt,Series B,300000000,CNY,43587228,2017-03-01
Angel Round - SilkChain,https://www.crunchbase.com/funding_round/silkchain-angel--8dcd7156,SilkChain,https://www.crunchbase.com/organization/silkchain,Angel,,,,2018-08-22
Venture Round - Ankr Network,https://www.crunchbase.com/funding_round/ankr-network-series-unknown--4e21ca80,Ankr Network,https://www.crunchbase.com/organization/ankr-network,Venture - Series Unknown,3000000,USD,3000000,2018-06-01
Seed Round - Htrip,https://www.crunchbase.com/funding_round/htrip-seed--f06b2392,Htrip,https://www.crunchbase.com/organization/htrip,Seed,,,,2018-04-09
Seed Round - SLabs,https://www.crunchbase.com/funding_round/slabs-seed--b97d24c9,SLabs,https://www.crunchbase.com/organization/slabs,Seed,,,,2018-04-25
Series A - Wuxi Hua Dong Heavy Machinery,https://www.crunchbase.com/funding_round/wuxi-hua-dong-heavy-machinery-series-a--b7400531,Wuxi Hua Dong Heavy Machinery,https://www.crunchbase.com/organization/wuxi-hua-dong-heavy-machinery,Series A,25610000,USD,25610000,2010-10-20
Series A - Ningbo Renjian Pharmaceutical,https://www.crunchbase.com/funding_round/ningbo-renjian-pharmaceutical-series-a--73d8879c,Ningbo Renjian Pharmaceutical,https://www.crunchbase.com/organization/ningbo-renjian-pharmaceutical,Series A,9400000,USD,9400000,2011-09-28
Series B - Chezhibao,https://www.crunchbase.com/funding_round/chezhibao-series-b--5889a714,Chezhibao,https://www.crunchbase.com/organization/chezhibao,Series B,50000000,USD,50000000,2015-08-10
Series B - Panshi,https://www.crunchbase.com/funding_round/panshi-series-b--0a338256,Panshi,https://www.crunchbase.com/organization/panshi,Series B,200000000,USD,200000000,2015-05-05
Series B - Chezhibao,https://www.crunchbase.com/funding_round/chezhibao-series-b--e2728461,Chezhibao,https://www.crunchbase.com/organization/chezhibao,Series B,300000000,CNY,48352267,2015-01-05
