Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Huasheng Haoche,https://www.crunchbase.com/funding_round/huashenghaoche-series-d--be5fb590,Huasheng Haoche,https://www.crunchbase.com/organization/huashenghaoche,Series D,210000000,USD,210000000,2018-10-25
Series B - FangCloud Technology,https://www.crunchbase.com/funding_round/fangcloud-technology-series-b--876b096d,FangCloud Technology,https://www.crunchbase.com/organization/fangcloud-technology,Series B,10000000,USD,10000000,2018-10-16
Series A - Jiatui Technology,https://www.crunchbase.com/funding_round/jiatui-technology-series-a--209c1e4b,Jiatui Technology,https://www.crunchbase.com/organization/jiatui-technology,Series A,168000000,CNY,26340132,2018-05-18
Series B - Coterie,https://www.crunchbase.com/funding_round/coterie-d2ad-series-b--78a209b3,Coterie,https://www.crunchbase.com/organization/coterie-d2ad,Series B,,,,2018-06-29
Series B - Bocloud,https://www.crunchbase.com/funding_round/bocloud-series-b--358eaea3,Bocloud,https://www.crunchbase.com/organization/bocloud,Series B,,,,2018-06-26
Series C - Bizport,https://www.crunchbase.com/funding_round/bizport-series-c--75e1a3bf,Bizport,https://www.crunchbase.com/organization/bizport,Series C,50000000,USD,50000000,2018-04-20
Series A - Cloudpense,https://www.crunchbase.com/funding_round/cloudpense-series-a--61037ee2,Cloudpense,https://www.crunchbase.com/organization/cloudpense,Series A,,,,2018-05-24
Corporate Round - Digital China Financial Cloud Service,https://www.crunchbase.com/funding_round/digital-china-financial-cloud-service-corporate-round--98e26271,Digital China Financial Cloud Service,https://www.crunchbase.com/organization/digital-china-financial-cloud-service,Corporate Round,13800000,USD,13800000,2018-03-23
Series A - Haiyi Information,https://www.crunchbase.com/funding_round/haiyi-information-series-a--bf781e36,Haiyi Information,https://www.crunchbase.com/organization/haiyi-information,Series A,,,,2018-03-14
Series C - Omni Prime Inc.,https://www.crunchbase.com/funding_round/omni-prime-inc-series-c--e5685b9d,Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,Series C,46000000,USD,46000000,2016-04-12
Venture Round - Meili Jinrong,https://www.crunchbase.com/funding_round/meili-jinrong-series-unknown--ed0be2f3,Meili Jinrong,https://www.crunchbase.com/organization/meili-jinrong,Venture - Series Unknown,,,,2016-04-06
Funding Round - Microseer,https://www.crunchbase.com/funding_round/microseer-undisclosed--c182c81e,Microseer,https://www.crunchbase.com/organization/microseer,Funding Round,30000000,USD,30000000,2016-10-25
Series B - Huifenqi,https://www.crunchbase.com/funding_round/huifenqi-series-b--82979c20,Huifenqi,https://www.crunchbase.com/organization/huifenqi,Series B,,,,2016-06-13
