Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Corporate Round - Go-Jek,https://www.crunchbase.com/funding_round/go-jek-corporate-round--3edde76d,Go-Jek,https://www.crunchbase.com/organization/go-jek,Corporate Round,1200000000,USD,1200000000,2018-10-30
Series C - Zmeng Network Technology (ZMT),https://www.crunchbase.com/funding_round/zmeng-network-technology-zmt-series-c--97d7f582,Zmeng Network Technology (ZMT),https://www.crunchbase.com/organization/zmeng-network-technology-zmt,Series C,500000000,CNY,71968333,2018-10-22
Series A - Going-Link,https://www.crunchbase.com/funding_round/going-link-series-a--9f851cbb,Going-Link,https://www.crunchbase.com/organization/going-link,Series A,150000000,CNY,21831836,2018-09-14
Corporate Round - Dada-JD Daojia,https://www.crunchbase.com/funding_round/dada-jd-daojia-corporate-round--e374d83b,Dada-JD Daojia,https://www.crunchbase.com/organization/dada-jd-daojia,Corporate Round,500000000,USD,500000000,2018-08-08
Series C - EasyStack,https://www.crunchbase.com/funding_round/easystack-series-c--09eb3083,EasyStack,https://www.crunchbase.com/organization/easystack,Series C,,,,2018-08-07
Seed Round - Townew,https://www.crunchbase.com/funding_round/townew-seed--c004370b,Townew,https://www.crunchbase.com/organization/townew,Seed,,,,2018-07-30
Series E - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-e--00b0b940,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series E,150000000,USD,150000000,2018-07-12
Post-IPO Equity - Secoo,https://www.crunchbase.com/funding_round/secoo-post-ipo-equity--e7dabeba,Secoo,https://www.crunchbase.com/organization/secoo,Post-IPO Equity,175000000,USD,175000000,2018-07-09
Series A - Meiguanjia,https://www.crunchbase.com/funding_round/meiguanjia-series-a--1f8caae8,Meiguanjia,https://www.crunchbase.com/organization/meiguanjia,Series A,,,,2018-05-25
Series A - Lingxiong Rent,https://www.crunchbase.com/funding_round/lingxiong-rent-series-a--a46567f5,Lingxiong Rent,https://www.crunchbase.com/organization/lingxiong-rent,Series A,,,,2018-05-21
Series A - Jiatui Technology,https://www.crunchbase.com/funding_round/jiatui-technology-series-a--209c1e4b,Jiatui Technology,https://www.crunchbase.com/organization/jiatui-technology,Series A,168000000,CNY,26340132,2018-05-18
Corporate Round - e-Shang Redwood (ESR),https://www.crunchbase.com/funding_round/e-shang-redwood-corporate-round--fe42d7f0,e-Shang Redwood (ESR),https://www.crunchbase.com/organization/e-shang-redwood,Corporate Round,306000000,USD,306000000,2018-05-15
Series B - VIPMRO,https://www.crunchbase.com/funding_round/vipmro-series-b--480738b9,VIPMRO,https://www.crunchbase.com/organization/vipmro,Series B,,,,2018-05-09
Post-IPO Equity - China Logistics Property Holdings,https://www.crunchbase.com/funding_round/china-logistics-property-holdings-post-ipo-equity--c5e64ae1,China Logistics Property Holdings,https://www.crunchbase.com/organization/china-logistics-property-holdings,Post-IPO Equity,114550000,USD,114550000,2018-04-29
Corporate Round - New Leshi Smart Home,https://www.crunchbase.com/funding_round/leshi-zhixin-electronics-technology-tianjin-corporate-round--469b999c,New Leshi Smart Home,https://www.crunchbase.com/organization/leshi-zhixin-electronics-technology-tianjin,Corporate Round,3000000000,CNY,478069897,2018-04-18
Corporate Round - Allianz China General Insurance,https://www.crunchbase.com/funding_round/allianz-china-general-insurance-corporate-round--64343b37,Allianz China General Insurance,https://www.crunchbase.com/organization/allianz-china-general-insurance,Corporate Round,128000000,USD,128000000,2018-04-17
Series B - Idriverplus,https://www.crunchbase.com/funding_round/idriverplus-series-b--eabab55f,Idriverplus,https://www.crunchbase.com/organization/idriverplus,Series B,,,,2018-04-16
Funding Round - Allianz,https://www.crunchbase.com/funding_round/allianz-undisclosed--b1a6129c,Allianz,https://www.crunchbase.com/organization/allianz,Funding Round,85000000,USD,85000000,2018-04-16
Series A - Microtelex,https://www.crunchbase.com/funding_round/microtelex-series-a--e002ef33,Microtelex,https://www.crunchbase.com/organization/microtelex,Series A,,,,2018-03-08
Series E - Go-Jek,https://www.crunchbase.com/funding_round/go-jek-series-e--0ef2f269,Go-Jek,https://www.crunchbase.com/organization/go-jek,Series E,1500000000,USD,1500000000,2018-02-12
Funding Round - Wanda Commercial Management Group,https://www.crunchbase.com/funding_round/wanda-commercial-management-group-undisclosed--441867d5,Wanda Commercial Management Group,https://www.crunchbase.com/organization/wanda-commercial-management-group,Funding Round,34000000000,CNY,5365323284,2018-01-29
Series C - Yitiao,https://www.crunchbase.com/funding_round/yitiao-series-c--81c95203,Yitiao,https://www.crunchbase.com/organization/yitiao,Series C,,,,2018-01-22
Series C - Tiki Corporation,https://www.crunchbase.com/funding_round/tiki-vn-series-c--ba1eb5e9,Tiki Corporation,https://www.crunchbase.com/organization/tiki-vn,Series C,,,,2018-01-16
Series C - Fuyoukache,https://www.crunchbase.com/funding_round/fuyoukache-series-c--a0824f38,Fuyoukache,https://www.crunchbase.com/organization/fuyoukache,Series C,150000000,CNY,23099845,2018-01-02
Series B - ICHunt.com,https://www.crunchbase.com/funding_round/ichunt-com-series-b--aef7edba,ICHunt.com,https://www.crunchbase.com/organization/ichunt-com,Series B,,,,2017-12-26
Post-IPO Equity - Vipshop,https://www.crunchbase.com/funding_round/vipshop-post-ipo-equity--c8861fdd,Vipshop,https://www.crunchbase.com/organization/vipshop,Post-IPO Equity,863000000,USD,863000000,2017-12-18
Series B - Easyretailpro,https://www.crunchbase.com/funding_round/easyretailpro-series-b--668ccd2c,Easyretailpro,https://www.crunchbase.com/organization/easyretailpro,Series B,20000000,USD,20000000,2017-12-04
Series C - Tiki Corporation,https://www.crunchbase.com/funding_round/tiki-vn-series-c--6d00ec4c,Tiki Corporation,https://www.crunchbase.com/organization/tiki-vn,Series C,44000000,USD,44000000,2017-11-21
Series B - Pomelo Fashion,https://www.crunchbase.com/funding_round/pomelo-series-b--ce4f923d,Pomelo Fashion,https://www.crunchbase.com/organization/pomelo,Series B,19000000,USD,19000000,2017-11-01
Post-IPO Equity - China Unicom,https://www.crunchbase.com/funding_round/china-unicom-post-ipo-equity--c55e2472,China Unicom,https://www.crunchbase.com/organization/china-unicom,Post-IPO Equity,11700000000,USD,11700000000,2017-08-17
Corporate Round - Farfetch,https://www.crunchbase.com/funding_round/farfetch-corporate-round--12ec9a49,Farfetch,https://www.crunchbase.com/organization/farfetch,Corporate Round,397000000,USD,397000000,2017-06-21
Series A - NetEase Weiyang,https://www.crunchbase.com/funding_round/weiyang-series-a--91275bc8,NetEase Weiyang,https://www.crunchbase.com/organization/weiyang,Series A,23000000,USD,23000000,2017-04-28
Post-IPO Equity - Bitauto Holdings,https://www.crunchbase.com/funding_round/bitauto-holdings-post-ipo-equity--e0298e5a,Bitauto Holdings,https://www.crunchbase.com/organization/bitauto-holdings,Post-IPO Equity,1000000000,USD,1000000000,2017-04-20
Series A - Kingdee Healthcare,https://www.crunchbase.com/funding_round/kingdee-healthcare-series-a--69f15330,Kingdee Healthcare,https://www.crunchbase.com/organization/kingdee-healthcare,Series A,14000000,USD,14000000,2017-03-27
Venture Round - Traveloka,https://www.crunchbase.com/funding_round/traveloka-series-unknown--d27ace91,Traveloka,https://www.crunchbase.com/organization/traveloka,Venture - Series Unknown,150000000,USD,150000000,2017-01-01
Series D - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-d--b835115f,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series D,400000000,CNY,57616962,2016-12-21
Funding Round - YinLong Group,https://www.crunchbase.com/funding_round/yinlong-group-undisclosed--e410fe58,YinLong Group,https://www.crunchbase.com/organization/yinlong-group,Funding Round,432000000,USD,432000000,2016-12-17
Funding Round - Yixin Capital,https://www.crunchbase.com/funding_round/yixin-capital-undisclosed--c8bd8898,Yixin Capital,https://www.crunchbase.com/organization/yixin-capital,Funding Round,550000000,USD,550000000,2016-08-05
Funding Round - Yintai Capital,https://www.crunchbase.com/funding_round/yintai-capital-undisclosed--be174b8d,Yintai Capital,https://www.crunchbase.com/organization/yintai-capital,Funding Round,550000000,USD,550000000,2016-08-05
Series F - ELEME,https://www.crunchbase.com/funding_round/ele-me-series-f--74d8127d,ELEME,https://www.crunchbase.com/organization/ele-me,Series F,630000000,USD,630000000,2015-08-28
Series B - Sleepace,https://www.crunchbase.com/funding_round/sleepace-series-b--0501d343,Sleepace,https://www.crunchbase.com/organization/sleepace,Series B,7000000,USD,7000000,2015-07-20
Series B - xiachufang,https://www.crunchbase.com/funding_round/xiachufang-series-b--e2e1d31e,xiachufang,https://www.crunchbase.com/organization/xiachufang,Series B,30000000,USD,30000000,2015-07-16
Series D - Maimaibao,https://www.crunchbase.com/funding_round/mmb-series-d--021e1122,Maimaibao,https://www.crunchbase.com/organization/mmb,Series D,,,,2015-07-03
Series A - HWTrek,https://www.crunchbase.com/funding_round/hwtrek-series-a--79821252,HWTrek,https://www.crunchbase.com/organization/hwtrek,Series A,4000000,USD,4000000,2015-06-02
Series B - newifi,https://www.crunchbase.com/funding_round/newifi-series-b--56ee079d,newifi,https://www.crunchbase.com/organization/newifi,Series B,,,,2015-06-01
Series C - Fruitday,https://www.crunchbase.com/funding_round/fruitday-com-series-c--8798137e,Fruitday,https://www.crunchbase.com/organization/fruitday-com,Series C,70000000,USD,70000000,2015-05-25
Post-IPO Equity - Kingdee,https://www.crunchbase.com/funding_round/kingdee-post-ipo-equity--6a9f70b6,Kingdee,https://www.crunchbase.com/organization/kingdee,Post-IPO Equity,171000000,USD,171000000,2015-05-18
Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--3d2b6c64,Tuniu,https://www.crunchbase.com/organization/tuniu-com,Post-IPO Equity,500000000,USD,500000000,2015-05-08
Series B - 51 Credit Card Manager,https://www.crunchbase.com/funding_round/51-credit-card-manager-series-b--781f6167,51 Credit Card Manager,https://www.crunchbase.com/organization/51-credit-card-manager,Series B,50000000,USD,50000000,2015-04-17
Funding Round - Lexin,https://www.crunchbase.com/funding_round/lexin-undisclosed--4e4a7530,Lexin,https://www.crunchbase.com/organization/lexin,Funding Round,,,,2015-03-10
Series B - Ichuanyi,https://www.crunchbase.com/funding_round/ichuanyi-series-b--2e999599,Ichuanyi,https://www.crunchbase.com/organization/ichuanyi,Series B,15000000,USD,15000000,2015-02-02
Post-IPO Equity - Tuniu,https://www.crunchbase.com/funding_round/tuniu-com-post-ipo-equity--296de362,Tuniu,https://www.crunchbase.com/organization/tuniu-com,Post-IPO Equity,148000000,USD,148000000,2014-12-15
Series C - Misfit Wearables,https://www.crunchbase.com/funding_round/misfit-wearables-series-c--7614c350,Misfit Wearables,https://www.crunchbase.com/organization/misfit-wearables,Series C,40000000,USD,40000000,2014-12-02
Series D - Daojia,https://www.crunchbase.com/funding_round/daojia-series-d--cb404eb7,Daojia,https://www.crunchbase.com/organization/daojia,Series D,50000000,USD,50000000,2014-09-16
Series B - Picooc Technology,https://www.crunchbase.com/funding_round/picooc-technology-series-b--07d443b0,Picooc Technology,https://www.crunchbase.com/organization/picooc-technology,Series B,21000000,USD,21000000,2014-02-14
Series C - Daojia,https://www.crunchbase.com/funding_round/daojia-series-c--27c6037b,Daojia,https://www.crunchbase.com/organization/daojia,Series C,15000000,USD,15000000,2013-09-02
