Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Blok Party,https://www.crunchbase.com/funding_round/blok-party-series-unknown--89a79c42,Blok Party,https://www.crunchbase.com/organization/blok-party,Venture - Series Unknown,10000000,USD,10000000,2018-09-28
Venture Round - Fantom Foundation,https://www.crunchbase.com/funding_round/fantom-foundation-series-unknown--e1b93376,Fantom Foundation,https://www.crunchbase.com/organization/fantom-foundation,Venture - Series Unknown,40000000,USD,40000000,2018-06-22
Seed Round - Global Risk Exchange,https://www.crunchbase.com/funding_round/global-risk-exchange-seed--57dc708c,Global Risk Exchange,https://www.crunchbase.com/organization/global-risk-exchange,Seed,,,,2018-06-15
Corporate Round - The Blockchainer,https://www.crunchbase.com/funding_round/the-blockchainer-corporate-round--237afaec,The Blockchainer,https://www.crunchbase.com/organization/the-blockchainer,Corporate Round,,,,2018-07-09
Angel Round - Hash Incubator,https://www.crunchbase.com/funding_round/hash-incubator-angel--06b2f0cf,Hash Incubator,https://www.crunchbase.com/organization/hash-incubator,Angel,,,,2018-07-12
Angel Round - Ellipal,https://www.crunchbase.com/funding_round/ellipal-angel--3d45bca2,Ellipal,https://www.crunchbase.com/organization/ellipal,Angel,,,,2018-08-10
Seed Round - ChainsGuard,https://www.crunchbase.com/funding_round/chainsguard-seed--a13bc454,ChainsGuard,https://www.crunchbase.com/organization/chainsguard,Seed,,,,2018-09-03
Angel Round - DRsafe,https://www.crunchbase.com/funding_round/drsafe-angel--106b93f9,DRsafe,https://www.crunchbase.com/organization/drsafe,Angel,,,,2018-06-28
Angel Round - Tokenonly,https://www.crunchbase.com/funding_round/tokenonly-angel--5086d062,Tokenonly,https://www.crunchbase.com/organization/tokenonly,Angel,,,,2018-06-19
Angel Round - TokenGazer,https://www.crunchbase.com/funding_round/tokengazer-angel--232f46f6,TokenGazer,https://www.crunchbase.com/organization/tokengazer,Angel,,,,2018-06-06
Angel Round - TokenGazer,https://www.crunchbase.com/funding_round/tokengazer-angel--2c8f0f9a,TokenGazer,https://www.crunchbase.com/organization/tokengazer,Angel,,,,2018-08-22
Series A - BKBT,https://www.crunchbase.com/funding_round/bkbt-series-a--ab23dd27,BKBT,https://www.crunchbase.com/organization/bkbt,Series A,,,,2018-06-11
Angel Round - LeadBest,https://www.crunchbase.com/funding_round/leadbest-angel--100ecdd5,LeadBest,https://www.crunchbase.com/organization/leadbest,Angel,,,,2018-08-15
