Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - Garden Lis,https://www.crunchbase.com/funding_round/garden-lis-angel--18793bae,Garden Lis,https://www.crunchbase.com/organization/garden-lis,Angel,,,,2018-10-19
Series A - CBD Logistics,https://www.crunchbase.com/funding_round/cbd-logistics-series-a--502b8cd8,CBD Logistics,https://www.crunchbase.com/organization/cbd-logistics,Series A,,,,2018-10-18
Series A - Abox box,https://www.crunchbase.com/funding_round/abox-box-series-a--11b58d3f,Abox box,https://www.crunchbase.com/organization/abox-box,Series A,,,,2018-09-12
Seed Round - AIF Entertainment (Asian Idol Factory),https://www.crunchbase.com/funding_round/aif-entertainment-asian-idol-factory-seed--77ba4bb3,AIF Entertainment (Asian Idol Factory),https://www.crunchbase.com/organization/aif-entertainment-asian-idol-factory,Seed,,,,2018-09-07
Series B - Plum,https://www.crunchbase.com/funding_round/plum-8-series-b--7b9c7191,Plum,https://www.crunchbase.com/organization/plum-8,Series B,,,,2018-08-27
Series B - Plum,https://www.crunchbase.com/funding_round/plum-8-series-b--d1dcd070,Plum,https://www.crunchbase.com/organization/plum-8,Series B,,,,2018-08-27
Series A - Yunting Technology,https://www.crunchbase.com/funding_round/yunting-technology-series-a--2eab1de5,Yunting Technology,https://www.crunchbase.com/organization/yunting-technology,Series A,,,,2018-08-27
Series A - Shixianghui,https://www.crunchbase.com/funding_round/shixianghui-series-a--3e98dff2,Shixianghui,https://www.crunchbase.com/organization/shixianghui,Series A,14600000,USD,14600000,2018-08-22
Seed Round - Cool Math(Beijing Tianfutong Education Technology Co.),https://www.crunchbase.com/funding_round/cool-math-beijing-tianfutong-education-technology-co-seed--1dc4203d,Cool Math(Beijing Tianfutong Education Technology Co.),https://www.crunchbase.com/organization/cool-math-beijing-tianfutong-education-technology-co,Seed,10000000,CNY,1458236,2018-08-20
Series C - MydreamPlus,https://www.crunchbase.com/funding_round/mydream-series-c--e1e0b9f1,MydreamPlus,https://www.crunchbase.com/organization/mydream,Series C,120000000,USD,120000000,2018-08-13
