Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - F&S Pharmatech,https://www.crunchbase.com/funding_round/f-s-pharmatech-series-a--6d78a31a,F&S Pharmatech,https://www.crunchbase.com/organization/f-s-pharmatech,Series A,,,,2018-09-30
Corporate Round - JeniVision,https://www.crunchbase.com/funding_round/jenivision-corporate-round--2dc5dedb,JeniVision,https://www.crunchbase.com/organization/jenivision,Corporate Round,,,,2018-10-09
Series A - Imperial Vision Technology,https://www.crunchbase.com/funding_round/imperial-vision-technology-series-a--5ace02b7,Imperial Vision Technology,https://www.crunchbase.com/organization/imperial-vision-technology,Series A,,,,2018-09-21
Seed Round - Tekeluo Biotech,https://www.crunchbase.com/funding_round/tekeluo-biotech-seed--2a5997a0,Tekeluo Biotech,https://www.crunchbase.com/organization/tekeluo-biotech,Seed,,,,2018-10-31
Series A - ForDearMe,https://www.crunchbase.com/funding_round/fordearme-series-a--ca8e8627,ForDearMe,https://www.crunchbase.com/organization/fordearme,Series A,10000000,CNY,1460749,2018-08-10
Corporate Round - Weijian Pharmaceutical Group Co.,https://www.crunchbase.com/funding_round/weijian-pharmaceutical-group-co-corporate-round--59a4a193,Weijian Pharmaceutical Group Co.,https://www.crunchbase.com/organization/weijian-pharmaceutical-group-co,Corporate Round,10000000,USD,10000000,2018-08-15
Corporate Round - Carephar,https://www.crunchbase.com/funding_round/carephar-corporate-round--defcc3f9,Carephar,https://www.crunchbase.com/organization/carephar,Corporate Round,,,,2018-06-12
Series A - Dadaozhichuang,https://www.crunchbase.com/funding_round/dadaozhichuang-series-a--46466401,Dadaozhichuang,https://www.crunchbase.com/organization/dadaozhichuang,Series A,,,,2018-05-11
Series B - Asieris Pharmaceuticals,https://www.crunchbase.com/funding_round/asieris-pharmaceuticals-series-b--e69ebc2b,Asieris Pharmaceuticals,https://www.crunchbase.com/organization/asieris-pharmaceuticals,Series B,15000000,USD,15000000,2017-12-29
Seed Round - New Tranx Information Technology,https://www.crunchbase.com/funding_round/tranx-information-technology-seed--470af8c6,New Tranx Information Technology,https://www.crunchbase.com/organization/tranx-information-technology,Seed,50000000,CNY,7526210,2017-10-30
Corporate Round - Sanbo Brain Hospital,https://www.crunchbase.com/funding_round/sanbo-brain-hospital-corporate-round--cf094fee,Sanbo Brain Hospital,https://www.crunchbase.com/organization/sanbo-brain-hospital,Corporate Round,,,,2017-11-02
Series B - CARsgen Therapeutics,https://www.crunchbase.com/funding_round/carsgen-series-b--7ebb8c06,CARsgen Therapeutics,https://www.crunchbase.com/organization/carsgen,Series B,30000000,USD,30000000,2016-01-25
Series A - Niuniuqiche,https://www.crunchbase.com/funding_round/niuniuqiche-series-a--4ac687cc,Niuniuqiche,https://www.crunchbase.com/organization/niuniuqiche,Series A,17000000,USD,17000000,2017-07-24
Series A - Momfo,https://www.crunchbase.com/funding_round/momfo-series-a--ee572ac2,Momfo,https://www.crunchbase.com/organization/momfo,Series A,95000000,CNY,14270212,2016-08-25
