Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Sensingtech,https://www.crunchbase.com/funding_round/sensingtech-series-b--27d7a8d7,Sensingtech,https://www.crunchbase.com/organization/sensingtech,Series B,,,,2018-06-05
Series D - Sea,https://www.crunchbase.com/funding_round/garena-series-d--fa15110b,Sea,https://www.crunchbase.com/organization/garena,Series D,170000000,USD,170000000,2016-03-31
Series C - LP Amina,https://www.crunchbase.com/funding_round/lp-amina-series-c--983eab25,LP Amina,https://www.crunchbase.com/organization/lp-amina,Series C,20000000,USD,20000000,2013-08-06
Series G - Nexenta Systems,https://www.crunchbase.com/funding_round/nexenta-systems-series-g--f2bf0653,Nexenta Systems,https://www.crunchbase.com/organization/nexenta-systems,Series G,7700000,USD,7700000,2016-12-16
Series A - CloudMinds,https://www.crunchbase.com/funding_round/cloudminds-series-a--1625a514,CloudMinds,https://www.crunchbase.com/organization/cloudminds,Series A,28000000,USD,28000000,2016-01-01
Series B - Lattice Power,https://www.crunchbase.com/funding_round/lattice-power-series-b--9770a71e,Lattice Power,https://www.crunchbase.com/organization/lattice-power,Series B,25000000,USD,25000000,2007-06-01
Venture Round - Sea,https://www.crunchbase.com/funding_round/garena-series-unknown--ac77a8aa,Sea,https://www.crunchbase.com/organization/garena,Venture - Series Unknown,,,,2014-01-01
Venture Round - i3 Mobile,https://www.crunchbase.com/funding_round/i3-mobile-series-unknown--c02c5cf3,i3 Mobile,https://www.crunchbase.com/organization/i3-mobile,Venture - Series Unknown,32700000,USD,32700000,2000-01-06
Venture Round - NanoH2O,https://www.crunchbase.com/funding_round/nanoh2o-series-unknown--fec791cf,NanoH2O,https://www.crunchbase.com/organization/nanoh2o,Venture - Series Unknown,60500000,USD,60500000,2012-04-30
Series B - PapayaMobile,https://www.crunchbase.com/funding_round/papayamobile-series-b--63630ea5,PapayaMobile,https://www.crunchbase.com/organization/papayamobile,Series B,18000000,USD,18000000,2011-04-27
Series A - Motovis,https://www.crunchbase.com/funding_round/motovis-series-a--68a9c29d,Motovis,https://www.crunchbase.com/organization/motovis,Series A,,,,2017-10-12
"Series C - MCube, Inc",https://www.crunchbase.com/funding_round/mcube-inc-series-c--94216c54,"MCube, Inc",https://www.crunchbase.com/organization/mcube-inc,Series C,37000000,USD,37000000,2014-06-25
Series B - Analogix Semiconductor,https://www.crunchbase.com/funding_round/analogix-semiconductor-series-b--035ea203,Analogix Semiconductor,https://www.crunchbase.com/organization/analogix-semiconductor,Series B,10000000,USD,10000000,2009-08-17
Series D - Beijing Redbaby Internet Technology,https://www.crunchbase.com/funding_round/beijing-redbaby-internet-technology-series-d--8996e686,Beijing Redbaby Internet Technology,https://www.crunchbase.com/organization/beijing-redbaby-internet-technology,Series D,20000000,USD,20000000,2011-01-01
Series A - Chemayi,https://www.crunchbase.com/funding_round/chemayi-series-a--51591119,Chemayi,https://www.crunchbase.com/organization/chemayi,Series A,20000000,USD,20000000,2015-04-22
Series B - InnoSpark,https://www.crunchbase.com/funding_round/innospark-series-b--1ceeec35,InnoSpark,https://www.crunchbase.com/organization/innospark,Series B,6500000,USD,6500000,2015-07-24
Series C - DerbySoft,https://www.crunchbase.com/funding_round/derbysoft-series-c--3744a378,DerbySoft,https://www.crunchbase.com/organization/derbysoft,Series C,10000000,USD,10000000,2011-01-01
Series B - Borqs Technologies,https://www.crunchbase.com/funding_round/borqs-series-b--20d69d3b,Borqs Technologies,https://www.crunchbase.com/organization/borqs,Series B,17400000,USD,17400000,2009-07-09
Series E - Beijing Redbaby Internet Technology,https://www.crunchbase.com/funding_round/beijing-redbaby-internet-technology-series-e--3fe408e5,Beijing Redbaby Internet Technology,https://www.crunchbase.com/organization/beijing-redbaby-internet-technology,Series E,20000000,USD,20000000,2012-07-01
