Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Chengzhangbao,https://www.crunchbase.com/funding_round/chengzhangbao-series-b--f426306f,Chengzhangbao,https://www.crunchbase.com/organization/chengzhangbao,Series B,,,,2018-05-14
Series A - 99click,https://www.crunchbase.com/funding_round/99click-series-a--c5a53cb7,99click,https://www.crunchbase.com/organization/99click,Series A,6300000,USD,6300000,2018-03-12
Series A - 1mxians,https://www.crunchbase.com/funding_round/1mxians-series-a--6950448f,1mxians,https://www.crunchbase.com/organization/1mxians,Series A,15000000,USD,15000000,2015-12-02
Series B - Inke,https://www.crunchbase.com/funding_round/inke-series-b--69b23635,Inke,https://www.crunchbase.com/organization/inke,Series B,68000000,CNY,10347556,2016-01-07
Private Equity Round - Grindr,https://www.crunchbase.com/funding_round/grindr-private-equity--b611cc33,Grindr,https://www.crunchbase.com/organization/grindr,Private Equity,93000000,USD,93000000,2016-01-11
Series D - Qudian,https://www.crunchbase.com/funding_round/qufenqi-series-d--a0c2e657,Qudian,https://www.crunchbase.com/organization/qufenqi,Series D,100000000,USD,100000000,2015-04-08
Series B - Nash Work,https://www.crunchbase.com/funding_round/nash-work-series-b--51e0109c,Nash Work,https://www.crunchbase.com/organization/nash-work,Series B,30000000,USD,30000000,2016-07-11
Series B - Ebaoyang,https://www.crunchbase.com/funding_round/ebaoyang-series-b--ef73edd6,Ebaoyang,https://www.crunchbase.com/organization/ebaoyang,Series B,,,,2015-05-27
Series A - LendInvest,https://www.crunchbase.com/funding_round/lendinvest-series-a--0d3ca599,LendInvest,https://www.crunchbase.com/organization/lendinvest,Series A,22000000,GBP,34318856,2015-06-15
Series B - Kaistart,https://www.crunchbase.com/funding_round/kaistart-series-b--16d53d65,Kaistart,https://www.crunchbase.com/organization/kaistart,Series B,100000000,CNY,15202602,2016-06-22
Series E - Qudian,https://www.crunchbase.com/funding_round/qufenqi-series-e--30c35ca8,Qudian,https://www.crunchbase.com/organization/qufenqi,Series E,200000000,USD,200000000,2015-08-11
Series A - Inke,https://www.crunchbase.com/funding_round/inke-series-a--2964ac3e,Inke,https://www.crunchbase.com/organization/inke,Series A,,,,2015-09-02
Series B - Yinker,https://www.crunchbase.com/funding_round/yinker-series-b--98775ebc,Yinker,https://www.crunchbase.com/organization/yinker,Series B,20000000,USD,20000000,2015-06-12
Funding Round - Woobo Inc.,https://www.crunchbase.com/funding_round/woobo-inc-undisclosed--4f573a17,Woobo Inc.,https://www.crunchbase.com/organization/woobo-inc,Funding Round,800000,USD,800000,2016-01-30
