Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - DJI,https://www.crunchbase.com/funding_round/dji-series-a--8a9f4074,DJI,https://www.crunchbase.com/organization/dji,Series A,30000000,USD,30000000,2014-05-01
Series A - Future Motion,https://www.crunchbase.com/funding_round/onewheel-series-a--d4598c8f,Future Motion,https://www.crunchbase.com/organization/onewheel,Series A,3200000,USD,3200000,2016-02-03
Series A - 12Twenty,https://www.crunchbase.com/funding_round/12twenty-series-a--7e482225,12Twenty,https://www.crunchbase.com/organization/12twenty,Series A,,,,2015-03-01
Series A - Hesai,https://www.crunchbase.com/funding_round/hesai-series-a--21c863a5,Hesai,https://www.crunchbase.com/organization/hesai,Series A,110000000,CNY,15931802,2017-05-11
Venture Round - Transmension,https://www.crunchbase.com/funding_round/transmension-series-unknown--cbb81a82,Transmension,https://www.crunchbase.com/organization/transmension,Venture - Series Unknown,,,,2013-12-01
Seed Round - Bend Labs,https://www.crunchbase.com/funding_round/bend-labs-seed--bf5e4d77,Bend Labs,https://www.crunchbase.com/organization/bend-labs,Seed,,,,2016-03-01
Seed Round - Future Motion,https://www.crunchbase.com/funding_round/onewheel-seed--6f12782b,Future Motion,https://www.crunchbase.com/organization/onewheel,Seed,,,,2014-07-25
Series C - iHear Medical,https://www.crunchbase.com/funding_round/ihear-medical-series-c--1c4763b4,iHear Medical,https://www.crunchbase.com/organization/ihear-medical,Series C,5000000,USD,5000000,2014-11-24
Seed Round - HandScape,https://www.crunchbase.com/funding_round/handscape-seed--56de3cf0,HandScape,https://www.crunchbase.com/organization/handscape,Seed,1000000,USD,1000000,2014-06-01
Series C - iHear Medical,https://www.crunchbase.com/funding_round/ihear-medical-series-c--f0d4865f,iHear Medical,https://www.crunchbase.com/organization/ihear-medical,Series C,2600000,USD,2600000,2016-01-15
