Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Aohua,https://www.crunchbase.com/funding_round/aohua-series-d--d7c95d5b,Aohua,https://www.crunchbase.com/organization/aohua,Series D,300000000,CNY,43674479,2018-09-29
Series C - Udesk,https://www.crunchbase.com/funding_round/udesk-series-c--c3aeb458,Udesk,https://www.crunchbase.com/organization/udesk,Series C,300000000,CNY,43674479,2018-09-28
Series C - Zhenkunhang,https://www.crunchbase.com/funding_round/zhenkunhang-series-c--f842dac7,Zhenkunhang,https://www.crunchbase.com/organization/zhenkunhang,Series C,129000000,USD,129000000,2018-08-28
Series B - Harbour Biomed,https://www.crunchbase.com/funding_round/harbour-biomed-series-b--f3cebe58,Harbour Biomed,https://www.crunchbase.com/organization/harbour-biomed,Series B,85000000,USD,85000000,2018-08-27
Series A - Gaga Cafe,https://www.crunchbase.com/funding_round/gaga-cafe-series-a--d9312864,Gaga Cafe,https://www.crunchbase.com/organization/gaga-cafe,Series A,180000000,CNY,26170778,2018-08-23
Private Equity Round - China Diagnostic Medical Corporation (CDMC),https://www.crunchbase.com/funding_round/china-diagnostic-medical-corporation-cdmc-private-equity--a7875313,China Diagnostic Medical Corporation (CDMC),https://www.crunchbase.com/organization/china-diagnostic-medical-corporation-cdmc,Private Equity,2000000000,CNY,292722908,2018-08-07
Corporate Round - CAA China,https://www.crunchbase.com/funding_round/caa-china-corporate-round--ff63e835,CAA China,https://www.crunchbase.com/organization/caa-china,Corporate Round,,,,2018-08-02
Private Equity Round - Chemclin,https://www.crunchbase.com/funding_round/chemclin-private-equity--b93a4b56,Chemclin,https://www.crunchbase.com/organization/chemclin,Private Equity,2000000000,CNY,293117598,2018-08-01
Series A - Qeebike,https://www.crunchbase.com/funding_round/qeebike-series-a--e8c2d00b,Qeebike,https://www.crunchbase.com/organization/qeebike,Series A,10000000,USD,10000000,2018-07-31
Series A - Editing and learning (CodePKU),https://www.crunchbase.com/funding_round/codepku-series-a--363be03d,Editing and learning (CodePKU),https://www.crunchbase.com/organization/codepku,Series A,,,,2018-07-26
Series B - Spacety,https://www.crunchbase.com/funding_round/spacety-7cd7-series-b--9165a010,Spacety,https://www.crunchbase.com/organization/spacety-7cd7,Series B,150000000,CNY,22154609,2018-07-20
Series B - TianYi Research Institute,https://www.crunchbase.com/funding_round/tianyi-research-institute-series-b--9a7b072a,TianYi Research Institute,https://www.crunchbase.com/organization/tianyi-research-institute,Series B,150000000,CNY,22154609,2018-07-20
Series B - Lunit,https://www.crunchbase.com/funding_round/lunit-inc-series-b--ff913c80,Lunit,https://www.crunchbase.com/organization/lunit-inc,Series B,15000000,USD,15000000,2018-07-13
Series A - DEEP Informatics,https://www.crunchbase.com/funding_round/deep-informatics-series-a--a1823946,DEEP Informatics,https://www.crunchbase.com/organization/deep-informatics,Series A,,,,2018-07-03
Series B - Aikucun,https://www.crunchbase.com/funding_round/aikucun-series-b--1e0fdf96,Aikucun,https://www.crunchbase.com/organization/aikucun,Series B,87000000,USD,87000000,2018-07-02
Series C - Zongmu,https://www.crunchbase.com/funding_round/zongmu-series-c--5752a32d,Zongmu,https://www.crunchbase.com/organization/zongmu,Series C,,,,2018-06-26
Series C - Taihe Music Group,https://www.crunchbase.com/funding_round/taihe-rye-music-company-series-c--48b1ecce,Taihe Music Group,https://www.crunchbase.com/organization/taihe-rye-music-company,Series C,1000000000,CNY,153723175,2018-06-22
Series A - Luckin Coffee,https://www.crunchbase.com/funding_round/luckin-coffee-series-a--eadb0c4f,Luckin Coffee,https://www.crunchbase.com/organization/luckin-coffee,Series A,200000000,USD,200000000,2018-06-13
Series A - RT-Thread,https://www.crunchbase.com/funding_round/rt-thread-series-a--748f4208,RT-Thread,https://www.crunchbase.com/organization/rt-thread,Series A,,,,2018-06-12
Series A - Goopal Group,https://www.crunchbase.com/funding_round/goopal-group-series-a--91cef4dc,Goopal Group,https://www.crunchbase.com/organization/goopal-group,Series A,12000000,USD,12000000,2018-06-05
Series B - Enjoy Dental Clinic,https://www.crunchbase.com/funding_round/enjoy-dental-clinic-series-b--8593c43a,Enjoy Dental Clinic,https://www.crunchbase.com/organization/enjoy-dental-clinic,Series B,70000000,USD,70000000,2018-06-04
Initial Coin Offering - Hub,https://www.crunchbase.com/funding_round/hub-4-initial-coin-offering--1625c7b6,Hub,https://www.crunchbase.com/organization/hub-4,Initial Coin Offering,20000000,USD,20000000,2018-06-02
Series B - Nattitude,https://www.crunchbase.com/funding_round/nattitude-series-b--da4980bc,Nattitude,https://www.crunchbase.com/organization/nattitude,Series B,,,,2018-05-30
Series C - Jollychic,https://www.crunchbase.com/funding_round/jollychic-com-series-c--c3075762,Jollychic,https://www.crunchbase.com/organization/jollychic-com,Series C,,,,2018-05-28
Series C - NewsDog,https://www.crunchbase.com/funding_round/newsdog-series-c--efbd6811,NewsDog,https://www.crunchbase.com/organization/newsdog,Series C,50000000,USD,50000000,2018-05-22
Series C - Uoko.com,https://www.crunchbase.com/funding_round/uoko-com-series-c--1c906e70,Uoko.com,https://www.crunchbase.com/organization/uoko-com,Series C,1000000000,CNY,157487755,2018-05-10
Series B - Uditech,https://www.crunchbase.com/funding_round/uditech-series-b--bf0e3dc1,Uditech,https://www.crunchbase.com/organization/uditech,Series B,,,,2018-05-03
Series E - Innovent Biologics,https://www.crunchbase.com/funding_round/innovent-biologics-series-e--9d419fb6,Innovent Biologics,https://www.crunchbase.com/organization/innovent-biologics,Series E,150000000,USD,150000000,2018-04-27
Series A - Likechuxing,https://www.crunchbase.com/funding_round/likechuxing-series-a--611125dd,Likechuxing,https://www.crunchbase.com/organization/likechuxing,Series A,20000000,USD,20000000,2018-04-23
Series A - Yosemite Clinic,https://www.crunchbase.com/funding_round/yosemite-clinic-series-a--cbf96122,Yosemite Clinic,https://www.crunchbase.com/organization/yosemite-clinic,Series A,,,,2018-04-23
Series A - Youdao,https://www.crunchbase.com/funding_round/youdao-series-a--854fc16b,Youdao,https://www.crunchbase.com/organization/youdao,Series A,,,,2018-04-18
Series A - Block 12 Culture,https://www.crunchbase.com/funding_round/block-12-culture-series-a--89eb9b26,Block 12 Culture,https://www.crunchbase.com/organization/block-12-culture,Series A,6800000,USD,6800000,2018-04-17
Series A - Qeebike,https://www.crunchbase.com/funding_round/qeebike-series-a--7aac0025,Qeebike,https://www.crunchbase.com/organization/qeebike,Series A,,,,2018-03-22
Series B - INXX,https://www.crunchbase.com/funding_round/inxx-series-b--6cb50dcc,INXX,https://www.crunchbase.com/organization/inxx,Series B,,,,2018-03-22
Series C - Onion Math,https://www.crunchbase.com/funding_round/onion-math-series-c--1515980c,Onion Math,https://www.crunchbase.com/organization/onion-math,Series C,19000000,USD,19000000,2018-03-01
Series C - OnionMath,https://www.crunchbase.com/funding_round/yangcong-series-c--27b2188c,OnionMath,https://www.crunchbase.com/organization/yangcong,Series C,120000000,CNY,18953303,2018-02-28
Series B - Kunya Medical,https://www.crunchbase.com/funding_round/kunya-medical-series-b--95693030,Kunya Medical,https://www.crunchbase.com/organization/kunya-medical,Series B,,,,2018-02-13
Venture Round - Bespin Global,https://www.crunchbase.com/funding_round/bespin-global-series-unknown--5bbdc296,Bespin Global,https://www.crunchbase.com/organization/bespin-global,Venture - Series Unknown,27000000,USD,27000000,2018-01-31
Series A - Muniu Technology,https://www.crunchbase.com/funding_round/muniu-technology-series-a--2b0e4caa,Muniu Technology,https://www.crunchbase.com/organization/muniu-technology,Series A,,,,2018-01-30
Series A - Harbour Biomed,https://www.crunchbase.com/funding_round/harbour-biomed-series-a--a21cd4b1,Harbour Biomed,https://www.crunchbase.com/organization/harbour-biomed,Series A,,,,2018-01-22
