Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Yunshan Networks,https://www.crunchbase.com/funding_round/yunshan-networks-series-b--2526b20f,Yunshan Networks,https://www.crunchbase.com/organization/yunshan-networks,Series B,11000000,USD,11000000,2018-09-27
Series C - NIO,https://www.crunchbase.com/funding_round/nextev-series-c--3ef721e0,NIO,https://www.crunchbase.com/organization/nextev,Series C,645709869,USD,645709869,2017-03-16
Series A - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-a--6b1a7127,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series A,100000000,USD,100000000,2017-08-18
Series B - T2 Cloud,https://www.crunchbase.com/funding_round/t2-cloud-series-b--72a01a8d,T2 Cloud,https://www.crunchbase.com/organization/t2-cloud,Series B,100000000,CNY,14878184,2017-08-07
Funding Round - Proxy42,https://www.crunchbase.com/funding_round/father-io-undisclosed--d6cf66b0,Proxy42,https://www.crunchbase.com/organization/father-io,Funding Round,2000000,USD,2000000,2017-03-14
Series B - SmartX,https://www.crunchbase.com/funding_round/smartx-series-b--e1e27c95,SmartX,https://www.crunchbase.com/organization/smartx,Series B,14000000,USD,14000000,2017-08-01
Series B - newifi,https://www.crunchbase.com/funding_round/newifi-series-b--56ee079d,newifi,https://www.crunchbase.com/organization/newifi,Series B,,,,2015-06-01
Series A - newifi,https://www.crunchbase.com/funding_round/newifi-series-a--a7036bd6,newifi,https://www.crunchbase.com/organization/newifi,Series A,,,,2014-06-01
Seed Round - Milkbasket,https://www.crunchbase.com/funding_round/milkbasket-seed--9079c26b,Milkbasket,https://www.crunchbase.com/organization/milkbasket,Seed,500000,USD,500000,2017-08-23
Venture Round - NED+AR Display Technology,https://www.crunchbase.com/funding_round/ned-ar-display-technology-series-unknown--3800ffc1,NED+AR Display Technology,https://www.crunchbase.com/organization/ned-ar-display-technology,Venture - Series Unknown,,,,2017-08-09
Angel Round - StyleWe.com,https://www.crunchbase.com/funding_round/stylewe-com-angel--78cd4ee9,StyleWe.com,https://www.crunchbase.com/organization/stylewe-com,Angel,1000000,CNY,161754,2015-06-01
Series C - MissFresh E-Commerce,https://www.crunchbase.com/funding_round/missfresh-e-commerce-series-c--ace53430,MissFresh E-Commerce,https://www.crunchbase.com/organization/missfresh-e-commerce,Series C,100000000,USD,100000000,2017-01-22
Series A - Tianjin YangTian Technology,https://www.crunchbase.com/funding_round/tianjin-yangtian-technology-series-a--7f02806c,Tianjin YangTian Technology,https://www.crunchbase.com/organization/tianjin-yangtian-technology,Series A,7000000,USD,7000000,2017-08-16
Series A - Imsight Medical,https://www.crunchbase.com/funding_round/imsight-medical-series-a--7d532052,Imsight Medical,https://www.crunchbase.com/organization/imsight-medical,Series A,20000000,CNY,2950744,2017-07-14
