Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Terns Pharmaceuticals,https://www.crunchbase.com/funding_round/terns-pharmaceuticals-series-b--6436f023,Terns Pharmaceuticals,https://www.crunchbase.com/organization/terns-pharmaceuticals,Series B,80000000,USD,80000000,2018-10-30
Series D - TP Therapeutics,https://www.crunchbase.com/funding_round/tp-therapeutics-series-d--7503ffb5,TP Therapeutics,https://www.crunchbase.com/organization/tp-therapeutics,Series D,80000000,USD,80000000,2018-10-19
Series C - KSQ Therapeutics,https://www.crunchbase.com/funding_round/ksq-therapeutics-series-c--65de3f15,KSQ Therapeutics,https://www.crunchbase.com/organization/ksq-therapeutics,Series C,80000000,USD,80000000,2018-09-28
Series A - EdiGENE,https://www.crunchbase.com/funding_round/edigene-series-a--146ab8b1,EdiGENE,https://www.crunchbase.com/organization/edigene,Series A,15000000,USD,15000000,2018-08-08
Series C - IMPACT Therapeutics,https://www.crunchbase.com/funding_round/impact-therapeutics-series-c--94bc240e,IMPACT Therapeutics,https://www.crunchbase.com/organization/impact-therapeutics,Series C,30000000,USD,30000000,2018-08-03
Series E - Alector,https://www.crunchbase.com/funding_round/alector-series-e--3203322e,Alector,https://www.crunchbase.com/organization/alector,Series E,133000000,USD,133000000,2018-07-25
Series C - Metacrine,https://www.crunchbase.com/funding_round/metacrine-series-c--84b258f5,Metacrine,https://www.crunchbase.com/organization/metacrine,Series C,65000000,USD,65000000,2018-06-06
Series B - Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/funding_round/hangzhou-just-biotherapeutics-just-china-series-b--0640dbf2,Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/organization/hangzhou-just-biotherapeutics-just-china,Series B,35000000,USD,35000000,2018-06-06
Series A - Ansun BioPharma,https://www.crunchbase.com/funding_round/ansun-biopharma-series-a--1d3d99a4,Ansun BioPharma,https://www.crunchbase.com/organization/ansun-biopharma,Series A,85000000,USD,85000000,2018-05-14
Series B - MabSpace Biosciences Co.,https://www.crunchbase.com/funding_round/mabspace-biosciences-co-series-b--130fd555,MabSpace Biosciences Co.,https://www.crunchbase.com/organization/mabspace-biosciences-co,Series B,40000000,USD,40000000,2018-05-11
Series F - Avedro,https://www.crunchbase.com/funding_round/avedro-series-f--f237fbe4,Avedro,https://www.crunchbase.com/organization/avedro,Series F,25000000,USD,25000000,2018-05-02
Series E - Innovent Biologics,https://www.crunchbase.com/funding_round/innovent-biologics-series-e--9d419fb6,Innovent Biologics,https://www.crunchbase.com/organization/innovent-biologics,Series E,150000000,USD,150000000,2018-04-27
Series A - Tmunity Therapeutics,https://www.crunchbase.com/funding_round/tmunity-therapeutics-series-a--430a6cc4,Tmunity Therapeutics,https://www.crunchbase.com/organization/tmunity-therapeutics,Series A,35000000,USD,35000000,2018-04-19
Series A - Terns Pharmaceuticals,https://www.crunchbase.com/funding_round/terns-pharmaceuticals-series-a--d7b9091b,Terns Pharmaceuticals,https://www.crunchbase.com/organization/terns-pharmaceuticals,Series A,30000000,USD,30000000,2018-04-04
Series B - Tempest Therapeutics,https://www.crunchbase.com/funding_round/tempest-therapeutics-series-b--06285fb0,Tempest Therapeutics,https://www.crunchbase.com/organization/tempest-therapeutics,Series B,70000000,USD,70000000,2018-03-28
Series A - Singlera Genomics,https://www.crunchbase.com/funding_round/singlera-genomics-series-a--0cbb84e2,Singlera Genomics,https://www.crunchbase.com/organization/singlera-genomics,Series A,60000000,USD,60000000,2018-03-27
Series A - Tmunity Therapeutics,https://www.crunchbase.com/funding_round/tmunity-therapeutics-series-a--931737e4,Tmunity Therapeutics,https://www.crunchbase.com/organization/tmunity-therapeutics,Series A,100000000,USD,100000000,2018-01-23
Corporate Round - Sansure Biotech,https://www.crunchbase.com/funding_round/sansure-biotech-corporate-round--40090b82,Sansure Biotech,https://www.crunchbase.com/organization/sansure-biotech,Corporate Round,77000000,USD,77000000,2018-01-02
Series B - Gritstone Oncology,https://www.crunchbase.com/funding_round/gritstone-oncology-series-b--cebc91fc,Gritstone Oncology,https://www.crunchbase.com/organization/gritstone-oncology,Series B,93000000,USD,93000000,2017-09-07
Series B - Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/funding_round/hangzhou-just-biotherapeutics-just-china-series-b--a8758c6d,Hangzhou Just Biotherapeutics (Just China),https://www.crunchbase.com/organization/hangzhou-just-biotherapeutics-just-china,Series B,400000000,CNY,59617032,2017-08-08
Series B - InventisBio,https://www.crunchbase.com/funding_round/inventisbio-2-series-b--d5a67204,InventisBio,https://www.crunchbase.com/organization/inventisbio-2,Series B,19000000,USD,19000000,2017-05-30
Series C - TP Therapeutics,https://www.crunchbase.com/funding_round/tp-therapeutics-series-c--5599615a,TP Therapeutics,https://www.crunchbase.com/organization/tp-therapeutics,Series C,45000000,USD,45000000,2017-05-23
Venture Round - Tianjin CanSino Biotechnology Inc.,https://www.crunchbase.com/funding_round/tianjin-cansino-biotechnology-inc-series-unknown--895ae7f2,Tianjin CanSino Biotechnology Inc.,https://www.crunchbase.com/organization/tianjin-cansino-biotechnology-inc,Venture - Series Unknown,65000000,USD,65000000,2017-04-19
