Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Wozaijia.com,https://www.crunchbase.com/funding_round/wozaijia-com-series-a--5201b998,Wozaijia.com,https://www.crunchbase.com/organization/wozaijia-com,Series A,,,,2018-05-30
Series C - Yangche Diandian,https://www.crunchbase.com/funding_round/yangche-diandian-series-c--09f4febe,Yangche Diandian,https://www.crunchbase.com/organization/yangche-diandian,Series C,10000000,USD,10000000,2017-10-11
Series D - Mobike,https://www.crunchbase.com/funding_round/mobike-series-d--98cb5bfa,Mobike,https://www.crunchbase.com/organization/mobike,Series D,215000000,USD,215000000,2017-01-04
Series D - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-d--88ce947d,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series D,65000000,USD,65000000,2016-11-02
Series B - NIO,https://www.crunchbase.com/funding_round/nextev-series-b--87560d64,NIO,https://www.crunchbase.com/organization/nextev,Series B,316000000,USD,316000000,2016-07-21
Series D - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-d--6fb2137e,Jimubox,https://www.crunchbase.com/organization/jimubox,Series D,,,,2016-07-15
Series C - Kanzhun,https://www.crunchbase.com/funding_round/kanzhun-series-c--20ea8ed8,Kanzhun,https://www.crunchbase.com/organization/kanzhun,Series C,,,,2016-07-15
Series C - Mogu,https://www.crunchbase.com/funding_round/mogu-series-c--feaef8ba,Mogu,https://www.crunchbase.com/organization/mogu,Series C,,,,2016-06-15
Series B - Asia Innovation,https://www.crunchbase.com/funding_round/asia-innovation-series-b--d431f41d,Asia Innovation,https://www.crunchbase.com/organization/asia-innovation,Series B,,,,2016-04-10
Series C - Haizhi Wangju Internet Technology,https://www.crunchbase.com/funding_round/haizhi-wangju-internet-technology-series-c--03b63463,Haizhi Wangju Internet Technology,https://www.crunchbase.com/organization/haizhi-wangju-internet-technology,Series C,30000000,USD,30000000,2016-03-02
Series A - Meituan-Dianping,https://www.crunchbase.com/funding_round/dianping-series-a--b2083d77,Meituan-Dianping,https://www.crunchbase.com/organization/dianping,Series A,3300000000,USD,3300000000,2016-01-18
Series E - Mogujie,https://www.crunchbase.com/funding_round/mogujie-series-e--d9757009,Mogujie,https://www.crunchbase.com/organization/mogujie,Series E,200000000,USD,200000000,2015-11-23
Series C - Collective Health,https://www.crunchbase.com/funding_round/collectivehealth-series-c--4a227a6a,Collective Health,https://www.crunchbase.com/organization/collectivehealth,Series C,81000000,USD,81000000,2015-10-20
Series D - Tujia,https://www.crunchbase.com/funding_round/tujia-series-d--7adb3132,Tujia,https://www.crunchbase.com/organization/tujia,Series D,300000000,USD,300000000,2015-08-03
Series F - Uber,https://www.crunchbase.com/funding_round/uber-series-f--c7387652,Uber,https://www.crunchbase.com/organization/uber,Series F,1000000000,USD,1000000000,2015-07-31
Series C - Xiaozhu.com,https://www.crunchbase.com/funding_round/xiaozhu-com-series-c--70382363,Xiaozhu.com,https://www.crunchbase.com/organization/xiaozhu-com,Series C,60000000,USD,60000000,2015-07-08
Series A - Sense.ly,https://www.crunchbase.com/funding_round/sense-ly-series-a--7169cf73,Sense.ly,https://www.crunchbase.com/organization/sense-ly,Series A,2500000,USD,2500000,2015-06-19
Series C - Xiao Ka,https://www.crunchbase.com/funding_round/xiao-ka-series-c--7f4853ca,Xiao Ka,https://www.crunchbase.com/organization/xiao-ka,Series C,,,,2015-06-15
Venture Round - BGI,https://www.crunchbase.com/funding_round/bgi-2-series-unknown--63839d56,BGI,https://www.crunchbase.com/organization/bgi-2,Venture - Series Unknown,2000000000,CNY,323508593,2015-06-01
Series A - Raven Tech,https://www.crunchbase.com/funding_round/raven-tech-series-a--1eadd073,Raven Tech,https://www.crunchbase.com/organization/raven-tech,Series A,15000000,USD,15000000,2015-05-31
Seed Round - MailTime,https://www.crunchbase.com/funding_round/mailtime-seed--74a86dd2,MailTime,https://www.crunchbase.com/organization/mailtime,Seed,2000000,USD,2000000,2015-05-27
Series C - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-c--213036f4,Jimubox,https://www.crunchbase.com/organization/jimubox,Series C,84000000,USD,84000000,2015-04-23
Series A - Yidu Cloud,https://www.crunchbase.com/funding_round/yidu-cloud-series-a--b92cd1f7,Yidu Cloud,https://www.crunchbase.com/organization/yidu-cloud,Series A,,,,2015-02-15
Series A - Leho,https://www.crunchbase.com/funding_round/leho-series-a--a4f9b6db,Leho,https://www.crunchbase.com/organization/leho,Series A,,,,2015-02-15
Seed Round - GrubMarket,https://www.crunchbase.com/funding_round/grubmarket-inc-seed--633e5bdf,GrubMarket,https://www.crunchbase.com/organization/grubmarket-inc,Seed,2100000,USD,2100000,2015-01-27
Series D - Zhaogang,https://www.crunchbase.com/funding_round/zhaogang-series-d--70816ba8,Zhaogang,https://www.crunchbase.com/organization/zhaogang,Series D,100000000,USD,100000000,2015-01-21
Series B - Kanzhun,https://www.crunchbase.com/funding_round/kanzhun-series-b--5146e208,Kanzhun,https://www.crunchbase.com/organization/kanzhun,Series B,,,,2015-01-15
Series B - Jimubox,https://www.crunchbase.com/funding_round/jimubox-series-b--0ea3c74f,Jimubox,https://www.crunchbase.com/organization/jimubox,Series B,37190000,USD,37190000,2014-09-10
Series E - Meilishuo,https://www.crunchbase.com/funding_round/meilishuo-series-e--6f4274d2,Meilishuo,https://www.crunchbase.com/organization/meilishuo,Series E,,,,2014-08-12
Series A - Asia Innovation,https://www.crunchbase.com/funding_round/asia-innovation-series-a--04a77ff6,Asia Innovation,https://www.crunchbase.com/organization/asia-innovation,Series A,,,,2014-01-10
