Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - DaoCloud,https://www.crunchbase.com/funding_round/daocloud-series-b--6e0da8ff,DaoCloud,https://www.crunchbase.com/organization/daocloud,Series B,14600000,USD,14600000,2018-09-20
Series B - GrandOmics,https://www.crunchbase.com/funding_round/grandomics-series-b--d8dcfca0,GrandOmics,https://www.crunchbase.com/organization/grandomics,Series B,15000000,USD,15000000,2018-07-04
Series A - Shukun Technology,https://www.crunchbase.com/funding_round/shukun-technology-series-a--163b2875,Shukun Technology,https://www.crunchbase.com/organization/shukun-technology,Series A,,,,2018-07-03
Series B - Nanos Medical,https://www.crunchbase.com/funding_round/nanos-medical-series-b--c43fb0e8,Nanos Medical,https://www.crunchbase.com/organization/nanos-medical,Series B,,,,2018-06-06
Series A - Vedeng,https://www.crunchbase.com/funding_round/vedeng-series-a--42a8f120,Vedeng,https://www.crunchbase.com/organization/vedeng,Series A,15650000,USD,15650000,2018-05-22
Series A - Helian Health,https://www.crunchbase.com/funding_round/helian-health-series-a--d9a7bf78,Helian Health,https://www.crunchbase.com/organization/helian-health,Series A,60000000,CNY,9010514,2017-10-01
Series A - V-Joy Tech,https://www.crunchbase.com/funding_round/v-joy-tech-series-a--8373b7d0,V-Joy Tech,https://www.crunchbase.com/organization/v-joy-tech,Series A,7900000,USD,7900000,2018-03-23
Series A - Lion Rock FinTech,https://www.crunchbase.com/funding_round/lion-rock-fintech-series-a--7a16bd0f,Lion Rock FinTech,https://www.crunchbase.com/organization/lion-rock-fintech,Series A,50000000,HKD,6406220,2017-12-13
Series B - Huangjinguanjia,https://www.crunchbase.com/funding_round/huangjinguanjia-series-b--3f82c0b1,Huangjinguanjia,https://www.crunchbase.com/organization/huangjinguanjia,Series B,,,,2018-01-08
Series B - Cihon.cn,https://www.crunchbase.com/funding_round/cihon-cn-series-b--2ccb9bd7,Cihon.cn,https://www.crunchbase.com/organization/cihon-cn,Series B,,,,2018-01-03
Series B - AnchorDx,https://www.crunchbase.com/funding_round/anchordx-series-b--f67911ee,AnchorDx,https://www.crunchbase.com/organization/anchordx,Series B,28000000,USD,28000000,2017-11-07
Series A - Yidebang,https://www.crunchbase.com/funding_round/yidebang-series-a--28c423be,Yidebang,https://www.crunchbase.com/organization/yidebang,Series A,9000000,USD,9000000,2017-11-09
Series A - AnchorDx,https://www.crunchbase.com/funding_round/anchordx-series-a--03ab8bc9,AnchorDx,https://www.crunchbase.com/organization/anchordx,Series A,,,,2015-12-31
Series A - AnchorDx,https://www.crunchbase.com/funding_round/anchordx-series-a--deb5b7ff,AnchorDx,https://www.crunchbase.com/organization/anchordx,Series A,,,,2016-01-01
Series B - Baozhunniu,https://www.crunchbase.com/funding_round/baozhunniu-series-b--a5711df1,Baozhunniu,https://www.crunchbase.com/organization/baozhunniu,Series B,100000000,CNY,15010282,2017-08-24
