Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Dishangtie Car Rental,https://www.crunchbase.com/funding_round/dishangtie-series-b--b63e2267,Dishangtie Car Rental,https://www.crunchbase.com/organization/dishangtie,Series B,300000000,CNY,43149325,2018-10-29
Series B - GrowingIO,https://www.crunchbase.com/funding_round/growingio-2-series-b--13e14516,GrowingIO,https://www.crunchbase.com/organization/growingio-2,Series B,30000000,USD,30000000,2018-10-25
Series B - Magnet Finance,https://www.crunchbase.com/funding_round/magnetic-finance-series-b--eff97d41,Magnet Finance,https://www.crunchbase.com/organization/magnetic-finance,Series B,120000000,CNY,17281105,2018-10-24
Series E - Beisen,https://www.crunchbase.com/funding_round/beisen-series-e--34a9ea02,Beisen,https://www.crunchbase.com/organization/beisen,Series E,100000000,USD,100000000,2018-10-23
Series A - TokenInsight,https://www.crunchbase.com/funding_round/tokeninsight-series-a--b1f40e68,TokenInsight,https://www.crunchbase.com/organization/tokeninsight,Series A,,,,2018-10-15
Series B - Yunshan Networks,https://www.crunchbase.com/funding_round/yunshan-networks-series-b--2526b20f,Yunshan Networks,https://www.crunchbase.com/organization/yunshan-networks,Series B,11000000,USD,11000000,2018-09-27
Seed Round - Datacloak,https://www.crunchbase.com/funding_round/datacloak-seed--9deb0cd2,Datacloak,https://www.crunchbase.com/organization/datacloak,Seed,,,,2018-09-21
Series A - Liushanmen,https://www.crunchbase.com/funding_round/liushanmen-series-a--fb580871,Liushanmen,https://www.crunchbase.com/organization/liushanmen,Series A,,,,2018-09-20
Series A - Liushanmen,https://www.crunchbase.com/funding_round/liushanmen-series-a--65dcda77,Liushanmen,https://www.crunchbase.com/organization/liushanmen,Series A,,,,2018-09-20
Series B - Weimai,https://www.crunchbase.com/funding_round/weimai-series-b--ea4614b5,Weimai,https://www.crunchbase.com/organization/weimai,Series B,30000000,USD,30000000,2018-09-13
Series C - PingCAP,https://www.crunchbase.com/funding_round/pingcap-series-c--0f92fa25,PingCAP,https://www.crunchbase.com/organization/pingcap,Series C,50000000,USD,50000000,2018-09-11
Series D - Kaochong,https://www.crunchbase.com/funding_round/kaochong-series-d--098263d4,Kaochong,https://www.crunchbase.com/organization/kaochong,Series D,55000000,USD,55000000,2018-09-05
Series E - SoYoung Technology,https://www.crunchbase.com/funding_round/soyoung-technology-series-e--8e3d22de,SoYoung Technology,https://www.crunchbase.com/organization/soyoung-technology,Series E,70000000,USD,70000000,2018-09-04
Series B - Shanxiuxia,https://www.crunchbase.com/funding_round/shanxiuxia-series-b--6fed859b,Shanxiuxia,https://www.crunchbase.com/organization/shanxiuxia,Series B,80000000,CNY,11724875,2018-09-03
