Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Yijiupi.com,https://www.crunchbase.com/funding_round/yijiupi-com-series-d--9151c548,Yijiupi.com,https://www.crunchbase.com/organization/yijiupi-com,Series D,200000000,USD,200000000,2018-09-20
Series B - Shanghai LinkedCare Information Technology,https://www.crunchbase.com/funding_round/shanghai-linkedcare-information-technology-series-b--4cb37e84,Shanghai LinkedCare Information Technology,https://www.crunchbase.com/organization/shanghai-linkedcare-information-technology,Series B,,,,2018-09-28
Series E - Go-Jek,https://www.crunchbase.com/funding_round/go-jek-series-e--0ef2f269,Go-Jek,https://www.crunchbase.com/organization/go-jek,Series E,1500000000,USD,1500000000,2018-02-12
Series D - Gengmei,https://www.crunchbase.com/funding_round/gengmei-series-d--380e7e23,Gengmei,https://www.crunchbase.com/organization/gengmei,Series D,50000000,USD,50000000,2018-07-30
Series A - Order Handler,https://www.crunchbase.com/funding_round/order-handler-series-a--b5126d0b,Order Handler,https://www.crunchbase.com/organization/order-handler,Series A,10000000,USD,10000000,2018-07-27
Series G - Swiggy,https://www.crunchbase.com/funding_round/swiggy-series-g--af4a8de1,Swiggy,https://www.crunchbase.com/organization/swiggy,Series G,210000000,USD,210000000,2018-06-21
Series B - Sunmi Technology,https://www.crunchbase.com/funding_round/sunmi-technology-series-b--d800fb5e,Sunmi Technology,https://www.crunchbase.com/organization/sunmi-technology,Series B,29000000,USD,29000000,2015-05-01
Series B - Zskuaixiao,https://www.crunchbase.com/funding_round/zskuaixiao-series-b--7b7558e2,Zskuaixiao,https://www.crunchbase.com/organization/zskuaixiao,Series B,33000000,USD,33000000,2018-03-26
Series C - Meiweibuyongdeng,https://www.crunchbase.com/funding_round/meiweibuyongdeng-series-c--c737d5fd,Meiweibuyongdeng,https://www.crunchbase.com/organization/meiweibuyongdeng,Series C,500000000,CNY,78653700,2015-10-05
Series F - Swiggy,https://www.crunchbase.com/funding_round/swiggy-series-f--9203d525,Swiggy,https://www.crunchbase.com/organization/swiggy,Series F,100000000,USD,100000000,2018-02-08
Series B - KTVme,https://www.crunchbase.com/funding_round/ktvme-series-b--da762800,KTVme,https://www.crunchbase.com/organization/ktvme,Series B,19000000,USD,19000000,2018-03-30
Series C - Acewill,https://www.crunchbase.com/funding_round/acewill-series-c--25cc5e1e,Acewill,https://www.crunchbase.com/organization/acewill,Series C,32000000,USD,32000000,2018-03-28
Corporate Round - Pingxin Technology,https://www.crunchbase.com/funding_round/pingxin-technology-corporate-round--951fb784,Pingxin Technology,https://www.crunchbase.com/organization/pingxin-technology,Corporate Round,,,,2018-05-16
Series E - ELEME,https://www.crunchbase.com/funding_round/ele-me-series-e--51854e20,ELEME,https://www.crunchbase.com/organization/ele-me,Series E,350000000,USD,350000000,2015-01-27
Series A - Dajialai,https://www.crunchbase.com/funding_round/dajialai-series-a--cec88d84,Dajialai,https://www.crunchbase.com/organization/dajialai,Series A,15000000,USD,15000000,2017-10-20
Series C - Meican,https://www.crunchbase.com/funding_round/meican-series-c--406cfa37,Meican,https://www.crunchbase.com/organization/meican,Series C,23000000,USD,23000000,2015-04-07
Series D - ELEME,https://www.crunchbase.com/funding_round/ele-me-series-d--6336caf2,ELEME,https://www.crunchbase.com/organization/ele-me,Series D,80000000,USD,80000000,2014-05-06
Series A - Shuidi,https://www.crunchbase.com/funding_round/shuidi-series-a--ef330dc5,Shuidi,https://www.crunchbase.com/organization/shuidi,Series A,160000000,CNY,24258681,2017-08-30
Angel Round - Shuidi,https://www.crunchbase.com/funding_round/shuidi-angel--62029f5b,Shuidi,https://www.crunchbase.com/organization/shuidi,Angel,50000000,CNY,7242493,2017-04-10
Series A - NetEase Weiyang,https://www.crunchbase.com/funding_round/weiyang-series-a--91275bc8,NetEase Weiyang,https://www.crunchbase.com/organization/weiyang,Series A,23000000,USD,23000000,2017-04-28
Series C - Ejiupi,https://www.crunchbase.com/funding_round/ejiupi-series-c--af43bdd9,Ejiupi,https://www.crunchbase.com/organization/ejiupi,Series C,100000000,USD,100000000,2016-10-20
