Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Non Equity Assistance - Xinrenxinshi,https://www.crunchbase.com/funding_round/xinrenxinshi-non-equity-assistance--5164db24,Xinrenxinshi,https://www.crunchbase.com/organization/xinrenxinshi,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Bankorus,https://www.crunchbase.com/funding_round/bankorus-non-equity-assistance--395bcc42,Bankorus,https://www.crunchbase.com/organization/bankorus,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Baikemy.com,https://www.crunchbase.com/funding_round/baikemy-com-non-equity-assistance--8dbe623c,Baikemy.com,https://www.crunchbase.com/organization/baikemy-com,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - EKuaibao,https://www.crunchbase.com/funding_round/ekuaibao-non-equity-assistance--e36ac1d2,EKuaibao,https://www.crunchbase.com/organization/ekuaibao,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - MoPaaS,https://www.crunchbase.com/funding_round/mopaas-non-equity-assistance--c68603fb,MoPaaS,https://www.crunchbase.com/organization/mopaas,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Tricorn,https://www.crunchbase.com/funding_round/tricorn-technology-non-equity-assistance--437b71ac,Tricorn,https://www.crunchbase.com/organization/tricorn-technology,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Sensors Data,https://www.crunchbase.com/funding_round/sensors-data-non-equity-assistance--084018d9,Sensors Data,https://www.crunchbase.com/organization/sensors-data,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Deepcare,https://www.crunchbase.com/funding_round/deepcare-non-equity-assistance--080d2c59,Deepcare,https://www.crunchbase.com/organization/deepcare,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Jrmf,https://www.crunchbase.com/funding_round/jrmf-non-equity-assistance--7d989b8b,Jrmf,https://www.crunchbase.com/organization/jrmf,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Kebai Science and Technology,https://www.crunchbase.com/funding_round/kebai-science-and-technology-non-equity-assistance--aabcf245,Kebai Science and Technology,https://www.crunchbase.com/organization/kebai-science-and-technology,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - cloudinnov,https://www.crunchbase.com/funding_round/cloudinnov-non-equity-assistance--a0b47901,cloudinnov,https://www.crunchbase.com/organization/cloudinnov,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Techsun,https://www.crunchbase.com/funding_round/techsun-non-equity-assistance--97d6a1a2,Techsun,https://www.crunchbase.com/organization/techsun,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Cloudwise,https://www.crunchbase.com/funding_round/cloudwise-2-non-equity-assistance--31dd653a,Cloudwise,https://www.crunchbase.com/organization/cloudwise-2,Non-equity Assistance,,,,2017-06-27
Non Equity Assistance - Dfocus,https://www.crunchbase.com/funding_round/dfocus-non-equity-assistance--30c21883,Dfocus,https://www.crunchbase.com/organization/dfocus,Non-equity Assistance,,,,2017-06-27
Seed Round - Clobotics,https://www.crunchbase.com/funding_round/clobotics-seed--80e799a1,Clobotics,https://www.crunchbase.com/organization/clobotics,Seed,5000000,USD,5000000,2017-06-26
Non Equity Assistance - Qingyuan Technology,https://www.crunchbase.com/funding_round/qingyuan-technology-non-equity-assistance--7851956d,Qingyuan Technology,https://www.crunchbase.com/organization/qingyuan-technology,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Shadow Creator,https://www.crunchbase.com/funding_round/shadow-creator-non-equity-assistance--16e085c3,Shadow Creator,https://www.crunchbase.com/organization/shadow-creator,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - DEEP Informatics,https://www.crunchbase.com/funding_round/deep-informatics-non-equity-assistance--985c7281,DEEP Informatics,https://www.crunchbase.com/organization/deep-informatics,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Qtparking,https://www.crunchbase.com/funding_round/qtparking-non-equity-assistance--ee9790d1,Qtparking,https://www.crunchbase.com/organization/qtparking,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Sodacar,https://www.crunchbase.com/funding_round/sodacar-non-equity-assistance--86543c3a,Sodacar,https://www.crunchbase.com/organization/sodacar,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Bitpower,https://www.crunchbase.com/funding_round/bitpower-non-equity-assistance--03f6e21c,Bitpower,https://www.crunchbase.com/organization/bitpower,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Bubi,https://www.crunchbase.com/funding_round/bubi-non-equity-assistance--8870f02b,Bubi,https://www.crunchbase.com/organization/bubi,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Linkingmed,https://www.crunchbase.com/funding_round/linkingmed-non-equity-assistance--53d4edb6,Linkingmed,https://www.crunchbase.com/organization/linkingmed,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Princetechs,https://www.crunchbase.com/funding_round/princetechs-non-equity-assistance--916e2971,Princetechs,https://www.crunchbase.com/organization/princetechs,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Tech valley,https://www.crunchbase.com/funding_round/tech-valley-non-equity-assistance--eee18c9b,Tech valley,https://www.crunchbase.com/organization/tech-valley,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Logosdata,https://www.crunchbase.com/funding_round/logosdata-non-equity-assistance--cd55e758,Logosdata,https://www.crunchbase.com/organization/logosdata,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Zionchina,https://www.crunchbase.com/funding_round/zionchina-non-equity-assistance--a3948dbf,Zionchina,https://www.crunchbase.com/organization/zionchina,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Wysengine,https://www.crunchbase.com/funding_round/wysengine-non-equity-assistance--3263b5e1,Wysengine,https://www.crunchbase.com/organization/wysengine,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - ThreatBook,https://www.crunchbase.com/funding_round/threatbook-non-equity-assistance--78c54989,ThreatBook,https://www.crunchbase.com/organization/threatbook,Non-equity Assistance,,,,2017-01-12
Non Equity Assistance - Gago,https://www.crunchbase.com/funding_round/gago-non-equity-assistance--771dc9ec,Gago,https://www.crunchbase.com/organization/gago,Non-equity Assistance,,,,2017-01-01
Non Equity Assistance - Wemart,https://www.crunchbase.com/funding_round/wemart-non-equity-assistance--791435d7,Wemart,https://www.crunchbase.com/organization/wemart,Non-equity Assistance,,,,2016-03-05
Non Equity Assistance - Cipher Gene Tech,https://www.crunchbase.com/funding_round/cipher-gene-tech-non-equity-assistance--12ae4652,Cipher Gene Tech,https://www.crunchbase.com/organization/cipher-gene-tech,Non-equity Assistance,,,,2016-03-05
