Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Non Equity Assistance - Chinapex,https://www.crunchbase.com/funding_round/chinapex-non-equity-assistance--6131192c,Chinapex,https://www.crunchbase.com/organization/chinapex,Non-equity Assistance,,,,2017-08-15
Non Equity Assistance - Bocloud,https://www.crunchbase.com/funding_round/bocloud-non-equity-assistance--89ff524a,Bocloud,https://www.crunchbase.com/organization/bocloud,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Icubic,https://www.crunchbase.com/funding_round/icubic-2-non-equity-assistance--443f9f1b,Icubic,https://www.crunchbase.com/organization/icubic-2,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Lavector,https://www.crunchbase.com/funding_round/lavector-non-equity-assistance--6f6bf080,Lavector,https://www.crunchbase.com/organization/lavector,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Bigsec,https://www.crunchbase.com/funding_round/bigsec-non-equity-assistance--52e94777,Bigsec,https://www.crunchbase.com/organization/bigsec,Non-equity Assistance,,,,2017-06-19
Non Equity Assistance - Easyretailpro,https://www.crunchbase.com/funding_round/easyretailpro-non-equity-assistance--1cedba8e,Easyretailpro,https://www.crunchbase.com/organization/easyretailpro,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Kyligence,https://www.crunchbase.com/funding_round/kyligence-non-equity-assistance--60a3da78,Kyligence,https://www.crunchbase.com/organization/kyligence,Non-equity Assistance,,,,2017-06-20
Non Equity Assistance - G2link,https://www.crunchbase.com/funding_round/g2-link-non-equity-assistance--cac73811,G2link,https://www.crunchbase.com/organization/g2-link,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Schoolpal,https://www.crunchbase.com/funding_round/schoolpal-non-equity-assistance--2997e1d7,Schoolpal,https://www.crunchbase.com/organization/schoolpal,Non-equity Assistance,,,,2017-06-21
Non Equity Assistance - EasyOps,https://www.crunchbase.com/funding_round/easyops-non-equity-assistance--d03d72f5,EasyOps,https://www.crunchbase.com/organization/easyops,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Caicloud,https://www.crunchbase.com/funding_round/caicloud-non-equity-assistance--bb4517b7,Caicloud,https://www.crunchbase.com/organization/caicloud,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - MINIEYE,https://www.crunchbase.com/funding_round/minieye-non-equity-assistance--47ce8857,MINIEYE,https://www.crunchbase.com/organization/minieye,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Yinchengku,https://www.crunchbase.com/funding_round/yinchengku-non-equity-assistance--e3fc3dda,Yinchengku,https://www.crunchbase.com/organization/yinchengku,Non-equity Assistance,,,,2017-06-16
Non Equity Assistance - Ruff,https://www.crunchbase.com/funding_round/ruff-non-equity-assistance--340199f9,Ruff,https://www.crunchbase.com/organization/ruff,Non-equity Assistance,,,,2017-06-17
