Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - JHL Biotech,https://www.crunchbase.com/funding_round/jhl-biotech-series-b--54393544,JHL Biotech,https://www.crunchbase.com/organization/jhl-biotech,Series B,35000000,USD,35000000,2014-06-19
Angel Round - Navid Biotech,https://www.crunchbase.com/funding_round/navid-biotech-angel--6419508f,Navid Biotech,https://www.crunchbase.com/organization/navid-biotech,Angel,,,,2018-08-15
Series C - JHL Biotech,https://www.crunchbase.com/funding_round/jhl-biotech-series-c--ecc20621,JHL Biotech,https://www.crunchbase.com/organization/jhl-biotech,Series C,45600000,USD,45600000,2015-05-11
Series D - ASLAN Pharmaceuticals,https://www.crunchbase.com/funding_round/aslan-pharmaceuticals-series-d--d710e495,ASLAN Pharmaceuticals,https://www.crunchbase.com/organization/aslan-pharmaceuticals,Series D,23000000,USD,23000000,2016-07-04
Series B - Lili & Beauty,https://www.crunchbase.com/funding_round/lili---beauty-series-b--edef6ad6,Lili & Beauty,https://www.crunchbase.com/organization/lili---beauty,Series B,100000000,USD,100000000,2015-04-08
Series B - Nanjing Guanya Power Equipment,https://www.crunchbase.com/funding_round/nanjing-guanya-power-equipment-series-b--f66a55dd,Nanjing Guanya Power Equipment,https://www.crunchbase.com/organization/nanjing-guanya-power-equipment,Series B,12000000,USD,12000000,2010-07-01
Series A - Ushi,https://www.crunchbase.com/funding_round/ushi-series-a--45e0b639,Ushi,https://www.crunchbase.com/organization/ushi,Series A,10000000,CNY,1494470,2010-10-01
Venture Round - The Thatched Cottage Pharmaceutical Group,https://www.crunchbase.com/funding_round/the-thatched-cottage-pharmaceutical-group-series-unknown--d11440b5,The Thatched Cottage Pharmaceutical Group,https://www.crunchbase.com/organization/the-thatched-cottage-pharmaceutical-group,Venture - Series Unknown,,,,2011-03-01
Series C - Focus Media,https://www.crunchbase.com/funding_round/focus-media-2-series-c--99447d12,Focus Media,https://www.crunchbase.com/organization/focus-media-2,Series C,,,,2004-04-01
Series A - Happy Industry,https://www.crunchbase.com/funding_round/happy-industry-series-a--5a1b09f6,Happy Industry,https://www.crunchbase.com/organization/happy-industry,Series A,10000000,CNY,1648696,2014-01-01
Series A - Xinhua Travel,https://www.crunchbase.com/funding_round/xinhua-travel-series-a--206730df,Xinhua Travel,https://www.crunchbase.com/organization/xinhua-travel,Series A,23000000,USD,23000000,2011-09-19
Series A - Kuke Music,https://www.crunchbase.com/funding_round/kuke-music-series-a--bd05fb0e,Kuke Music,https://www.crunchbase.com/organization/kuke-music,Series A,10000000,CNY,1612941,2014-04-01
"Series A - Suzhou Xiexin Photovoltaic Technology Co., Ltd",https://www.crunchbase.com/funding_round/suzhou-xiexin-photovoltaic-technology-co-ltd-series-a--2679df75,"Suzhou Xiexin Photovoltaic Technology Co., Ltd",https://www.crunchbase.com/organization/suzhou-xiexin-photovoltaic-technology-co-ltd,Series A,260000000,USD,260000000,2008-06-01
Series B - Ushi,https://www.crunchbase.com/funding_round/ushi-series-b--303456ff,Ushi,https://www.crunchbase.com/organization/ushi,Series B,3000000,USD,3000000,2011-10-13
