Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Cashify.in,https://www.crunchbase.com/funding_round/cashify-in-series-c--7c935ff6,Cashify.in,https://www.crunchbase.com/organization/cashify-in,Series C,12000000,USD,12000000,2018-06-28
Series B - Agora.io,https://www.crunchbase.com/funding_round/agora-io-series-b--cff11033,Agora.io,https://www.crunchbase.com/organization/agora-io,Series B,30000000,USD,30000000,2018-06-08
Series D - Liquidia Technologies,https://www.crunchbase.com/funding_round/liquidia-technologies-series-d--386332e1,Liquidia Technologies,https://www.crunchbase.com/organization/liquidia-technologies,Series D,25500000,USD,25500000,2018-02-20
Seed Round - The Nue Co.,https://www.crunchbase.com/funding_round/the-nue-co-seed--75005d56,The Nue Co.,https://www.crunchbase.com/organization/the-nue-co,Seed,1500000,USD,1500000,2017-12-21
Series A - Kuaidian Yuedu,https://www.crunchbase.com/funding_round/kuaidian-yuedu-series-a--e224ab1a,Kuaidian Yuedu,https://www.crunchbase.com/organization/kuaidian-yuedu,Series A,5000000,USD,5000000,2017-09-25
Series B - Kezar Life Sciences,https://www.crunchbase.com/funding_round/kezar-life-sciences-series-b--15c97d11,Kezar Life Sciences,https://www.crunchbase.com/organization/kezar-life-sciences,Series B,50000000,USD,50000000,2017-07-25
Series A - Desora,https://www.crunchbase.com/funding_round/desora-series-a--479b5292,Desora,https://www.crunchbase.com/organization/desora,Series A,,,,2017-06-19
Series B - Freight Farms,https://www.crunchbase.com/funding_round/freight-farms-series-b--3807db43,Freight Farms,https://www.crunchbase.com/organization/freight-farms,Series B,7300000,USD,7300000,2017-04-12
Series A - Frequency Therapeutics,https://www.crunchbase.com/funding_round/frequency-therapeutics-series-a--48ea3f40,Frequency Therapeutics,https://www.crunchbase.com/organization/frequency-therapeutics,Series A,32000000,USD,32000000,2017-04-11
Venture Round - Cognoa,https://www.crunchbase.com/funding_round/cognoa-series-unknown--5ff903bd,Cognoa,https://www.crunchbase.com/organization/cognoa,Venture - Series Unknown,11600000,USD,11600000,2017-03-27
Series D - aihuishou,https://www.crunchbase.com/funding_round/aihuishou-series-d--b835115f,aihuishou,https://www.crunchbase.com/organization/aihuishou,Series D,400000000,CNY,57616962,2016-12-21
Series B - Elysium Health,https://www.crunchbase.com/funding_round/elysium-health-series-b--df9f1aa9,Elysium Health,https://www.crunchbase.com/organization/elysium-health,Series B,20000000,USD,20000000,2016-12-06
Series A - CollegeVine,https://www.crunchbase.com/funding_round/collegevine-series-a--158c18de,CollegeVine,https://www.crunchbase.com/organization/collegevine,Series A,3100000,USD,3100000,2016-11-02
Series A - Cognoa,https://www.crunchbase.com/funding_round/cognoa-series-a--9b48d850,Cognoa,https://www.crunchbase.com/organization/cognoa,Series A,3820299,USD,3820299,2016-10-31
Series A - IrisVR,https://www.crunchbase.com/funding_round/irisvr-inc-series-a--b19e1b86,IrisVR,https://www.crunchbase.com/organization/irisvr-inc,Series A,8000000,USD,8000000,2016-10-25
Series A - Amylyx Pharmaceutical,https://www.crunchbase.com/funding_round/amylyx-pharmaceutical-series-a--621ee49b,Amylyx Pharmaceutical,https://www.crunchbase.com/organization/amylyx-pharmaceutical,Series A,5000000,USD,5000000,2016-08-22
Series A - Dotc United Group,https://www.crunchbase.com/funding_round/dotc-united-group-series-a--0b3f9dc5,Dotc United Group,https://www.crunchbase.com/organization/dotc-united-group,Series A,300000000,CNY,44809545,2016-07-19
Series A - Innoventure,https://www.crunchbase.com/funding_round/innoventure-series-a--23a48453,Innoventure,https://www.crunchbase.com/organization/innoventure,Series A,,,,2016-07-05
Series C - Keep,https://www.crunchbase.com/funding_round/keep-3-series-c--ae0cb8c8,Keep,https://www.crunchbase.com/organization/keep-3,Series C,32000000,USD,32000000,2016-05-16
Series C - TikTok,https://www.crunchbase.com/funding_round/musical-ly-series-c--e2c0d4b3,TikTok,https://www.crunchbase.com/organization/musical-ly,Series C,130000000,USD,130000000,2016-05-13
Series C - Omni Prime Inc.,https://www.crunchbase.com/funding_round/omni-prime-inc-series-c--e5685b9d,Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,Series C,46000000,USD,46000000,2016-04-12
Series B - Easyhin Technology,https://www.crunchbase.com/funding_round/easyhin-technology-series-b--79b3c45b,Easyhin Technology,https://www.crunchbase.com/organization/easyhin-technology,Series B,15000000,USD,15000000,2016-03-21
Series B - Kunlun Fight,https://www.crunchbase.com/funding_round/kunlun-fight-series-b--25ba8c28,Kunlun Fight,https://www.crunchbase.com/organization/kunlun-fight,Series B,31000000,USD,31000000,2016-03-18
