Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Vermont Teddy Bear,https://www.crunchbase.com/funding_round/vermont-teddy-bear-series-unknown--29cdb8f9,Vermont Teddy Bear,https://www.crunchbase.com/organization/vermont-teddy-bear,Venture - Series Unknown,,,,2005-10-01
Series B - Touchmedia,https://www.crunchbase.com/funding_round/touchmedia-series-b--f7ee7c7c,Touchmedia,https://www.crunchbase.com/organization/touchmedia,Series B,14200000,USD,14200000,2008-03-27
Series B - Network Photonics,https://www.crunchbase.com/funding_round/network-photonics-series-b--eec8fa09,Network Photonics,https://www.crunchbase.com/organization/network-photonics,Series B,106500000,USD,106500000,2000-10-23
Venture Round - MoreMagic Solutions,https://www.crunchbase.com/funding_round/moremagic-solutions-series-unknown--ab9fde0e,MoreMagic Solutions,https://www.crunchbase.com/organization/moremagic-solutions,Venture - Series Unknown,8000000,USD,8000000,2000-06-22
Series A - LEAD Therapeutics,https://www.crunchbase.com/funding_round/lead-therapeutics-series-a--bedbf2e7,LEAD Therapeutics,https://www.crunchbase.com/organization/lead-therapeutics,Series A,17000000,USD,17000000,2007-11-05
Series A - Profex,https://www.crunchbase.com/funding_round/profex-series-a--ff33723a,Profex,https://www.crunchbase.com/organization/profex,Series A,15500000,USD,15500000,2008-08-28
Series B - Clustra Systems,https://www.crunchbase.com/funding_round/clustra-systems-series-b--46ce51c8,Clustra Systems,https://www.crunchbase.com/organization/clustra-systems,Series B,19000000,USD,19000000,2001-04-25
Series C - Chiaro Networks,https://www.crunchbase.com/funding_round/chiaro-networks-series-c--6213944a,Chiaro Networks,https://www.crunchbase.com/organization/chiaro-networks,Series C,100000000,USD,100000000,2000-09-25
Series A - Etology.com,https://www.crunchbase.com/funding_round/etology-series-a--300d774a,Etology.com,https://www.crunchbase.com/organization/etology,Series A,4000000,USD,4000000,2006-11-14
Series B - Followap,https://www.crunchbase.com/funding_round/followap-series-b--6db4f843,Followap,https://www.crunchbase.com/organization/followap,Series B,2000000,USD,2000000,2001-06-05
Series E - PacketVideo,https://www.crunchbase.com/funding_round/packetvideo-series-e--07dff8ba,PacketVideo,https://www.crunchbase.com/organization/packetvideo,Series E,100000000,USD,100000000,2001-03-12
Series D - CODEON,https://www.crunchbase.com/funding_round/codeon-corporation-series-d--f0a93896,CODEON,https://www.crunchbase.com/organization/codeon-corporation,Series D,37000000,USD,37000000,2001-02-06
Series B - Agility Communications,https://www.crunchbase.com/funding_round/agility-communications-series-b--d04e103a,Agility Communications,https://www.crunchbase.com/organization/agility-communications,Series B,70000000,USD,70000000,2000-10-11
