Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - ICHunt.com,https://www.crunchbase.com/funding_round/ichunt-com-series-b--aef7edba,ICHunt.com,https://www.crunchbase.com/organization/ichunt-com,Series B,,,,2017-12-26
Series D - Shansong (FlashEX),https://www.crunchbase.com/funding_round/shansong-series-d--d6ed0172,Shansong (FlashEX),https://www.crunchbase.com/organization/shansong,Series D,60000000,USD,60000000,2018-08-28
Series A - Let's Soup Party,https://www.crunchbase.com/funding_round/let-s-soup-party-series-a--3609ef58,Let's Soup Party,https://www.crunchbase.com/organization/let-s-soup-party,Series A,14600000,USD,14600000,2018-08-23
Series B - Shilily,https://www.crunchbase.com/funding_round/shilily-series-b--18141854,Shilily,https://www.crunchbase.com/organization/shilily,Series B,,,,2018-05-21
Series A - Jikelianmeng,https://www.crunchbase.com/funding_round/jikelianmeng-series-a--a0c2bed6,Jikelianmeng,https://www.crunchbase.com/organization/jikelianmeng,Series A,,,,2018-06-21
Seed Round - Squirrel Hill Technology,https://www.crunchbase.com/funding_round/squirrel-hill-technology-seed--0e51c0f2,Squirrel Hill Technology,https://www.crunchbase.com/organization/squirrel-hill-technology,Seed,,,,2018-08-29
Series A - Fast4ward,https://www.crunchbase.com/funding_round/fast4ward-series-a--0acc2372,Fast4ward,https://www.crunchbase.com/organization/fast4ward,Series A,,,,2017-11-08
Series A - Shequ001,https://www.crunchbase.com/funding_round/shequ001-series-a--2c31f916,Shequ001,https://www.crunchbase.com/organization/shequ001,Series A,,,,2014-03-01
Series A - Handseeing Information,https://www.crunchbase.com/funding_round/handseeing-information-series-a--a53d0ac3,Handseeing Information,https://www.crunchbase.com/organization/handseeing-information,Series A,,,,2013-01-01
Series A - Enter English,https://www.crunchbase.com/funding_round/enter-english-series-a--ad98b301,Enter English,https://www.crunchbase.com/organization/enter-english,Series A,,,,2015-07-02
Seed Round - Lun Yu Tian Xia,https://www.crunchbase.com/funding_round/lun-yu-tian-xia-seed--a20cc3d3,Lun Yu Tian Xia,https://www.crunchbase.com/organization/lun-yu-tian-xia,Seed,3000000,CNY,434626,2017-03-07
Series B - inMotion/SoloWheel,https://www.crunchbase.com/funding_round/inmotion-technologies-series-b--f5aa3bfb,inMotion/SoloWheel,https://www.crunchbase.com/organization/inmotion-technologies,Series B,17000000,USD,17000000,2014-12-09
Seed Round - TalkingData,https://www.crunchbase.com/funding_round/talking-data-seed--61894298,TalkingData,https://www.crunchbase.com/organization/talking-data,Seed,,,,2013-06-01
Seed Round - We Zebra,https://www.crunchbase.com/funding_round/we-zebra-seed--2d6f7fed,We Zebra,https://www.crunchbase.com/organization/we-zebra,Seed,,,,2015-01-01
Seed Round - Huizhuang,https://www.crunchbase.com/funding_round/huizhuang-seed--ad83952a,Huizhuang,https://www.crunchbase.com/organization/huizhuang,Seed,1000000,CNY,164869,2014-01-01
Seed Round - Vega Interactive,https://www.crunchbase.com/funding_round/vega-interactive-seed--33873153,Vega Interactive,https://www.crunchbase.com/organization/vega-interactive,Seed,,,,2014-04-01
Series B - Relashenghuo,https://www.crunchbase.com/funding_round/relashenghuo-series-b--fdfa0fd9,Relashenghuo,https://www.crunchbase.com/organization/relashenghuo,Series B,140000000,CNY,21009191,2017-08-22
Seed Round - TianChe Network,https://www.crunchbase.com/funding_round/tianche-network-seed--949ea54e,TianChe Network,https://www.crunchbase.com/organization/tianche-network,Seed,,,,2015-10-04
Series A - Zhi Tu,https://www.crunchbase.com/funding_round/zhi-tu-series-a--05846427,Zhi Tu,https://www.crunchbase.com/organization/zhi-tu,Series A,,,,2015-01-05
Angel Round - Mocha.cn,https://www.crunchbase.com/funding_round/mocha-cn-angel--63c3b15d,Mocha.cn,https://www.crunchbase.com/organization/mocha-cn,Angel,,,,2014-08-01
Series A - FangKuai Xiong,https://www.crunchbase.com/funding_round/transfereasy-series-a--ab1ec899,FangKuai Xiong,https://www.crunchbase.com/organization/transfereasy,Series A,,,,2016-11-01
Private Equity Round - 360 Finance,https://www.crunchbase.com/funding_round/360-finance-private-equity--0c59be61,360 Finance,https://www.crunchbase.com/organization/360-finance,Private Equity,,,,2017-06-08
Series A - Microsslink,https://www.crunchbase.com/funding_round/microsslink-series-a--f2134303,Microsslink,https://www.crunchbase.com/organization/microsslink,Series A,,,,2016-07-01
Seed Round - iBingyi,https://www.crunchbase.com/funding_round/ibingyi-seed--55c838c8,iBingyi,https://www.crunchbase.com/organization/ibingyi,Seed,,,,2013-09-01
Seed Round - Wan Zi,https://www.crunchbase.com/funding_round/wan-zi-seed--8a6efdeb,Wan Zi,https://www.crunchbase.com/organization/wan-zi,Seed,2000000,CNY,323718,2014-08-02
Series A - Huizhuang,https://www.crunchbase.com/funding_round/huizhuang-series-a--f76df4b2,Huizhuang,https://www.crunchbase.com/organization/huizhuang,Series A,5000000,USD,5000000,2015-03-01
Series A - WiFiPix,https://www.crunchbase.com/funding_round/wifipix-series-a--67e70261,WiFiPix,https://www.crunchbase.com/organization/wifipix,Series A,,,,2016-01-01
Seed Round - YunTu TV,https://www.crunchbase.com/funding_round/yuntu-tv-seed--f2a97050,YunTu TV,https://www.crunchbase.com/organization/yuntu-tv,Seed,4000000,CNY,645176,2014-04-01
Series A - AiDriving,https://www.crunchbase.com/funding_round/aidriving-series-a--d97dc4be,AiDriving,https://www.crunchbase.com/organization/aidriving,Series A,,,,2016-03-01
Series A - inMotion/SoloWheel,https://www.crunchbase.com/funding_round/inmotion-technologies-series-a--3dc334ee,inMotion/SoloWheel,https://www.crunchbase.com/organization/inmotion-technologies,Series A,25000000,CNY,4067976,2013-06-01
Seed Round - Mocha.cn,https://www.crunchbase.com/funding_round/mocha-cn-seed--377ec4ce,Mocha.cn,https://www.crunchbase.com/organization/mocha-cn,Seed,,,,2013-07-01
Series A - Viva Video,https://www.crunchbase.com/funding_round/xiaoying-series-a--875a6b2e,Viva Video,https://www.crunchbase.com/organization/xiaoying,Series A,,,,2014-04-01
Series C - TalkingData,https://www.crunchbase.com/funding_round/talking-data-series-c--6aa1483f,TalkingData,https://www.crunchbase.com/organization/talking-data,Series C,35000000,USD,35000000,2015-10-01
Series B - Lie Yun,https://www.crunchbase.com/funding_round/lie-yun-series-b--22ba0943,Lie Yun,https://www.crunchbase.com/organization/lie-yun,Series B,3000000,CNY,441416,2016-11-10
