Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - iMotion.ai,https://www.crunchbase.com/funding_round/imotion-ai-series-a--fafe9bce,iMotion.ai,https://www.crunchbase.com/organization/imotion-ai,Series A,,,,2018-07-26
Series E - QingTing FM,https://www.crunchbase.com/funding_round/qingting-fm-series-e--e1f0ddc3,QingTing FM,https://www.crunchbase.com/organization/qingting-fm,Series E,1000000000,CNY,150566695,2017-09-26
Series C - 7Invensun,https://www.crunchbase.com/funding_round/7invensun-series-c--45de123a,7Invensun,https://www.crunchbase.com/organization/7invensun,Series C,,,,2018-02-06
Series A - Suzhou Zelgen Biopharmaceuticals,https://www.crunchbase.com/funding_round/suzhou-zelgen-biopharmaceuticals-series-a--0d28a02d,Suzhou Zelgen Biopharmaceuticals,https://www.crunchbase.com/organization/suzhou-zelgen-biopharmaceuticals,Series A,,,,2016-03-01
Series A - Aozon,https://www.crunchbase.com/funding_round/aozon-series-a--10d9d666,Aozon,https://www.crunchbase.com/organization/aozon,Series A,,,,2018-01-30
Series A - DeepCam,https://www.crunchbase.com/funding_round/deepcam-series-a--d187d0cd,DeepCam,https://www.crunchbase.com/organization/deepcam,Series A,20000000,USD,20000000,2017-12-29
Series A - Sphyrna,https://www.crunchbase.com/funding_round/sphyrna-series-a--b7d2a646,Sphyrna,https://www.crunchbase.com/organization/sphyrna,Series A,,,,2018-02-08
Series B - Miyoo,https://www.crunchbase.com/funding_round/miyoo-series-b--39a3b10c,Miyoo,https://www.crunchbase.com/organization/miyoo,Series B,,,,2017-10-13
Corporate Round - Shanghai Youhug Media,https://www.crunchbase.com/funding_round/shanghai-youhug-media-corporate-round--b11bf07d,Shanghai Youhug Media,https://www.crunchbase.com/organization/shanghai-youhug-media,Corporate Round,,,,2017-10-26
Series B - Haoqiao.cn,https://www.crunchbase.com/funding_round/haoqiao-cn-series-b--1d7c801e,Haoqiao.cn,https://www.crunchbase.com/organization/haoqiao-cn,Series B,17000000,USD,17000000,2017-02-21
Corporate Round - Zing Home,https://www.crunchbase.com/funding_round/zing-home-corporate-round--0757b6ad,Zing Home,https://www.crunchbase.com/organization/zing-home,Corporate Round,15000000,USD,15000000,2017-10-27
