Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - Aerospace Maker Technology,https://www.crunchbase.com/funding_round/aerospace-maker-technology-angel--5180f809,Aerospace Maker Technology,https://www.crunchbase.com/organization/aerospace-maker-technology,Angel,,,,2018-06-28
Corporate Round - Tolo Bear,https://www.crunchbase.com/funding_round/tolo-bear-corporate-round--fb1be107,Tolo Bear,https://www.crunchbase.com/organization/tolo-bear,Corporate Round,,,,2018-04-25
Series C - Dr.Cuiyutao Healthcare,https://www.crunchbase.com/funding_round/dr-cuiyutao-healthcare-series-c--2d2f6ab9,Dr.Cuiyutao Healthcare,https://www.crunchbase.com/organization/dr-cuiyutao-healthcare,Series C,,,,2018-02-06
Series A - Geek-8,https://www.crunchbase.com/funding_round/geek-8-series-a--f7abf5f9,Geek-8,https://www.crunchbase.com/organization/geek-8,Series A,3100000,USD,3100000,2018-01-22
Series A - Xiaoxiaobaomama,https://www.crunchbase.com/funding_round/xiaoxiaobaomama-series-a--a3ede57e,Xiaoxiaobaomama,https://www.crunchbase.com/organization/xiaoxiaobaomama,Series A,21000000,USD,21000000,2017-12-15
Series B - Uhouzz,https://www.crunchbase.com/funding_round/uhouzz-series-b--ba47e1cf,Uhouzz,https://www.crunchbase.com/organization/uhouzz,Series B,14000000,USD,14000000,2017-11-22
Series A - Yamibuy,https://www.crunchbase.com/funding_round/yamibuy-series-a--d709c22c,Yamibuy,https://www.crunchbase.com/organization/yamibuy,Series A,10000000,USD,10000000,2017-07-10
Angel Round - Yixue Education,https://www.crunchbase.com/funding_round/yixue-education-angel--d7e6406d,Yixue Education,https://www.crunchbase.com/organization/yixue-education,Angel,41000000,USD,41000000,2017-11-07
Series D - TAL,https://www.crunchbase.com/funding_round/tal-3-series-d--d4057f35,TAL,https://www.crunchbase.com/organization/tal-3,Series D,100000000,USD,100000000,1999-05-08
Venture Round - Kaishu Jianggushi,https://www.crunchbase.com/funding_round/kaishu-jianggushi-series-unknown--ab605ce1,Kaishu Jianggushi,https://www.crunchbase.com/organization/kaishu-jianggushi,Venture - Series Unknown,90000000,CNY,13128639,2017-05-29
Venture Round - Roborobo,https://www.crunchbase.com/funding_round/roborobo-series-unknown--fe06eddd,Roborobo,https://www.crunchbase.com/organization/roborobo,Venture - Series Unknown,10000000,USD,10000000,2015-04-21
