Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Kuailaicai,https://www.crunchbase.com/funding_round/kuailaicai-series-a--5fc1cf76,Kuailaicai,https://www.crunchbase.com/organization/kuailaicai,Series A,,,,2018-07-03
Angel Round - VeeShop,https://www.crunchbase.com/funding_round/veeshop-angel--33ac5d78,VeeShop,https://www.crunchbase.com/organization/veeshop,Angel,,,,2018-04-18
Series A - Graph Movie,https://www.crunchbase.com/funding_round/graph-movie-series-a--2374cf59,Graph Movie,https://www.crunchbase.com/organization/graph-movie,Series A,,,,2018-02-05
Series A - TNG FinTech Group,https://www.crunchbase.com/funding_round/tng-fintech-group-series-a--de7bf9d8,TNG FinTech Group,https://www.crunchbase.com/organization/tng-fintech-group,Series A,115000000,USD,115000000,2017-09-11
Series B - Xiaoming Bike,https://www.crunchbase.com/funding_round/xiaoming-bike-series-b--26a4c721,Xiaoming Bike,https://www.crunchbase.com/organization/xiaoming-bike,Series B,,,,2017-07-17
Series C - NIO,https://www.crunchbase.com/funding_round/nextev-series-c--3ef721e0,NIO,https://www.crunchbase.com/organization/nextev,Series C,645709869,USD,645709869,2017-03-16
Series A - 1mdata.com,https://www.crunchbase.com/funding_round/1mdata-com-series-a--66d71197,1mdata.com,https://www.crunchbase.com/organization/1mdata-com,Series A,,,,2016-09-14
Angel Round - Xiaoming Bike,https://www.crunchbase.com/funding_round/xiaoming-bike-angel--6db22d08,Xiaoming Bike,https://www.crunchbase.com/organization/xiaoming-bike,Angel,,,,2016-08-15
Series A - Flowerplus,https://www.crunchbase.com/funding_round/flowerplus-series-a--98393ca4,Flowerplus,https://www.crunchbase.com/organization/flowerplus,Series A,10700000,USD,10700000,2016-06-20
Series A - Chinapex,https://www.crunchbase.com/funding_round/chinapex-series-a--6d8be9dd,Chinapex,https://www.crunchbase.com/organization/chinapex,Series A,40000000,CNY,6082801,2016-01-30
"Venture Round - Instamotor Technologies, Inc",https://www.crunchbase.com/funding_round/instamotor-series-unknown--6f61ab70,"Instamotor Technologies, Inc",https://www.crunchbase.com/organization/instamotor,Venture - Series Unknown,4000000,USD,4000000,2015-09-01
Series B - Panshi,https://www.crunchbase.com/funding_round/panshi-series-b--0a338256,Panshi,https://www.crunchbase.com/organization/panshi,Series B,200000000,USD,200000000,2015-05-05
Angel Round - TD Brand,https://www.crunchbase.com/funding_round/td-brand-angel--a8b9ef96,TD Brand,https://www.crunchbase.com/organization/td-brand,Angel,,,,2015-05-01
Angel Round - GameBau,https://www.crunchbase.com/funding_round/gamebau-angel--063a7d76,GameBau,https://www.crunchbase.com/organization/gamebau,Angel,2000000,USD,2000000,2015-04-01
Seed Round - Saphlux,https://www.crunchbase.com/funding_round/saphlux-seed--93665f60,Saphlux,https://www.crunchbase.com/organization/saphlux,Seed,1145000,USD,1145000,2015-03-13
Seed Round - Groopie,https://www.crunchbase.com/funding_round/groopie-seed--92acff25,Groopie,https://www.crunchbase.com/organization/groopie,Seed,400000,USD,400000,2014-03-05
Series A - The 19th Floor,https://www.crunchbase.com/funding_round/the-19th-floor-series-a--d6617a0f,The 19th Floor,https://www.crunchbase.com/organization/the-19th-floor,Series A,9741840,USD,9741840,2013-05-01
Venture Round - Xmybox,https://www.crunchbase.com/funding_round/xmybox-series-unknown--5c3c057b,Xmybox,https://www.crunchbase.com/organization/xmybox,Venture - Series Unknown,150000000,CNY,23548220,2012-06-01
Series A - Panshi,https://www.crunchbase.com/funding_round/panshi-series-a--874a691a,Panshi,https://www.crunchbase.com/organization/panshi,Series A,20000000,USD,20000000,2011-01-01
Series E - VANCL,https://www.crunchbase.com/funding_round/vancl-series-e--aa84cc94,VANCL,https://www.crunchbase.com/organization/vancl,Series E,100000000,USD,100000000,2010-12-01
Venture Round - ET Solar Group,https://www.crunchbase.com/funding_round/et-solar-group-series-unknown--56a3942c,ET Solar Group,https://www.crunchbase.com/organization/et-solar-group,Venture - Series Unknown,50000000,USD,50000000,2008-07-20
Series B - Joy Media Group,https://www.crunchbase.com/funding_round/joy-media-group-series-b--0304d713,Joy Media Group,https://www.crunchbase.com/organization/joy-media-group,Series B,,,,2007-06-01
Series B - Funinhand,https://www.crunchbase.com/funding_round/funinhand-series-b--f9ddeeec,Funinhand,https://www.crunchbase.com/organization/funinhand,Series B,2000000,USD,2000000,2006-06-01
Series B - Tianzhou Communication,https://www.crunchbase.com/funding_round/tianzhou-communication-series-b--a04c6a67,Tianzhou Communication,https://www.crunchbase.com/organization/tianzhou-communication,Series B,5000000,USD,5000000,2004-05-01
