Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Corporate Round - PalletOne (pallet.one),https://www.crunchbase.com/funding_round/palletone-pallet-one-corporate-round--e5c8d8d1,PalletOne (pallet.one),https://www.crunchbase.com/organization/palletone-pallet-one,Corporate Round,,,,2018-08-09
Initial Coin Offering - Rate,https://www.crunchbase.com/funding_round/rate-2deb-initial-coin-offering--9486012d,Rate,https://www.crunchbase.com/organization/rate-2deb,Initial Coin Offering,15000000,USD,15000000,2018-08-07
Angel Round - News.one,https://www.crunchbase.com/funding_round/news-one-angel--2c5a6de3,News.one,https://www.crunchbase.com/organization/news-one,Angel,,,,2018-08-06
Angel Round - Hotnode,https://www.crunchbase.com/funding_round/hotnode-angel--e48d128d,Hotnode,https://www.crunchbase.com/organization/hotnode,Angel,,,,2018-07-31
Venture Round - MoonX,https://www.crunchbase.com/funding_round/moonx-series-unknown--84e14320,MoonX,https://www.crunchbase.com/organization/moonx,Venture - Series Unknown,29000000,USD,29000000,2018-07-26
Venture Round - BiUP,https://www.crunchbase.com/funding_round/biup-series-unknown--b67060b4,BiUP,https://www.crunchbase.com/organization/biup,Venture - Series Unknown,10000000,USD,10000000,2018-07-26
Angel Round - Bhex,https://www.crunchbase.com/funding_round/bhex-angel--f4101abf,Bhex,https://www.crunchbase.com/organization/bhex,Angel,,,,2018-07-12
Venture Round - Ankr Network,https://www.crunchbase.com/funding_round/ankr-network-series-unknown--d7396faa,Ankr Network,https://www.crunchbase.com/organization/ankr-network,Venture - Series Unknown,7000000,USD,7000000,2018-06-15
Seed Round - Zhongmei Group,https://www.crunchbase.com/funding_round/zhongmei-group-seed--3cee892e,Zhongmei Group,https://www.crunchbase.com/organization/zhongmei-group,Seed,,,,2018-06-11
Initial Coin Offering - Hub,https://www.crunchbase.com/funding_round/hub-4-initial-coin-offering--1625c7b6,Hub,https://www.crunchbase.com/organization/hub-4,Initial Coin Offering,20000000,USD,20000000,2018-06-02
Initial Coin Offering - Contentbox,https://www.crunchbase.com/funding_round/contentbox-initial-coin-offering--120c0888,Contentbox,https://www.crunchbase.com/organization/contentbox,Initial Coin Offering,,,,2018-06-01
