Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Yunshan Networks,https://www.crunchbase.com/funding_round/yunshan-networks-series-b--2526b20f,Yunshan Networks,https://www.crunchbase.com/organization/yunshan-networks,Series B,11000000,USD,11000000,2018-09-27
Series C - Cytek,https://www.crunchbase.com/funding_round/cytek-series-c--5da74e83,Cytek,https://www.crunchbase.com/organization/cytek,Series C,,,,2018-09-24
Series A - BlueX Microelectronics,https://www.crunchbase.com/funding_round/bluex-microelectronics-series-a--8375509e,BlueX Microelectronics,https://www.crunchbase.com/organization/bluex-microelectronics,Series A,60000000,CNY,8763601,2018-09-20
Series B - Immune-Onc Therapeutics,https://www.crunchbase.com/funding_round/immune-onc-therapeutics-series-b--bb257cc6,Immune-Onc Therapeutics,https://www.crunchbase.com/organization/immune-onc-therapeutics,Series B,33000000,USD,33000000,2018-09-18
Series A - Hiretual,https://www.crunchbase.com/funding_round/hiretual-series-a--5688fd82,Hiretual,https://www.crunchbase.com/organization/hiretual,Series A,5000000,USD,5000000,2018-09-12
Series B - Laifual Drive,https://www.crunchbase.com/funding_round/laifual-drive-series-b--cfe4cced,Laifual Drive,https://www.crunchbase.com/organization/laifual-drive,Series B,60000000,CNY,8777062,2018-09-06
Angel Round - Cloudscreen,https://www.crunchbase.com/funding_round/cloudscreen-angel--dd14cf6d,Cloudscreen,https://www.crunchbase.com/organization/cloudscreen,Angel,,,,2018-08-14
Series A - Meiwo,https://www.crunchbase.com/funding_round/meiwo-series-a--0ff7e9d7,Meiwo,https://www.crunchbase.com/organization/meiwo,Series A,70000000,CNY,10274324,2018-07-31
Series A - Qihan Biotech,https://www.crunchbase.com/funding_round/qihan-biotech-series-a--70f177e3,Qihan Biotech,https://www.crunchbase.com/organization/qihan-biotech,Series A,7800000,USD,7800000,2018-07-23
Series C - Quantapore,https://www.crunchbase.com/funding_round/quantapore-series-c--42f77356,Quantapore,https://www.crunchbase.com/organization/quantapore,Series C,15550000,USD,15550000,2018-07-19
Seed Round - Qingfeng Shidai Technology,https://www.crunchbase.com/funding_round/qingfeng-shidai-technology-seed--4668127e,Qingfeng Shidai Technology,https://www.crunchbase.com/organization/qingfeng-shidai-technology,Seed,,,,2018-07-18
Series A - Wision A.I.,https://www.crunchbase.com/funding_round/wision-ai-series-a--482e7afd,Wision A.I.,https://www.crunchbase.com/organization/wision-ai,Series A,,,,2018-07-18
Series A - GMEMS Technologies,https://www.crunchbase.com/funding_round/gmems-technologies-series-a--f491c720,GMEMS Technologies,https://www.crunchbase.com/organization/gmems-technologies,Series A,7500000,USD,7500000,2018-07-10
Series B - AgotoZ Technology,https://www.crunchbase.com/funding_round/agotoz-technology-series-b--f4bf2e60,AgotoZ Technology,https://www.crunchbase.com/organization/agotoz-technology,Series B,15000000,USD,15000000,2018-06-29
Series B - Huohua Siwei,https://www.crunchbase.com/funding_round/huohua-siwei-series-b--3f5e2d90,Huohua Siwei,https://www.crunchbase.com/organization/huohua-siwei,Series B,20000000,USD,20000000,2018-06-20
Angel Round - BlockContinent,https://www.crunchbase.com/funding_round/blockcontinent-angel--1e915b1c,BlockContinent,https://www.crunchbase.com/organization/blockcontinent,Angel,,,,2018-06-19
Series B - Xynomic Pharmaceuticals,https://www.crunchbase.com/funding_round/xynomic-pharmaceuticals-series-b--ee61a1e6,Xynomic Pharmaceuticals,https://www.crunchbase.com/organization/xynomic-pharmaceuticals,Series B,,,,2018-06-01
Series A - Tingting Jiejie,https://www.crunchbase.com/funding_round/tingting-jiejie-series-a--4dabb278,Tingting Jiejie,https://www.crunchbase.com/organization/tingting-jiejie,Series A,,,,2018-06-01
