Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Zhongzhuangsupei,https://www.crunchbase.com/funding_round/zhongzhuangsupei-seed--6d8dcada,Zhongzhuangsupei,https://www.crunchbase.com/organization/zhongzhuangsupei,Seed,20000000,CNY,2874595,2018-10-29
Angel Round - Xmov,https://www.crunchbase.com/funding_round/xmov-angel--95d2b02b,Xmov,https://www.crunchbase.com/organization/xmov,Angel,,,,2018-10-19
Series B - Meichuang Technology,https://www.crunchbase.com/funding_round/meichuang-technology-series-b--674728f5,Meichuang Technology,https://www.crunchbase.com/organization/meichuang-technology,Series B,100000000,CNY,14606003,2018-09-20
Series B - Zike.com,https://www.crunchbase.com/funding_round/zike-com-series-b--e74f24f5,Zike.com,https://www.crunchbase.com/organization/zike-com,Series B,,,,2018-08-09
Series A - Zhaoliangji.com,https://www.crunchbase.com/funding_round/zhaoliangji-com-series-a--f922bdee,Zhaoliangji.com,https://www.crunchbase.com/organization/zhaoliangji-com,Series A,10000000,USD,10000000,2018-07-26
Series C - Ickey,https://www.crunchbase.com/funding_round/ickey-series-c--010d328b,Ickey,https://www.crunchbase.com/organization/ickey,Series C,,,,2018-06-21
Series A - Vedeng,https://www.crunchbase.com/funding_round/vedeng-series-a--42a8f120,Vedeng,https://www.crunchbase.com/organization/vedeng,Series A,15650000,USD,15650000,2018-05-22
Angel Round - Zhongzhuangsupei,https://www.crunchbase.com/funding_round/zhongzhuangsupei-angel--d50334e9,Zhongzhuangsupei,https://www.crunchbase.com/organization/zhongzhuangsupei,Angel,,,,2018-05-11
Series C - Hunan Kexin Health Industry Development,https://www.crunchbase.com/funding_round/hunan-kexin-health-industry-development-series-c--4327ae6d,Hunan Kexin Health Industry Development,https://www.crunchbase.com/organization/hunan-kexin-health-industry-development,Series C,38000000,USD,38000000,2018-05-07
Series D - Weimob,https://www.crunchbase.com/funding_round/weimob-series-d--d9490e35,Weimob,https://www.crunchbase.com/organization/weimob,Series D,160300000,USD,160300000,2018-04-23
Series A - ForceClouds,https://www.crunchbase.com/funding_round/forceclouds-series-a--0891bf3d,ForceClouds,https://www.crunchbase.com/organization/forceclouds,Series A,6600000,USD,6600000,2018-03-22
Series A - 99click,https://www.crunchbase.com/funding_round/99click-series-a--c5a53cb7,99click,https://www.crunchbase.com/organization/99click,Series A,6300000,USD,6300000,2018-03-12
Series B - Eqxiu.com,https://www.crunchbase.com/funding_round/eqxiu-com-series-b--8df0e4b6,Eqxiu.com,https://www.crunchbase.com/organization/eqxiu-com,Series B,9900000,USD,9900000,2018-01-22
Series B - MSParis,https://www.crunchbase.com/funding_round/ms-paris-series-b--b494de49,MSParis,https://www.crunchbase.com/organization/ms-paris,Series B,,,,2018-01-01
Series A - Shuwei,https://www.crunchbase.com/funding_round/shuwei-series-a--cb20d90e,Shuwei,https://www.crunchbase.com/organization/shuwei,Series A,,,,2017-11-08
Series B - Tuya,https://www.crunchbase.com/funding_round/tuya-e15f-series-b--de80161f,Tuya,https://www.crunchbase.com/organization/tuya-e15f,Series B,,,,2017-10-27
Series B - Hydata,https://www.crunchbase.com/funding_round/hydata-series-b--d6899257,Hydata,https://www.crunchbase.com/organization/hydata,Series B,100000000,CNY,14978484,2017-08-17
Series B - Haiyun Data,https://www.crunchbase.com/funding_round/haiyun-data-series-b--40a39c6d,Haiyun Data,https://www.crunchbase.com/organization/haiyun-data,Series B,14000000,USD,14000000,2017-08-16
Series B - Er Geng,https://www.crunchbase.com/funding_round/er-geng-series-b--05f73ed2,Er Geng,https://www.crunchbase.com/organization/er-geng,Series B,150000000,CNY,21885030,2017-01-23
Venture Round - DaDa,https://www.crunchbase.com/funding_round/dadaabc-com-series-unknown--b0db8c2c,DaDa,https://www.crunchbase.com/organization/dadaabc-com,Venture - Series Unknown,,,,2016-12-23
Series C - Yonghong Tech,https://www.crunchbase.com/funding_round/yonghong-tech-series-c--67f6ac63,Yonghong Tech,https://www.crunchbase.com/organization/yonghong-tech,Series C,30000000,USD,30000000,2016-07-25
Series A - uSens,https://www.crunchbase.com/funding_round/usens-inc--series-a--888e83c8,uSens,https://www.crunchbase.com/organization/usens-inc-,Series A,20000000,USD,20000000,2016-06-01
Series B - Yonghong Tech,https://www.crunchbase.com/funding_round/yonghong-tech-series-b--d1d1d90b,Yonghong Tech,https://www.crunchbase.com/organization/yonghong-tech,Series B,15000000,USD,15000000,2015-12-20
Series B - QuantGroup,https://www.crunchbase.com/funding_round/quantgroup-series-b--07044292,QuantGroup,https://www.crunchbase.com/organization/quantgroup,Series B,,,,2015-11-19
Series E - Jiuxian,https://www.crunchbase.com/funding_round/jiuxian-series-e--46945a11,Jiuxian,https://www.crunchbase.com/organization/jiuxian,Series E,260000000,CNY,41922717,2014-04-03
Series B - Jiuxian,https://www.crunchbase.com/funding_round/jiuxian-series-b--3f47151c,Jiuxian,https://www.crunchbase.com/organization/jiuxian,Series B,,,,2011-11-01
