Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Zhenkunhang,https://www.crunchbase.com/funding_round/zhenkunhang-series-c--f842dac7,Zhenkunhang,https://www.crunchbase.com/organization/zhenkunhang,Series C,129000000,USD,129000000,2018-08-28
Angel Round - Suzhou Youle Supply Chain Management,https://www.crunchbase.com/funding_round/suzhou-youle-supply-chain-management-angel--1a913bb8,Suzhou Youle Supply Chain Management,https://www.crunchbase.com/organization/suzhou-youle-supply-chain-management,Angel,,,,2018-08-08
Series D - AISpeech,https://www.crunchbase.com/funding_round/aispeech-series-d--0a80338d,AISpeech,https://www.crunchbase.com/organization/aispeech,Series D,500000000,CNY,75987841,2018-06-26
Seed Round - Helios-Huaming,https://www.crunchbase.com/funding_round/helios-huaming-seed--1eec6eec,Helios-Huaming,https://www.crunchbase.com/organization/helios-huaming,Seed,,,,2018-05-21
Angel Round - Xingeyuan,https://www.crunchbase.com/funding_round/xingeyuan-angel--cff9ff03,Xingeyuan,https://www.crunchbase.com/organization/xingeyuan,Angel,,,,2018-05-18
Series C - Biocytogen,https://www.crunchbase.com/funding_round/biocytogen-series-c--eb3f5a52,Biocytogen,https://www.crunchbase.com/organization/biocytogen,Series C,410000000,CNY,65250258,2018-04-10
Series B - OMS Education,https://www.crunchbase.com/funding_round/oms-education-series-b--f85bd8b4,OMS Education,https://www.crunchbase.com/organization/oms-education,Series B,24000000,USD,24000000,2018-02-27
Series C - Suzhou Kintor Pharmaceuticals,https://www.crunchbase.com/funding_round/suzhou-kintor-pharmaceuticals-series-c--19ad1e28,Suzhou Kintor Pharmaceuticals,https://www.crunchbase.com/organization/suzhou-kintor-pharmaceuticals,Series C,44000000,USD,44000000,2018-01-12
Series B - CloudWalk Technology,https://www.crunchbase.com/funding_round/cloudwalk-technology-series-b--6ad2f830,CloudWalk Technology,https://www.crunchbase.com/organization/cloudwalk-technology,Series B,500000000,CNY,75371581,2017-11-20
Series D - UCloud Information Technology,https://www.crunchbase.com/funding_round/ucloud-information-technology-series-d--f66bd6a8,UCloud Information Technology,https://www.crunchbase.com/organization/ucloud-information-technology,Series D,960000000,CNY,139329433,2017-03-29
Series B - Ascentage Pharma,https://www.crunchbase.com/funding_round/ascentage-pharma-series-b--49d5350a,Ascentage Pharma,https://www.crunchbase.com/organization/ascentage-pharma,Series B,500000000,CNY,71986984,2016-12-26
Series A - CoPromote,https://www.crunchbase.com/funding_round/copromote-series-a--ee4467bc,CoPromote,https://www.crunchbase.com/organization/copromote,Series A,3170000,USD,3170000,2015-11-05
Series D - Crossbar,https://www.crunchbase.com/funding_round/crossbar-series-d--46c1d717,Crossbar,https://www.crunchbase.com/organization/crossbar,Series D,35000000,USD,35000000,2015-09-14
Series A - CoPromote,https://www.crunchbase.com/funding_round/copromote-series-a--a33a1be1,CoPromote,https://www.crunchbase.com/organization/copromote,Series A,480623,USD,480623,2015-06-02
Series A - UniKey Technologies,https://www.crunchbase.com/funding_round/unikey-technologies-series-a--b6b47e08,UniKey Technologies,https://www.crunchbase.com/organization/unikey-technologies,Series A,10000000,USD,10000000,2015-04-15
Series A - CoPromote,https://www.crunchbase.com/funding_round/copromote-series-a--2500ac52,CoPromote,https://www.crunchbase.com/organization/copromote,Series A,,,,2015-04-09
Series B - Jia.com,https://www.crunchbase.com/funding_round/jia-com-series-b--97edd36a,Jia.com,https://www.crunchbase.com/organization/jia-com,Series B,128600000,USD,128600000,2015-03-02
Series A - 24tidy,https://www.crunchbase.com/funding_round/24tidy-series-a--320ed931,24tidy,https://www.crunchbase.com/organization/24tidy,Series A,1692088,USD,1692088,2014-07-14
Series C - LY.com,https://www.crunchbase.com/funding_round/ly-com-series-c--ca38f99a,LY.com,https://www.crunchbase.com/organization/ly-com,Series C,500000000,CNY,82318876,2014-02-18
Series B - Centec Networks,https://www.crunchbase.com/funding_round/centec-networks-series-b--d82fa158,Centec Networks,https://www.crunchbase.com/organization/centec-networks,Series B,13000000,USD,13000000,2011-08-01
Series A - Jia.com,https://www.crunchbase.com/funding_round/jia-com-series-a--955b61b2,Jia.com,https://www.crunchbase.com/organization/jia-com,Series A,276500000,CNY,41490089,2010-12-16
Series A - Beiang Technology,https://www.crunchbase.com/funding_round/beiang-technology-series-a--7ce7a4cc,Beiang Technology,https://www.crunchbase.com/organization/beiang-technology,Series A,,,,2010-01-01
Series C - Global Data Solutions,https://www.crunchbase.com/funding_round/global-data-solutions-series-c--5953d92a,Global Data Solutions,https://www.crunchbase.com/organization/global-data-solutions,Series C,45000000,USD,45000000,2008-09-01
Series A - Itibia Technologies,https://www.crunchbase.com/funding_round/itibia-technologies-series-a--ce501e6e,Itibia Technologies,https://www.crunchbase.com/organization/itibia-technologies,Series A,,,,2008-08-01
Series A - LY.com,https://www.crunchbase.com/funding_round/ly-com-series-a--3aded820,LY.com,https://www.crunchbase.com/organization/ly-com,Series A,5700000,USD,5700000,2008-01-01
Venture Round - Zhongli Technology Group,https://www.crunchbase.com/funding_round/zhongli-technology-group-series-unknown--dc50261f,Zhongli Technology Group,https://www.crunchbase.com/organization/zhongli-technology-group,Venture - Series Unknown,106000000,CNY,13860807,2007-06-01
Series A - BeDo,https://www.crunchbase.com/funding_round/bedo-series-a--b65de975,BeDo,https://www.crunchbase.com/organization/bedo,Series A,500000,USD,500000,2005-08-01
Venture Round - Shanghai Jade Tech,https://www.crunchbase.com/funding_round/shanghai-jade-tech-series-unknown--3eedf45b,Shanghai Jade Tech,https://www.crunchbase.com/organization/shanghai-jade-tech,Venture - Series Unknown,,,,2005-07-01
Series A - Centec Networks,https://www.crunchbase.com/funding_round/centec-networks-series-a--643f8c1c,Centec Networks,https://www.crunchbase.com/organization/centec-networks,Series A,1000000,USD,1000000,2005-06-01
