Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Ascentage Pharma,https://www.crunchbase.com/funding_round/ascentage-pharma-series-c--fe7ccace,Ascentage Pharma,https://www.crunchbase.com/organization/ascentage-pharma,Series C,150000000,USD,150000000,2018-07-17
Series B - CStone Pharmaceuticals,https://www.crunchbase.com/funding_round/cstone-pharmaceuticals-series-b--a63f5516,CStone Pharmaceuticals,https://www.crunchbase.com/organization/cstone-pharmaceuticals,Series B,260000000,USD,260000000,2018-05-09
Series A - JW Therapeutics,https://www.crunchbase.com/funding_round/jw-therapeutics-series-a--a9e1754f,JW Therapeutics,https://www.crunchbase.com/organization/jw-therapeutics,Series A,90000000,USD,90000000,2018-03-07
Series A - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-a--6b1a7127,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series A,100000000,USD,100000000,2017-08-18
Seed Round - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-seed--7e48e05c,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Seed,,,,2016-08-01
Series A - CStone Pharmaceuticals,https://www.crunchbase.com/funding_round/cstone-pharmaceuticals-series-a--40bd0b9b,CStone Pharmaceuticals,https://www.crunchbase.com/organization/cstone-pharmaceuticals,Series A,150000000,USD,150000000,2016-07-03
Series A - GeneQuantum Healthcare,https://www.crunchbase.com/funding_round/genequantum-healthcare-series-a--ab4eaeac,GeneQuantum Healthcare,https://www.crunchbase.com/organization/genequantum-healthcare,Series A,40000000,CNY,5821187,2017-03-27
Series A - Ascentage Pharma,https://www.crunchbase.com/funding_round/ascentage-pharma-series-a--5ce8c968,Ascentage Pharma,https://www.crunchbase.com/organization/ascentage-pharma,Series A,15500000,USD,15500000,2015-08-14
Series A - EpimAb Biotherapeutics,https://www.crunchbase.com/funding_round/epimab-biotherapeutics-series-a--d7fd2432,EpimAb Biotherapeutics,https://www.crunchbase.com/organization/epimab-biotherapeutics,Series A,25000000,USD,25000000,2017-04-24
Series A - Basecare,https://www.crunchbase.com/funding_round/basecare-series-a--f3818fa5,Basecare,https://www.crunchbase.com/organization/basecare,Series A,,,,2015-02-10
