Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Xgene Pharmaceutical,https://www.crunchbase.com/funding_round/xgene-pharmaceutical-series-b--6fa10d8f,Xgene Pharmaceutical,https://www.crunchbase.com/organization/xgene-pharmaceutical,Series B,20000000,USD,20000000,2018-10-25
Series C - MeMed,https://www.crunchbase.com/funding_round/memed-series-c--4389ba47,MeMed,https://www.crunchbase.com/organization/memed,Series C,70000000,USD,70000000,2018-09-21
Private Equity Round - Chemclin,https://www.crunchbase.com/funding_round/chemclin-private-equity--b93a4b56,Chemclin,https://www.crunchbase.com/organization/chemclin,Private Equity,2000000000,CNY,293117598,2018-08-01
Series C - Jollychic,https://www.crunchbase.com/funding_round/jollychic-com-series-c--c3075762,Jollychic,https://www.crunchbase.com/organization/jollychic-com,Series C,,,,2018-05-28
Series A - Tmunity Therapeutics,https://www.crunchbase.com/funding_round/tmunity-therapeutics-series-a--430a6cc4,Tmunity Therapeutics,https://www.crunchbase.com/organization/tmunity-therapeutics,Series A,35000000,USD,35000000,2018-04-19
Series D - Hua Medicine,https://www.crunchbase.com/funding_round/hua-medicine-series-d--30ae7016,Hua Medicine,https://www.crunchbase.com/organization/hua-medicine,Series D,117400000,USD,117400000,2018-03-27
Venture Round - Rani Therapeutics,https://www.crunchbase.com/funding_round/rani-therapeutics-series-unknown--6c555123,Rani Therapeutics,https://www.crunchbase.com/organization/rani-therapeutics,Venture - Series Unknown,53000000,USD,53000000,2018-02-07
Series A - Tmunity Therapeutics,https://www.crunchbase.com/funding_round/tmunity-therapeutics-series-a--931737e4,Tmunity Therapeutics,https://www.crunchbase.com/organization/tmunity-therapeutics,Series A,100000000,USD,100000000,2018-01-23
Series A - KBP Biosciences,https://www.crunchbase.com/funding_round/kbp-biosciences-series-a--e7beaf65,KBP Biosciences,https://www.crunchbase.com/organization/kbp-biosciences,Series A,76000000,USD,76000000,2018-01-05
Series C - Rogrand,https://www.crunchbase.com/funding_round/rogrand-series-c--126dd48f,Rogrand,https://www.crunchbase.com/organization/rogrand,Series C,,,,2017-12-21
