Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Lenovo Healthcare Information Technology (Lenovo HIT),https://www.crunchbase.com/funding_round/lenovo-healthcare-series-a--3d2e15d0,Lenovo Healthcare Information Technology (Lenovo HIT),https://www.crunchbase.com/organization/lenovo-healthcare,Series A,,,,2018-10-23
Angel Round - Tikin Media,https://www.crunchbase.com/funding_round/tikin-media-angel--7c0f8aae,Tikin Media,https://www.crunchbase.com/organization/tikin-media,Angel,3800000,USD,3800000,2017-11-17
Series C - TytoCare,https://www.crunchbase.com/funding_round/tyto-series-c--fff6153d,TytoCare,https://www.crunchbase.com/organization/tyto,Series C,27100000,USD,27100000,2018-01-29
Venture Round - StartUp Health,https://www.crunchbase.com/funding_round/startup-health-series-unknown--f22c8eae,StartUp Health,https://www.crunchbase.com/organization/startup-health,Venture - Series Unknown,19300000,USD,19300000,2018-01-03
Funding Round - R3,https://www.crunchbase.com/funding_round/r3-cev-undisclosed--095eacdf,R3,https://www.crunchbase.com/organization/r3-cev,Funding Round,107000000,USD,107000000,2017-05-23
Venture Round - Fullerton Healthcare Corporation,https://www.crunchbase.com/funding_round/fullerton-healthcare-corporation-limited-series-unknown--457448bd,Fullerton Healthcare Corporation,https://www.crunchbase.com/organization/fullerton-healthcare-corporation-limited,Venture - Series Unknown,800000000,CNY,121028854,2017-11-28
Series A - 10xbanking,https://www.crunchbase.com/funding_round/10xbanking-series-a--0cada95a,10xbanking,https://www.crunchbase.com/organization/10xbanking,Series A,34000000,GBP,45867908,2017-09-20
Series A - 58 Daojia,https://www.crunchbase.com/funding_round/58daojia-series-a--940a4a14,58 Daojia,https://www.crunchbase.com/organization/58daojia,Series A,300000000,USD,300000000,2015-10-12
Series E - Secoo,https://www.crunchbase.com/funding_round/secoo-series-e--1ef9b23d,Secoo,https://www.crunchbase.com/organization/secoo,Series E,55000000,USD,55000000,2015-07-07
Series A - Prenetics,https://www.crunchbase.com/funding_round/prenetics-series-a--fb76d8e0,Prenetics,https://www.crunchbase.com/organization/prenetics,Series A,10000000,USD,10000000,2016-03-16
Series E - Payoneer,https://www.crunchbase.com/funding_round/payoneer-series-e--db411387,Payoneer,https://www.crunchbase.com/organization/payoneer,Series E,50000000,USD,50000000,2015-08-12
Series A - Huya.com,https://www.crunchbase.com/funding_round/huya-com-series-a--a0526c58,Huya.com,https://www.crunchbase.com/organization/huya-com,Series A,75000000,USD,75000000,2017-05-18
Series E - Mogujie,https://www.crunchbase.com/funding_round/mogujie-series-e--d9757009,Mogujie,https://www.crunchbase.com/organization/mogujie,Series E,200000000,USD,200000000,2015-11-23
Series D - eToro,https://www.crunchbase.com/funding_round/etoro-series-d--37bc477e,eToro,https://www.crunchbase.com/organization/etoro,Series D,27000000,USD,27000000,2014-11-26
Private Equity Round - Didi Chuxing,https://www.crunchbase.com/funding_round/didi-dache-private-equity--64b04a23,Didi Chuxing,https://www.crunchbase.com/organization/didi-dache,Private Equity,2000000000,USD,2000000000,2015-07-07
Series D - Payoneer,https://www.crunchbase.com/funding_round/payoneer-series-d--f56fae48,Payoneer,https://www.crunchbase.com/organization/payoneer,Series D,,,,2014-06-10
