Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Venture Round - Deepppic++,https://www.crunchbase.com/funding_round/deepppic-series-unknown--5983d29d,Deepppic++,https://www.crunchbase.com/organization/deepppic,Venture - Series Unknown,,,,2016-09-01
Venture Round - Yigeng Agriculture,https://www.crunchbase.com/funding_round/yigeng-agriculture-series-unknown--75972002,Yigeng Agriculture,https://www.crunchbase.com/organization/yigeng-agriculture,Venture - Series Unknown,,,,2016-09-01
Venture Round - Wuliang Data,https://www.crunchbase.com/funding_round/wuliang-data-series-unknown--e94a492d,Wuliang Data,https://www.crunchbase.com/organization/wuliang-data,Venture - Series Unknown,,,,2016-05-01
Venture Round - SenYi,https://www.crunchbase.com/funding_round/senyi-series-unknown--c40463eb,SenYi,https://www.crunchbase.com/organization/senyi,Venture - Series Unknown,,,,2016-09-01
Venture Round - Emodel,https://www.crunchbase.com/funding_round/emodel-series-unknown--60860502,Emodel,https://www.crunchbase.com/organization/emodel,Venture - Series Unknown,,,,2016-08-01
Venture Round - Wubuwei,https://www.crunchbase.com/funding_round/wubuwei-series-unknown--f84118b1,Wubuwei,https://www.crunchbase.com/organization/wubuwei,Venture - Series Unknown,,,,2016-09-01
Venture Round - Mes,https://www.crunchbase.com/funding_round/mes-series-unknown--6c0864cf,Mes,https://www.crunchbase.com/organization/mes,Venture - Series Unknown,,,,2016-08-01
Venture Round - Persona,https://www.crunchbase.com/funding_round/persona-5-series-unknown--3d50c30b,Persona,https://www.crunchbase.com/organization/persona-5,Venture - Series Unknown,,,,2016-08-01
Venture Round - JiHe API,https://www.crunchbase.com/funding_round/jihe-api-series-unknown--b175fc1b,JiHe API,https://www.crunchbase.com/organization/jihe-api,Venture - Series Unknown,,,,2016-09-01
Seed Round - Skelmet,https://www.crunchbase.com/funding_round/skelmet-seed--40aaf33d,Skelmet,https://www.crunchbase.com/organization/skelmet,Seed,,,,2016-12-01
Venture Round - Voltmao,https://www.crunchbase.com/funding_round/voltmao-series-unknown--775ad054,Voltmao,https://www.crunchbase.com/organization/voltmao,Venture - Series Unknown,,,,2016-09-01
Venture Round - Juzi Credit,https://www.crunchbase.com/funding_round/juzi-credit-series-unknown--e4d94c2f,Juzi Credit,https://www.crunchbase.com/organization/juzi-credit,Venture - Series Unknown,,,,2016-09-01
Venture Round - ZhongYunan,https://www.crunchbase.com/funding_round/zhongyunan-series-unknown--e00f7a5a,ZhongYunan,https://www.crunchbase.com/organization/zhongyunan,Venture - Series Unknown,,,,2016-09-01
Venture Round - iGanKong,https://www.crunchbase.com/funding_round/igankong-series-unknown--1f091c29,iGanKong,https://www.crunchbase.com/organization/igankong,Venture - Series Unknown,,,,2016-09-01
Venture Round - ZhenRobotics,https://www.crunchbase.com/funding_round/zhenrobotics-series-unknown--8200a4c8,ZhenRobotics,https://www.crunchbase.com/organization/zhenrobotics,Venture - Series Unknown,,,,2016-09-01
Venture Round - AntSourcing,https://www.crunchbase.com/funding_round/antsourcing-series-unknown--eefa90d4,AntSourcing,https://www.crunchbase.com/organization/antsourcing,Venture - Series Unknown,,,,2016-08-01
Venture Round - iDevOps,https://www.crunchbase.com/funding_round/idevops-series-unknown--7a4b6f5e,iDevOps,https://www.crunchbase.com/organization/idevops,Venture - Series Unknown,,,,2016-09-01
Venture Round - ZifiSense,https://www.crunchbase.com/funding_round/zifisense-series-unknown--e16bca2e,ZifiSense,https://www.crunchbase.com/organization/zifisense,Venture - Series Unknown,,,,2016-03-01
Venture Round - VR Plus,https://www.crunchbase.com/funding_round/vr-plus-series-unknown--7745e7f3,VR Plus,https://www.crunchbase.com/organization/vr-plus,Venture - Series Unknown,,,,2016-08-01
"Venture Round - Yiqihecheng (Beijing Co-ordination Technology Co., Ltd)",https://www.crunchbase.com/funding_round/yiqihecheng-series-unknown--44f50715,"Yiqihecheng (Beijing Co-ordination Technology Co., Ltd)",https://www.crunchbase.com/organization/yiqihecheng,Venture - Series Unknown,,,,2016-07-01
Venture Round - Wanling Healthcare,https://www.crunchbase.com/funding_round/wanling-healthcare-series-unknown--54e90782,Wanling Healthcare,https://www.crunchbase.com/organization/wanling-healthcare,Venture - Series Unknown,,,,2016-09-01
Venture Round - Dragon Testing,https://www.crunchbase.com/funding_round/dragon-testing-series-unknown--1f69ca92,Dragon Testing,https://www.crunchbase.com/organization/dragon-testing,Venture - Series Unknown,,,,2016-09-01
