Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - 24Kick,https://www.crunchbase.com/funding_round/24kick-angel--7f22f7a7,24Kick,https://www.crunchbase.com/organization/24kick,Angel,10000000,CNY,1440092,2018-10-25
Series B - Rokae,https://www.crunchbase.com/funding_round/rokae-series-b--8ced4a34,Rokae,https://www.crunchbase.com/organization/rokae,Series B,160000000,CNY,23331437,2018-09-21
Seed Round - Banma Code(bmcode.com),https://www.crunchbase.com/funding_round/banma-code-seed--f6896af6,Banma Code(bmcode.com),https://www.crunchbase.com/organization/banma-code,Seed,50000000,CNY,7319780,2018-09-05
Seed Round - Roto Travel,https://www.crunchbase.com/funding_round/roto-travel-seed--b73fe205,Roto Travel,https://www.crunchbase.com/organization/roto-travel,Seed,10000000,CNY,1452327,2018-08-14
Series A - Yuncaiyuan,https://www.crunchbase.com/funding_round/yuncaiyuan-series-a--871bb4b8,Yuncaiyuan,https://www.crunchbase.com/organization/yuncaiyuan,Series A,,,,2018-08-14
Angel Round - Bhex,https://www.crunchbase.com/funding_round/bhex-angel--f4101abf,Bhex,https://www.crunchbase.com/organization/bhex,Angel,,,,2018-07-12
Angel Round - Dingdongchuansong,https://www.crunchbase.com/funding_round/dingdongchuansong-angel--6cbe8985,Dingdongchuansong,https://www.crunchbase.com/organization/dingdongchuansong,Angel,,,,2018-07-12
Angel Round - Topwin Technology,https://www.crunchbase.com/funding_round/topwin-technology-angel--1dc4902e,Topwin Technology,https://www.crunchbase.com/organization/topwin-technology,Angel,,,,2018-07-05
Venture Round - INMAN,https://www.crunchbase.com/funding_round/inman-series-unknown--f53f5664,INMAN,https://www.crunchbase.com/organization/inman,Venture - Series Unknown,,,,2018-06-13
Series A - Huaxuezoo,https://www.crunchbase.com/funding_round/huaxuezoo-series-a--cb003000,Huaxuezoo,https://www.crunchbase.com/organization/huaxuezoo,Series A,,,,2018-05-23
Series A - Newestage,https://www.crunchbase.com/funding_round/newestage-series-a--7e534670,Newestage,https://www.crunchbase.com/organization/newestage,Series A,,,,2018-05-21
Series A - Mysongktv,https://www.crunchbase.com/funding_round/mysongktv-series-a--1ddb6cda,Mysongktv,https://www.crunchbase.com/organization/mysongktv,Series A,15900000,USD,15900000,2018-04-16
Series A - Seatent.com,https://www.crunchbase.com/funding_round/seatent-com-series-a--89b7c105,Seatent.com,https://www.crunchbase.com/organization/seatent-com,Series A,10300000,USD,10300000,2018-04-11
Seed Round - Riseye,https://www.crunchbase.com/funding_round/riseye-seed--7badf791,Riseye,https://www.crunchbase.com/organization/riseye,Seed,,,,2018-02-28
Seed Round - Yanzhuanjia,https://www.crunchbase.com/funding_round/yanzhuanjia-seed--4cbea6f9,Yanzhuanjia,https://www.crunchbase.com/organization/yanzhuanjia,Seed,,,,2018-01-25
Seed Round - En-cow (Rhind Data),https://www.crunchbase.com/funding_round/rhind-data-seed--da4ab255,En-cow (Rhind Data),https://www.crunchbase.com/organization/rhind-data,Seed,,,,2018-01-11
Series A - Toudengcang,https://www.crunchbase.com/funding_round/toudengcang-series-a--e5099bc6,Toudengcang,https://www.crunchbase.com/organization/toudengcang,Series A,7500000,USD,7500000,2017-12-15
Venture Round - MicroMultiCopter Aero Technology Co,https://www.crunchbase.com/funding_round/micromulticopter-aero-technology-co-series-unknown--d4735457,MicroMultiCopter Aero Technology Co,https://www.crunchbase.com/organization/micromulticopter-aero-technology-co,Venture - Series Unknown,30000000,USD,30000000,2017-11-28
Seed Round - Crazybee Fitness,https://www.crunchbase.com/funding_round/crazybee-fitness-seed--78e8a76a,Crazybee Fitness,https://www.crunchbase.com/organization/crazybee-fitness,Seed,1500000,USD,1500000,2017-11-28
Series A - Chedaidai,https://www.crunchbase.com/funding_round/chedaidai-series-a--db16ac0f,Chedaidai,https://www.crunchbase.com/organization/chedaidai,Series A,9000000,USD,9000000,2017-11-27
Series A - Zhaoliangji.com,https://www.crunchbase.com/funding_round/zhaoliangji-com-series-a--45e287ca,Zhaoliangji.com,https://www.crunchbase.com/organization/zhaoliangji-com,Series A,,,,2017-11-03
Series A - Youshu.cc,https://www.crunchbase.com/funding_round/youshu-cc-series-a--7d26e808,Youshu.cc,https://www.crunchbase.com/organization/youshu-cc,Series A,12000000,USD,12000000,2017-10-13
Series A - lecarlink,https://www.crunchbase.com/funding_round/lecarlink-series-a--4397d13b,lecarlink,https://www.crunchbase.com/organization/lecarlink,Series A,,,,2017-09-30
Seed Round - KrazyBee,https://www.crunchbase.com/funding_round/krazybee-seed--e88556c8,KrazyBee,https://www.crunchbase.com/organization/krazybee,Seed,3000000,USD,3000000,2016-12-01
Series A - CHJ Automotive (Chehejia),https://www.crunchbase.com/funding_round/chehejia-series-a--55d6d92c,CHJ Automotive (Chehejia),https://www.crunchbase.com/organization/chehejia,Series A,780000000,CNY,119930514,2016-05-05
Series A - aptX,https://www.crunchbase.com/funding_round/aptx-series-a--a9ecf05e,aptX,https://www.crunchbase.com/organization/aptx,Series A,20000000,USD,20000000,2016-01-28
Seed Round - Lotto Bao Network Technology (DuduBus ),https://www.crunchbase.com/funding_round/lotto-bao-network-technology-dudubus-seed--67e99c24,Lotto Bao Network Technology (DuduBus ),https://www.crunchbase.com/organization/lotto-bao-network-technology-dudubus,Seed,1900000,USD,1900000,2015-06-15
Seed Round - Spot,https://www.crunchbase.com/funding_round/spot-427f-seed--7915a5bb,Spot,https://www.crunchbase.com/organization/spot-427f,Seed,,,,2015-01-30
