Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - CoinVoice,https://www.crunchbase.com/funding_round/coinvoice-seed--e693d2cd,CoinVoice,https://www.crunchbase.com/organization/coinvoice,Seed,,,,2018-08-01
Venture Round - MoonX,https://www.crunchbase.com/funding_round/moonx-series-unknown--84e14320,MoonX,https://www.crunchbase.com/organization/moonx,Venture - Series Unknown,29000000,USD,29000000,2018-07-26
Angel Round - LendChain,https://www.crunchbase.com/funding_round/lendchain-angel--2ad0edb1,LendChain,https://www.crunchbase.com/organization/lendchain,Angel,,,,2018-06-11
Corporate Round - Origin Protocol,https://www.crunchbase.com/funding_round/originprotocol-corporate-round--c132a815,Origin Protocol,https://www.crunchbase.com/organization/originprotocol,Corporate Round,28505763,USD,28505763,2018-04-17
Seed Round - aiCTX,https://www.crunchbase.com/funding_round/aictx-seed--193b3a5b,aiCTX,https://www.crunchbase.com/organization/aictx,Seed,1200000,USD,1200000,2018-01-21
Seed Round - The Vetreska Pet Lifestyle Company,https://www.crunchbase.com/funding_round/the-vetreska-pet-lifestyle-company-seed--208e6813,The Vetreska Pet Lifestyle Company,https://www.crunchbase.com/organization/the-vetreska-pet-lifestyle-company,Seed,10000000,CNY,1511550,2017-12-18
Seed Round - YouWorld,https://www.crunchbase.com/funding_round/youworld-seed--1316bbd8,YouWorld,https://www.crunchbase.com/organization/youworld,Seed,350000,USD,350000,2016-10-01
"Series A - ROBOTERRA, Inc",https://www.crunchbase.com/funding_round/roboterra-series-a--e327995f,"ROBOTERRA, Inc",https://www.crunchbase.com/organization/roboterra,Series A,3500000,USD,3500000,2016-01-20
Seed Round - Pomello,https://www.crunchbase.com/funding_round/pomello-seed--d21f63f9,Pomello,https://www.crunchbase.com/organization/pomello,Seed,36000,USD,36000,2015-11-01
Seed Round - Aeris Cleantec AG,https://www.crunchbase.com/funding_round/aeris-cleantec-ag-seed--5a11e5bc,Aeris Cleantec AG,https://www.crunchbase.com/organization/aeris-cleantec-ag,Seed,1050000,USD,1050000,2015-09-01
Series B - Ehang,https://www.crunchbase.com/funding_round/ehang-series-b--3ffe5bfa,Ehang,https://www.crunchbase.com/organization/ehang,Series B,42000000,USD,42000000,2015-08-24
Seed Round - Blueboard,https://www.crunchbase.com/funding_round/blueboard-seed--8b3bb5ed,Blueboard,https://www.crunchbase.com/organization/blueboard,Seed,2000000,USD,2000000,2015-07-28
Seed Round - Smarking,https://www.crunchbase.com/funding_round/smarking-seed--8f0484d4,Smarking,https://www.crunchbase.com/organization/smarking,Seed,3000000,USD,3000000,2015-05-13
Seed Round - Bringhub,https://www.crunchbase.com/funding_round/bringhub-seed--1c023046,Bringhub,https://www.crunchbase.com/organization/bringhub,Seed,2000000,USD,2000000,2015-04-20
Seed Round - Vimo Labs,https://www.crunchbase.com/funding_round/vimofit-seed--4858a74b,Vimo Labs,https://www.crunchbase.com/organization/vimofit,Seed,1000000,USD,1000000,2015-03-20
Seed Round - Saphlux,https://www.crunchbase.com/funding_round/saphlux-seed--93665f60,Saphlux,https://www.crunchbase.com/organization/saphlux,Seed,1145000,USD,1145000,2015-03-13
Seed Round - Oculii,https://www.crunchbase.com/funding_round/oculii-seed--98cf6cb7,Oculii,https://www.crunchbase.com/organization/oculii,Seed,3400000,USD,3400000,2015-01-08
Seed Round - Sensay,https://www.crunchbase.com/funding_round/sensay-seed--b1a54834,Sensay,https://www.crunchbase.com/organization/sensay,Seed,1500000,USD,1500000,2015-01-05
Series A - Ehang,https://www.crunchbase.com/funding_round/ehang-series-a--cf1321bc,Ehang,https://www.crunchbase.com/organization/ehang,Series A,10000000,USD,10000000,2014-12-30
Seed Round - 2RedBeans,https://www.crunchbase.com/funding_round/2redbeans-seed--ed719ecf,2RedBeans,https://www.crunchbase.com/organization/2redbeans,Seed,2300000,USD,2300000,2014-10-15
"Angel Round - ROBOTERRA, Inc",https://www.crunchbase.com/funding_round/roboterra-angel--c59b9e5a,"ROBOTERRA, Inc",https://www.crunchbase.com/organization/roboterra,Angel,513000,USD,513000,2014-08-23
Seed Round - ObEN,https://www.crunchbase.com/funding_round/oben-seed--49a81150,ObEN,https://www.crunchbase.com/organization/oben,Seed,,,,2014-07-27
Series A - OKCoin,https://www.crunchbase.com/funding_round/okcoin-series-a--b2606123,OKCoin,https://www.crunchbase.com/organization/okcoin,Series A,10000000,USD,10000000,2014-03-16
Seed Round - Groopie,https://www.crunchbase.com/funding_round/groopie-seed--92acff25,Groopie,https://www.crunchbase.com/organization/groopie,Seed,400000,USD,400000,2014-03-05
Seed Round - O2Bra,https://www.crunchbase.com/funding_round/o2bra-seed--0613a348,O2Bra,https://www.crunchbase.com/organization/o2bra,Seed,,,,2014-02-01
Angel Round - Raiing,https://www.crunchbase.com/funding_round/raiing-angel--a90f4d86,Raiing,https://www.crunchbase.com/organization/raiing,Angel,10000000,CNY,1647344,2014-02-01
Angel Round - AA Party,https://www.crunchbase.com/funding_round/aa-party-angel--c87a4289,AA Party,https://www.crunchbase.com/organization/aa-party,Angel,100000,CNY,16473,2014-02-01
Seed Round - BCSphere,https://www.crunchbase.com/funding_round/bcsphere-seed--1cd10423,BCSphere,https://www.crunchbase.com/organization/bcsphere,Seed,,,,2014-01-01
Angel Round - Vow,https://www.crunchbase.com/funding_round/vow-angel--ee1df10a,Vow,https://www.crunchbase.com/organization/vow,Angel,10000000,CNY,1648696,2014-01-01
Angel Round - OneCard,https://www.crunchbase.com/funding_round/onecard-angel--923ec0ba,OneCard,https://www.crunchbase.com/organization/onecard,Angel,1000000,CNY,163917,2013-12-01
Angel Round - Canlife,https://www.crunchbase.com/funding_round/canlife-angel--25d5f95e,Canlife,https://www.crunchbase.com/organization/canlife,Angel,1000000,CNY,163917,2013-12-01
Seed Round - Petkit,https://www.crunchbase.com/funding_round/petkit-seed--88e67d3a,Petkit,https://www.crunchbase.com/organization/petkit,Seed,,,,2013-11-01
Angel Round - Mobibao Technology,https://www.crunchbase.com/funding_round/mobibao-technology-angel--49878771,Mobibao Technology,https://www.crunchbase.com/organization/mobibao-technology,Angel,1000000,CNY,163257,2013-10-01
Angel Round - Jdguanjia,https://www.crunchbase.com/funding_round/jdguanjia-angel--d0ca2d29,Jdguanjia,https://www.crunchbase.com/organization/jdguanjia,Angel,1000000,CNY,162837,2013-08-01
Seed Round - Tomoon,https://www.crunchbase.com/funding_round/tomoon-seed--cd6209af,Tomoon,https://www.crunchbase.com/organization/tomoon,Seed,,,,2013-07-01
Seed Round - Mocha.cn,https://www.crunchbase.com/funding_round/mocha-cn-seed--377ec4ce,Mocha.cn,https://www.crunchbase.com/organization/mocha-cn,Seed,,,,2013-07-01
Angel Round - Axalent,https://www.crunchbase.com/funding_round/axalent-angel--ed987249,Axalent,https://www.crunchbase.com/organization/axalent,Angel,,,,2013-06-01
Angel Round - Sijibang.com,https://www.crunchbase.com/funding_round/sijibang-com-angel--2f036d71,Sijibang.com,https://www.crunchbase.com/organization/sijibang-com,Angel,100000,CNY,16271,2013-06-01
Angel Round - ViewShare,https://www.crunchbase.com/funding_round/viewshare-angel--ce02bb6c,ViewShare,https://www.crunchbase.com/organization/viewshare,Angel,,,,2013-06-01
Angel Round - Morning Tec,https://www.crunchbase.com/funding_round/morning-tec-angel--3b99f7e4,Morning Tec,https://www.crunchbase.com/organization/morning-tec,Angel,,,,2013-06-01
Angel Round - Eachbaby,https://www.crunchbase.com/funding_round/eachbaby-angel--e49e6e15,Eachbaby,https://www.crunchbase.com/organization/eachbaby,Angel,10000000,CNY,1608070,2013-04-01
Series A - Jianjian,https://www.crunchbase.com/funding_round/jianjian-series-a--c293a343,Jianjian,https://www.crunchbase.com/organization/jianjian,Series A,162364,USD,162364,2013-03-01
Seed Round - VINUXPAY,https://www.crunchbase.com/funding_round/vinuxpay-seed--f95cf513,VINUXPAY,https://www.crunchbase.com/organization/vinuxpay,Seed,,,,2013-02-01
Seed Round - Autotiming,https://www.crunchbase.com/funding_round/autotiming-seed--8de9c2b8,Autotiming,https://www.crunchbase.com/organization/autotiming,Seed,,,,2013-01-01
Angel Round - EasyTek,https://www.crunchbase.com/funding_round/easytek-angel--f117ad13,EasyTek,https://www.crunchbase.com/organization/easytek,Angel,,,,2013-01-01
Angel Round - WiFiBanlv,https://www.crunchbase.com/funding_round/wifibanlv-angel--d67b5f6a,WiFiBanlv,https://www.crunchbase.com/organization/wifibanlv,Angel,4000000,CNY,639930,2013-01-01
Angel Round - Rent Here,https://www.crunchbase.com/funding_round/rent-here-angel--1538682f,Rent Here,https://www.crunchbase.com/organization/rent-here,Angel,100000,CNY,15701,2012-08-01
