Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Beijingyicheng,https://www.crunchbase.com/funding_round/beijingyicheng-series-a--c30b12b2,Beijingyicheng,https://www.crunchbase.com/organization/beijingyicheng,Series A,70000000,CNY,10253383,2010-04-01
Series A - NVC Lighting,https://www.crunchbase.com/funding_round/nvc-lighting-series-a--ddb1141f,NVC Lighting,https://www.crunchbase.com/organization/nvc-lighting,Series A,31000000,USD,31000000,2006-08-01
Venture Round - Homevv.com,https://www.crunchbase.com/funding_round/homevv-com-series-unknown--f9c982e7,Homevv.com,https://www.crunchbase.com/organization/homevv-com,Venture - Series Unknown,30000000,CNY,4756824,2012-02-01
Series B - Honglin Technology Group Limited,https://www.crunchbase.com/funding_round/honglin-technology-group-limited-series-b--0209c522,Honglin Technology Group Limited,https://www.crunchbase.com/organization/honglin-technology-group-limited,Series B,5000000,USD,5000000,2008-10-01
Series A - Advision Media,https://www.crunchbase.com/funding_round/advision-media-series-a--b0ad73fc,Advision Media,https://www.crunchbase.com/organization/advision-media,Series A,,,,2006-12-01
Series C - Mecox Lane,https://www.crunchbase.com/funding_round/mecox-lane-series-c--7273bd33,Mecox Lane,https://www.crunchbase.com/organization/mecox-lane,Series C,,,,2008-03-01
Venture Round - Neimonggu Saifeiya Group,https://www.crunchbase.com/funding_round/neimonggu-saifeiya-group-series-unknown--08ce7e22,Neimonggu Saifeiya Group,https://www.crunchbase.com/organization/neimonggu-saifeiya-group,Venture - Series Unknown,,,,2011-09-01
Venture Round - Chongqing Yade Technology,https://www.crunchbase.com/funding_round/chongqing-yade-technology-series-unknown--8fa9fc56,Chongqing Yade Technology,https://www.crunchbase.com/organization/chongqing-yade-technology,Venture - Series Unknown,20000000,USD,20000000,2010-11-01
Series C - POLYBONA,https://www.crunchbase.com/funding_round/polybona-series-c--5bf2a0e8,POLYBONA,https://www.crunchbase.com/organization/polybona,Series C,,,,2010-07-01
Series B - E-House,https://www.crunchbase.com/funding_round/e-house-series-b--7709e787,E-House,https://www.crunchbase.com/organization/e-house,Series B,,,,2007-01-01
Venture Round - Competitor,https://www.crunchbase.com/funding_round/competitor-series-unknown--d47c01fe,Competitor,https://www.crunchbase.com/organization/competitor,Venture - Series Unknown,25000000,CNY,3661637,2010-02-01
