Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Private Equity Round - ByteDance,https://www.crunchbase.com/funding_round/bytedance-private-equity--1a521d12,ByteDance,https://www.crunchbase.com/organization/bytedance,Private Equity,3000000000,USD,3000000000,2018-10-25
Series F - Souche,https://www.crunchbase.com/funding_round/souche-series-f--9f437a18,Souche,https://www.crunchbase.com/organization/souche,Series F,578000000,USD,578000000,2018-09-03
Series D - Zuoyebang,https://www.crunchbase.com/funding_round/zuoyebang-series-d--e9c8f502,Zuoyebang,https://www.crunchbase.com/organization/zuoyebang,Series D,350000000,USD,350000000,2018-07-18
Series B - Xiaopeng Motors,https://www.crunchbase.com/funding_round/xiaopeng-motors-series-b--250ae6c2,Xiaopeng Motors,https://www.crunchbase.com/organization/xiaopeng-motors,Series B,4000000000,CNY,584513319,2018-08-02
Series C - Moviebook Co.,https://www.crunchbase.com/funding_round/moviebook-co-series-c--cce44a8d,Moviebook Co.,https://www.crunchbase.com/organization/moviebook-co,Series C,500000000,CNY,73772971,2017-07-01
Private Equity Round - WorldStrides,https://www.crunchbase.com/funding_round/worldstrides-private-equity--cbb14230,WorldStrides,https://www.crunchbase.com/organization/worldstrides,Private Equity,,,,2017-11-09
Series E - Souche,https://www.crunchbase.com/funding_round/souche-series-e--58fa46a4,Souche,https://www.crunchbase.com/organization/souche,Series E,335000000,USD,335000000,2017-11-01
Series B - Ant Financial,https://www.crunchbase.com/funding_round/alipay-series-b--c7534906,Ant Financial,https://www.crunchbase.com/organization/alipay,Series B,4500000000,USD,4500000000,2016-04-22
Private Equity Round - Alibaba Group,https://www.crunchbase.com/funding_round/alibaba-private-equity--2c08abeb,Alibaba Group,https://www.crunchbase.com/organization/alibaba,Private Equity,2000000000,USD,2000000000,2012-09-01
Private Equity Round - Yum! China,https://www.crunchbase.com/funding_round/yum-china-private-equity--d4282399,Yum! China,https://www.crunchbase.com/organization/yum-china,Private Equity,460000000,USD,460000000,2016-09-02
Series A - Cainiao Logistics,https://www.crunchbase.com/funding_round/cainiao-logistics-series-a--44c8af39,Cainiao Logistics,https://www.crunchbase.com/organization/cainiao-logistics,Series A,10000000000,CNY,1540592296,2016-03-14
Series E - Xunlei,https://www.crunchbase.com/funding_round/kankan-series-e--de1577e9,Xunlei,https://www.crunchbase.com/organization/kankan,Series E,50000000,USD,50000000,2012-03-01
Series C - Dashu Finance,https://www.crunchbase.com/funding_round/dashu-finance-series-c--48341286,Dashu Finance,https://www.crunchbase.com/organization/dashu-finance,Series C,118000000,USD,118000000,2017-07-10
Private Equity Round - Koubei.com,https://www.crunchbase.com/funding_round/koubei-private-equity--5e1dcf8e,Koubei.com,https://www.crunchbase.com/organization/koubei,Private Equity,1100000000,USD,1100000000,2017-01-24
