Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Meichuang Technology,https://www.crunchbase.com/funding_round/meichuang-technology-series-b--674728f5,Meichuang Technology,https://www.crunchbase.com/organization/meichuang-technology,Series B,100000000,CNY,14606003,2018-09-20
Series B - DaoCloud,https://www.crunchbase.com/funding_round/daocloud-series-b--6e0da8ff,DaoCloud,https://www.crunchbase.com/organization/daocloud,Series B,14600000,USD,14600000,2018-09-20
Series A - Pony.ai,https://www.crunchbase.com/funding_round/pony-ai-series-a--8c771bf6,Pony.ai,https://www.crunchbase.com/organization/pony-ai,Series A,112000000,USD,112000000,2018-01-15
Series C - Cyzone,https://www.crunchbase.com/funding_round/cyzone-series-c--5450c799,Cyzone,https://www.crunchbase.com/organization/cyzone,Series C,,,,2018-04-25
Series A - SoulSense,https://www.crunchbase.com/funding_round/soulsense-series-a--60d52026,SoulSense,https://www.crunchbase.com/organization/soulsense,Series A,,,,2018-07-04
Series B - VIPMRO,https://www.crunchbase.com/funding_round/vipmro-series-b--480738b9,VIPMRO,https://www.crunchbase.com/organization/vipmro,Series B,,,,2018-05-09
Corporate Round - 5miles,https://www.crunchbase.com/funding_round/5miles-corporate-round--fd7bbab7,5miles,https://www.crunchbase.com/organization/5miles,Corporate Round,,,,2018-08-27
Series A - 8btc.com,https://www.crunchbase.com/funding_round/8btc-com-series-a--4019495a,8btc.com,https://www.crunchbase.com/organization/8btc-com,Series A,16000000,USD,16000000,2018-03-02
Series A - DaoCloud,https://www.crunchbase.com/funding_round/daocloud-series-a--d37ca0d7,DaoCloud,https://www.crunchbase.com/organization/daocloud,Series A,,,,2018-02-06
Seed Round - Ariemedi,https://www.crunchbase.com/funding_round/ariemedi-seed--336e7e02,Ariemedi,https://www.crunchbase.com/organization/ariemedi,Seed,,,,2018-07-17
Series A - BioLynx,https://www.crunchbase.com/funding_round/biolynx-series-a--fd11c748,BioLynx,https://www.crunchbase.com/organization/biolynx,Series A,,,,2018-04-11
Series A - Uni-Ubi,https://www.crunchbase.com/funding_round/uni-ubi-series-a--f9394b5c,Uni-Ubi,https://www.crunchbase.com/organization/uni-ubi,Series A,,,,2018-02-06
Series A - MINIEYE,https://www.crunchbase.com/funding_round/minieye-series-a--faa82824,MINIEYE,https://www.crunchbase.com/organization/minieye,Series A,,,,2018-01-10
Series B - Songxiaocai,https://www.crunchbase.com/funding_round/songxiaocai-series-b--2af49f51,Songxiaocai,https://www.crunchbase.com/organization/songxiaocai,Series B,230000000,CNY,35916174,2018-01-23
Series B - CloudWalk Technology,https://www.crunchbase.com/funding_round/cloudwalk-technology-series-b--6ad2f830,CloudWalk Technology,https://www.crunchbase.com/organization/cloudwalk-technology,Series B,500000000,CNY,75371581,2017-11-20
Series A - Bajiulin,https://www.crunchbase.com/funding_round/bajiulin-series-a--ee078f20,Bajiulin,https://www.crunchbase.com/organization/bajiulin,Series A,160000000,CNY,23071044,2017-01-04
Series B - Lefit,https://www.crunchbase.com/funding_round/lefit-series-b--6f88b0f3,Lefit,https://www.crunchbase.com/organization/lefit,Series B,100000000,CNY,14386833,2016-12-20
