Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Angel Round - Yungehuo,https://www.crunchbase.com/funding_round/yungehuo-angel--6c9be3be,Yungehuo,https://www.crunchbase.com/organization/yungehuo,Angel,,,,2018-10-22
Seed Round - Ehomepoct,https://www.crunchbase.com/funding_round/ehomepoct-seed--aa331b53,Ehomepoct,https://www.crunchbase.com/organization/ehomepoct,Seed,10000000,CNY,1458236,2018-08-20
Series A - Pinpianyi,https://www.crunchbase.com/funding_round/pinpianyi-series-a--32a57e43,Pinpianyi,https://www.crunchbase.com/organization/pinpianyi,Series A,,,,2018-09-05
Series A - Yiwise,https://www.crunchbase.com/funding_round/yiwise-series-a--dd7b13a0,Yiwise,https://www.crunchbase.com/organization/yiwise,Series A,10000000,USD,10000000,2018-07-16
Series A - 8btc.com,https://www.crunchbase.com/funding_round/8btc-com-series-a--4019495a,8btc.com,https://www.crunchbase.com/organization/8btc-com,Series A,16000000,USD,16000000,2018-03-02
Seed Round - Laisj.com,https://www.crunchbase.com/funding_round/laisj-com-seed--b75c9897,Laisj.com,https://www.crunchbase.com/organization/laisj-com,Seed,,,,2018-03-29
Series A - YizhiIntelligent,https://www.crunchbase.com/funding_round/yizhi-intelligent-technology-series-a--898b2546,YizhiIntelligent,https://www.crunchbase.com/organization/yizhi-intelligent-technology,Series A,70000000,CNY,10435923,2018-07-17
Series B - Xbed,https://www.crunchbase.com/funding_round/xbed-series-b--0ae131b6,Xbed,https://www.crunchbase.com/organization/xbed,Series B,,,,2018-04-10
Series A - Panda Insurance,https://www.crunchbase.com/funding_round/panda-insurance-series-a--ac6d2861,Panda Insurance,https://www.crunchbase.com/organization/panda-insurance,Series A,7700000,USD,7700000,2018-01-08
Series A - Bifu,https://www.crunchbase.com/funding_round/bifu-series-a--2fb7f4ab,Bifu,https://www.crunchbase.com/organization/bifu,Series A,,,,2018-06-07
Series A - Ellabook,https://www.crunchbase.com/funding_round/ellabook-series-a--cf730a51,Ellabook,https://www.crunchbase.com/organization/ellabook,Series A,6300000,USD,6300000,2018-01-29
Series A - EsighTech,https://www.crunchbase.com/funding_round/esightech-series-a--5c2c5cab,EsighTech,https://www.crunchbase.com/organization/esightech,Series A,,,,2018-02-05
Seed Round - botBrain.ai,https://www.crunchbase.com/funding_round/botbrain-ai-seed--228ad6d5,botBrain.ai,https://www.crunchbase.com/organization/botbrain-ai,Seed,4700000,USD,4700000,2018-01-29
Series B - Chezhency.com,https://www.crunchbase.com/funding_round/chezhency-com-series-b--7cf7c8ca,Chezhency.com,https://www.crunchbase.com/organization/chezhency-com,Series B,15000000,USD,15000000,2018-02-02
Series A - Laihua.com,https://www.crunchbase.com/funding_round/laihua-com-series-a--dca58913,Laihua.com,https://www.crunchbase.com/organization/laihua-com,Series A,,,,2017-12-11
Seed Round - Xbed,https://www.crunchbase.com/funding_round/xbed-seed--850baf66,Xbed,https://www.crunchbase.com/organization/xbed,Seed,7000000,CNY,1017195,2016-12-05
Series A - Taoshihui,https://www.crunchbase.com/funding_round/taoshihui-series-a--0967c996,Taoshihui,https://www.crunchbase.com/organization/taoshihui,Series A,46000000,USD,46000000,2016-03-25
