Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - Moviebook Co.,https://www.crunchbase.com/funding_round/moviebook-co-series-d--8d1bcc9d,Moviebook Co.,https://www.crunchbase.com/organization/moviebook-co,Series D,1360000000,CNY,199051577,2018-08-07
Series B - One Space,https://www.crunchbase.com/funding_round/one-space-series-b--d0164b41,One Space,https://www.crunchbase.com/organization/one-space,Series B,300000000,CNY,43535993,2018-08-13
Series C - Unisound,https://www.crunchbase.com/funding_round/unisound-beijing-series-c--da40d2b9,Unisound,https://www.crunchbase.com/organization/unisound-beijing,Series C,100000000,USD,100000000,2018-05-11
Series B - Turing Robot,https://www.crunchbase.com/funding_round/turing-robot-series-b--8e0741c1,Turing Robot,https://www.crunchbase.com/organization/turing-robot,Series B,,,,2018-06-29
Series B - Youxia Motors,https://www.crunchbase.com/funding_round/youxiamotors-series-b--969eeea3,Youxia Motors,https://www.crunchbase.com/organization/youxiamotors,Series B,5000000000,CNY,796152988,2018-04-02
Series A - Mysongktv,https://www.crunchbase.com/funding_round/mysongktv-series-a--1ddb6cda,Mysongktv,https://www.crunchbase.com/organization/mysongktv,Series A,15900000,USD,15900000,2018-04-16
Series A - One Space,https://www.crunchbase.com/funding_round/one-space-series-a--5023a296,One Space,https://www.crunchbase.com/organization/one-space,Series A,31000000,USD,31000000,2017-01-16
Series A - DataMesh,https://www.crunchbase.com/funding_round/datamesh-series-a--c50fbac3,DataMesh,https://www.crunchbase.com/organization/datamesh,Series A,,,,2018-01-10
Series C - Ucommune,https://www.crunchbase.com/funding_round/urwork-series-c--3dd6bd5c,Ucommune,https://www.crunchbase.com/organization/urwork,Series C,300000000,CNY,45541488,2017-12-21
Venture Round - Ucommune,https://www.crunchbase.com/funding_round/urwork-series-unknown--b12cb594,Ucommune,https://www.crunchbase.com/organization/urwork,Venture - Series Unknown,110000000,CNY,17383883,2018-02-12
