Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Unisound,https://www.crunchbase.com/funding_round/unisound-beijing-series-c--da40d2b9,Unisound,https://www.crunchbase.com/organization/unisound-beijing,Series C,100000000,USD,100000000,2018-05-11
Series B - Singulato Motors,https://www.crunchbase.com/funding_round/singulato-motors-series-b--e89900b8,Singulato Motors,https://www.crunchbase.com/organization/singulato-motors,Series B,600000000,USD,600000000,2016-02-11
Series A - Linker Networks,https://www.crunchbase.com/funding_round/linker-networks-series-a--eb775140,Linker Networks,https://www.crunchbase.com/organization/linker-networks,Series A,7470000,USD,7470000,2015-06-01
Series A - Silicon Intelligence,https://www.crunchbase.com/funding_round/silicon-intelligence-series-a--88e16cf2,Silicon Intelligence,https://www.crunchbase.com/organization/silicon-intelligence,Series A,,,,2018-03-15
Series B - Huangjinguanjia,https://www.crunchbase.com/funding_round/huangjinguanjia-series-b--3f82c0b1,Huangjinguanjia,https://www.crunchbase.com/organization/huangjinguanjia,Series B,,,,2018-01-08
Series A - Spire Global Inc.,https://www.crunchbase.com/funding_round/spire-series-a--96eab931,Spire Global Inc.,https://www.crunchbase.com/organization/spire,Series A,25000000,USD,25000000,2014-07-29
Series A - EyeVerify,https://www.crunchbase.com/funding_round/eyeverify-series-a--d12b8c6e,EyeVerify,https://www.crunchbase.com/organization/eyeverify,Series A,6000000,USD,6000000,2014-08-20
Venture Round - 360 Mobile Security,https://www.crunchbase.com/funding_round/360-mobile-security-series-unknown--85dac87a,360 Mobile Security,https://www.crunchbase.com/organization/360-mobile-security,Venture - Series Unknown,100000000,USD,100000000,2016-02-19
Series C - PSafe Technology,https://www.crunchbase.com/funding_round/psafe-series-c--ff692e40,PSafe Technology,https://www.crunchbase.com/organization/psafe,Series C,30000000,USD,30000000,2013-12-03
Seed Round - Silk Labs,https://www.crunchbase.com/funding_round/silk-labs-seed--bd4cee57,Silk Labs,https://www.crunchbase.com/organization/silk-labs,Seed,2525000,USD,2525000,2016-02-16
Series D - PSafe Technology,https://www.crunchbase.com/funding_round/psafe-series-d--4adf87ea,PSafe Technology,https://www.crunchbase.com/organization/psafe,Series D,30000000,USD,30000000,2015-07-05
Seed Round - Oculii,https://www.crunchbase.com/funding_round/oculii-seed--98cf6cb7,Oculii,https://www.crunchbase.com/organization/oculii,Seed,3400000,USD,3400000,2015-01-08
Series A - Glide,https://www.crunchbase.com/funding_round/glide-series-a--ea7acaf2,Glide,https://www.crunchbase.com/organization/glide,Series A,6500000,USD,6500000,2013-11-01
Venture Round - Holaverse,https://www.crunchbase.com/funding_round/holaverse-series-unknown--143c1598,Holaverse,https://www.crunchbase.com/organization/holaverse,Venture - Series Unknown,70000000,USD,70000000,2016-04-06
Series C - PSafe Technology,https://www.crunchbase.com/funding_round/psafe-series-c--5efa12f9,PSafe Technology,https://www.crunchbase.com/organization/psafe,Series C,15000000,USD,15000000,2014-11-01
Series B - Juzi Entertainment,https://www.crunchbase.com/funding_round/juzi-entertainment-series-b--e4b85214,Juzi Entertainment,https://www.crunchbase.com/organization/juzi-entertainment,Series B,10000000,USD,10000000,2016-07-12
Venture Round - Sungy Mobile,https://www.crunchbase.com/funding_round/sungy-mobile-series-unknown--775020d4,Sungy Mobile,https://www.crunchbase.com/organization/sungy-mobile,Venture - Series Unknown,20000000,USD,20000000,2013-11-14
Venture Round - 360 Mobile Security,https://www.crunchbase.com/funding_round/360-mobile-security-series-unknown--379c3d7a,360 Mobile Security,https://www.crunchbase.com/organization/360-mobile-security,Venture - Series Unknown,80000000,USD,80000000,2015-01-01
