Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Akulaku,https://www.crunchbase.com/funding_round/akulaku-inc-series-c--7599ed41,Akulaku,https://www.crunchbase.com/organization/akulaku-inc,Series C,70000000,USD,70000000,2018-10-30
Series B - Dishangtie Car Rental,https://www.crunchbase.com/funding_round/dishangtie-series-b--b63e2267,Dishangtie Car Rental,https://www.crunchbase.com/organization/dishangtie,Series B,300000000,CNY,43149325,2018-10-29
Series B - NASN Automotive Electronics,https://www.crunchbase.com/funding_round/nasa-automotive-electronics-series-b--bfce381a,NASN Automotive Electronics,https://www.crunchbase.com/organization/nasa-automotive-electronics,Series B,100000000,CNY,14430847,2018-10-19
Series B - CardiaLen,https://www.crunchbase.com/funding_round/cardialen-series-b--2b084ee2,CardiaLen,https://www.crunchbase.com/organization/cardialen,Series B,17000000,USD,17000000,2018-10-10
Series B - DK MedTech,https://www.crunchbase.com/funding_round/dk-medtech-series-b--3da9420e,DK MedTech,https://www.crunchbase.com/organization/dk-medtech,Series B,60000000,CNY,8657009,2018-10-08
Series D - Aohua,https://www.crunchbase.com/funding_round/aohua-series-d--d7c95d5b,Aohua,https://www.crunchbase.com/organization/aohua,Series D,300000000,CNY,43674479,2018-09-29
Series C - SequoiaDB,https://www.crunchbase.com/funding_round/sequoiadb-series-c--6c78213e,SequoiaDB,https://www.crunchbase.com/organization/sequoiadb,Series C,,,,2018-09-19
Series E - Tuhu,https://www.crunchbase.com/funding_round/tuhu-series-e--f5e30836,Tuhu,https://www.crunchbase.com/organization/tuhu,Series E,450000000,USD,450000000,2018-09-17
Series C - Jacobio Pharmaceuticals,https://www.crunchbase.com/funding_round/jacobio-pharmaceuticals-series-c--af910cea,Jacobio Pharmaceuticals,https://www.crunchbase.com/organization/jacobio-pharmaceuticals,Series C,55000000,USD,55000000,2018-08-30
Series A - TUNGEE,https://www.crunchbase.com/funding_round/tungee-series-a--d958e51f,TUNGEE,https://www.crunchbase.com/organization/tungee,Series A,40000000,CNY,5878635,2018-08-28
Series B - Plum,https://www.crunchbase.com/funding_round/plum-8-series-b--7b9c7191,Plum,https://www.crunchbase.com/organization/plum-8,Series B,,,,2018-08-27
Series B - Plum,https://www.crunchbase.com/funding_round/plum-8-series-b--d1dcd070,Plum,https://www.crunchbase.com/organization/plum-8,Series B,,,,2018-08-27
Angel Round - Nice Tuan,https://www.crunchbase.com/funding_round/nice-tuan-angel--06fae015,Nice Tuan,https://www.crunchbase.com/organization/nice-tuan,Angel,14600000,USD,14600000,2018-08-21
Seed Round - Cool Math(Beijing Tianfutong Education Technology Co.),https://www.crunchbase.com/funding_round/cool-math-beijing-tianfutong-education-technology-co-seed--1dc4203d,Cool Math(Beijing Tianfutong Education Technology Co.),https://www.crunchbase.com/organization/cool-math-beijing-tianfutong-education-technology-co,Seed,10000000,CNY,1458236,2018-08-20
Series B - Koala Reading,https://www.crunchbase.com/funding_round/koala-reading-series-b--3ae1e167,Koala Reading,https://www.crunchbase.com/organization/koala-reading,Series B,20000000,USD,20000000,2018-08-10
Series A - Fat ball,https://www.crunchbase.com/funding_round/fat-ball-series-a--88c44897,Fat ball,https://www.crunchbase.com/organization/fat-ball,Series A,,,,2018-08-07
Series A - Pangqiu,https://www.crunchbase.com/funding_round/pangqiu-series-a--fae057c5,Pangqiu,https://www.crunchbase.com/organization/pangqiu,Series A,,,,2018-08-07
Series A - CureGenetics,https://www.crunchbase.com/funding_round/curegenetics-series-a--b7db7b3d,CureGenetics,https://www.crunchbase.com/organization/curegenetics,Series A,17000000,USD,17000000,2018-08-06
Series B - Madaket,https://www.crunchbase.com/funding_round/madaket-series-b--1df0ab55,Madaket,https://www.crunchbase.com/organization/madaket,Series B,10000000,USD,10000000,2018-07-23
Angel Round - Qingqi Technology,https://www.crunchbase.com/funding_round/qingqi-technology-angel--d5127f9a,Qingqi Technology,https://www.crunchbase.com/organization/qingqi-technology,Angel,,,,2018-07-20
Series D - Wacai,https://www.crunchbase.com/funding_round/wacai-series-d--d8054b39,Wacai,https://www.crunchbase.com/organization/wacai,Series D,,,,2018-07-18
Series B - The Good Stuff,https://www.crunchbase.com/funding_round/the-good-stuff-series-b--342b5bb7,The Good Stuff,https://www.crunchbase.com/organization/the-good-stuff,Series B,50000000,USD,50000000,2018-07-17
Series A - Kaiheikeji Digital,https://www.crunchbase.com/funding_round/kaiheikeji-digital-series-a--ee80469f,Kaiheikeji Digital,https://www.crunchbase.com/organization/kaiheikeji-digital,Series A,15000000,USD,15000000,2018-07-11
Series A - Lanjinrong,https://www.crunchbase.com/funding_round/lanjinrong-series-a--e165c061,Lanjinrong,https://www.crunchbase.com/organization/lanjinrong,Series A,,,,2018-07-06
Series A - Alpha Biopharma,https://www.crunchbase.com/funding_round/alpha-biopharm-series-a--5ed2d8f2,Alpha Biopharma,https://www.crunchbase.com/organization/alpha-biopharm,Series A,37000000,USD,37000000,2018-06-19
Series B - WindMIL Therapeutics,https://www.crunchbase.com/funding_round/windmil-therapeutics-series-b--8ca6ab41,WindMIL Therapeutics,https://www.crunchbase.com/organization/windmil-therapeutics,Series B,32500000,USD,32500000,2018-06-18
