Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Baodashi,https://www.crunchbase.com/funding_round/baodashi-series-a--4178f06d,Baodashi,https://www.crunchbase.com/organization/baodashi,Series A,30000000,CNY,4333882,2018-10-12
Series A - CureGenetics,https://www.crunchbase.com/funding_round/curegenetics-series-a--b7db7b3d,CureGenetics,https://www.crunchbase.com/organization/curegenetics,Series A,17000000,USD,17000000,2018-08-06
Series A - Zhangguigonglue (spoon classroom),https://www.crunchbase.com/funding_round/zhangguigonglue-series-a--44a202b1,Zhangguigonglue (spoon classroom),https://www.crunchbase.com/organization/zhangguigonglue,Series A,30000000,CNY,4353599,2018-08-13
Series A - Qeebike,https://www.crunchbase.com/funding_round/qeebike-series-a--7aac0025,Qeebike,https://www.crunchbase.com/organization/qeebike,Series A,,,,2018-03-22
Series B - Shilily,https://www.crunchbase.com/funding_round/shilily-series-b--18141854,Shilily,https://www.crunchbase.com/organization/shilily,Series B,,,,2018-05-21
Angel Round - Pinliang,https://www.crunchbase.com/funding_round/pinliang-angel--735acbd4,Pinliang,https://www.crunchbase.com/organization/pinliang,Angel,,,,2018-07-10
Angel Round - Zhiyao Technology,https://www.crunchbase.com/funding_round/zhiyao-technology-angel--c0ac9761,Zhiyao Technology,https://www.crunchbase.com/organization/zhiyao-technology,Angel,,,,2018-07-06
Series B - Xbed,https://www.crunchbase.com/funding_round/xbed-series-b--0ae131b6,Xbed,https://www.crunchbase.com/organization/xbed,Series B,,,,2018-04-10
Series A - Qianniao56.com,https://www.crunchbase.com/funding_round/qianniao56-com-series-a--a2aade0d,Qianniao56.com,https://www.crunchbase.com/organization/qianniao56-com,Series A,,,,2018-06-19
Series A - Ellabook,https://www.crunchbase.com/funding_round/ellabook-series-a--cf730a51,Ellabook,https://www.crunchbase.com/organization/ellabook,Series A,6300000,USD,6300000,2018-01-29
Series B - OnionMath,https://www.crunchbase.com/funding_round/yangcong-series-b--a30237e9,OnionMath,https://www.crunchbase.com/organization/yangcong,Series B,97000000,CNY,14074434,2017-05-23
Series A - AutocloudPro,https://www.crunchbase.com/funding_round/autocloudpro-series-a--89ee0194,AutocloudPro,https://www.crunchbase.com/organization/autocloudpro,Series A,17000000,USD,17000000,2017-07-28
Venture Round - Fangcang,https://www.crunchbase.com/funding_round/fangcang-series-unknown--32945548,Fangcang,https://www.crunchbase.com/organization/fangcang,Venture - Series Unknown,1620000,USD,1620000,2014-07-23
Angel Round - Shanghai Moteng Website,https://www.crunchbase.com/funding_round/shanghai-moteng-network-technology-angel--7f6394ab,Shanghai Moteng Website,https://www.crunchbase.com/organization/shanghai-moteng-network-technology,Angel,1000000,CNY,164734,2014-02-01
Series A - UZwan,https://www.crunchbase.com/funding_round/uzwan-series-a--f6886482,UZwan,https://www.crunchbase.com/organization/uzwan,Series A,1600000,USD,1600000,2013-10-23
Series A - Simplr—Just for Campus,https://www.crunchbase.com/funding_round/simplr-just-for-campus-series-a--b6ac6c76,Simplr—Just for Campus,https://www.crunchbase.com/organization/simplr-just-for-campus,Series A,,,,2015-07-23
Angel Round - Black Pearl Studio,https://www.crunchbase.com/funding_round/black-pearl-studio-angel--f01578aa,Black Pearl Studio,https://www.crunchbase.com/organization/black-pearl-studio,Angel,1000000,CNY,164869,2014-01-01
