Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - BacklotCars,https://www.crunchbase.com/funding_round/backlot-cars-seed--029ff00e,BacklotCars,https://www.crunchbase.com/organization/backlot-cars,Seed,,,,2017-06-09
Series B - Simtoo,https://www.crunchbase.com/funding_round/simtoo-series-b--df1efda4,Simtoo,https://www.crunchbase.com/organization/simtoo,Series B,72000000,CNY,10631960,2016-10-26
Series A - 51Autogo,https://www.crunchbase.com/funding_round/51autogo-series-a--96739f7d,51Autogo,https://www.crunchbase.com/organization/51autogo,Series A,15000000,USD,15000000,2016-08-18
Series A - Sirin Labs,https://www.crunchbase.com/funding_round/sirin-mobile-technologies-series-a--a203f6b5,Sirin Labs,https://www.crunchbase.com/organization/sirin-mobile-technologies,Series A,72000000,USD,72000000,2016-04-24
Series C - Omni Prime Inc.,https://www.crunchbase.com/funding_round/omni-prime-inc-series-c--e5685b9d,Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,Series C,46000000,USD,46000000,2016-04-12
Seed Round - Onerent,https://www.crunchbase.com/funding_round/onerent-seed--d54c87f5,Onerent,https://www.crunchbase.com/organization/onerent,Seed,4000000,USD,4000000,2016-03-24
Series C - FiscalNote,https://www.crunchbase.com/funding_round/fiscalnote-series-c--7bfdff6e,FiscalNote,https://www.crunchbase.com/organization/fiscalnote,Series C,10000000,USD,10000000,2016-02-02
Series B - Shiftgig,https://www.crunchbase.com/funding_round/shiftgig-series-b--02d62a1b,Shiftgig,https://www.crunchbase.com/organization/shiftgig,Series B,22000000,USD,22000000,2015-11-24
Angel Round - XtalPi,https://www.crunchbase.com/funding_round/xtalpi-angel--86a95b1d,XtalPi,https://www.crunchbase.com/organization/xtalpi,Angel,309000,USD,309000,2015-10-01
Series E - SoFi,https://www.crunchbase.com/funding_round/social-finance-series-e--1609f1ba,SoFi,https://www.crunchbase.com/organization/social-finance,Series E,1000000000,USD,1000000000,2015-09-30
Series A - Aspiration,https://www.crunchbase.com/funding_round/aspiration-series-a--9d35fccc,Aspiration,https://www.crunchbase.com/organization/aspiration,Series A,15500000,USD,15500000,2015-09-17
Series A - Simtoo,https://www.crunchbase.com/funding_round/simtoo-series-a--2f9ebc90,Simtoo,https://www.crunchbase.com/organization/simtoo,Series A,20000000,CNY,3140909,2015-09-01
Series A - Plum Lending,https://www.crunchbase.com/funding_round/plum-lending-series-a--d2c4c1c6,Plum Lending,https://www.crunchbase.com/organization/plum-lending,Series A,10000000,USD,10000000,2015-08-31
Series B - Omni Prime Inc.,https://www.crunchbase.com/funding_round/omni-prime-inc-series-b--c0a65833,Omni Prime Inc.,https://www.crunchbase.com/organization/omni-prime-inc,Series B,26000000,USD,26000000,2015-08-01
Seed Round - Blueboard,https://www.crunchbase.com/funding_round/blueboard-seed--8b3bb5ed,Blueboard,https://www.crunchbase.com/organization/blueboard,Seed,2000000,USD,2000000,2015-07-28
Series B - Jinfuzi,https://www.crunchbase.com/funding_round/jinfuzi-series-b--16bebc1d,Jinfuzi,https://www.crunchbase.com/organization/jinfuzi,Series B,50000000,USD,50000000,2015-07-17
Series A - Trucker Path,https://www.crunchbase.com/funding_round/trucker-path-series-a--53dd9cb1,Trucker Path,https://www.crunchbase.com/organization/trucker-path,Series A,20000000,USD,20000000,2015-06-30
Series B - GoGoVan,https://www.crunchbase.com/funding_round/gogovan-series-b--d6e260d2,GoGoVan,https://www.crunchbase.com/organization/gogovan,Series B,10000000,USD,10000000,2015-06-11
Venture Round - StockTwits,https://www.crunchbase.com/funding_round/stocktwits-series-unknown--ef6a9a25,StockTwits,https://www.crunchbase.com/organization/stocktwits,Venture - Series Unknown,1800000,USD,1800000,2015-04-09
Series C - LendingHome,https://www.crunchbase.com/funding_round/lendinghome-series-c--f1b82792,LendingHome,https://www.crunchbase.com/organization/lendinghome,Series C,70000000,USD,70000000,2015-03-23
Series D - Cheyipai,https://www.crunchbase.com/funding_round/cheyipai-series-d--b4728206,Cheyipai,https://www.crunchbase.com/organization/cheyipai,Series D,110000000,USD,110000000,2015-03-02
