Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - SenseTime,https://www.crunchbase.com/funding_round/sensetime-series-d--41f8a591,SenseTime,https://www.crunchbase.com/organization/sensetime,Series D,1000000000,USD,1000000000,2018-09-10
Seed Round - Atlas Protocol,https://www.crunchbase.com/funding_round/atlas-protocol-seed--b769961a,Atlas Protocol,https://www.crunchbase.com/organization/atlas-protocol,Seed,3000000,USD,3000000,2018-08-20
Series D - Moviebook Co.,https://www.crunchbase.com/funding_round/moviebook-co-series-d--8d1bcc9d,Moviebook Co.,https://www.crunchbase.com/organization/moviebook-co,Series D,1360000000,CNY,199051577,2018-08-07
Series A - VIPCODE,https://www.crunchbase.com/funding_round/vipcode-series-a--56f78038,VIPCODE,https://www.crunchbase.com/organization/vipcode,Series A,,,,2018-06-01
Series B - Cowarobot,https://www.crunchbase.com/funding_round/cowarobot-series-b--fb1c6812,Cowarobot,https://www.crunchbase.com/organization/cowarobot,Series B,135000000,CNY,21163191,2018-05-15
Series B - Innovative Cellular Therapeutics,https://www.crunchbase.com/funding_round/innovative-cellular-therapeutics-series-b--d51947e5,Innovative Cellular Therapeutics,https://www.crunchbase.com/organization/innovative-cellular-therapeutics,Series B,28600000,USD,28600000,2018-04-25
Series A - bte.top,https://www.crunchbase.com/funding_round/bte-top-series-a--42787e91,bte.top,https://www.crunchbase.com/organization/bte-top,Series A,,,,2018-04-16
Series D - MobileMD System,https://www.crunchbase.com/funding_round/mobilemd-system-series-d--14682be6,MobileMD System,https://www.crunchbase.com/organization/mobilemd-system,Series D,47600000,USD,47600000,2018-04-09
Series B - Huilianyi,https://www.crunchbase.com/funding_round/huilianyi-series-b--029b7ff7,Huilianyi,https://www.crunchbase.com/organization/huilianyi,Series B,7900000,USD,7900000,2018-03-06
Series C - Codoon,https://www.crunchbase.com/funding_round/codoon-series-c--0d9dd230,Codoon,https://www.crunchbase.com/organization/codoon,Series C,20000000,USD,20000000,2018-02-09
Series B - Dingdang Kuaiyao,https://www.crunchbase.com/funding_round/dingdang-kuaiyao-series-b--b00c2b77,Dingdang Kuaiyao,https://www.crunchbase.com/organization/dingdang-kuaiyao,Series B,,,,2018-01-18
Series A - New Flow Technology,https://www.crunchbase.com/funding_round/new-flow-technology-series-a--6776cd8c,New Flow Technology,https://www.crunchbase.com/organization/new-flow-technology,Series A,18000000,USD,18000000,2018-01-09
