Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Crazybaby,https://www.crunchbase.com/funding_round/crazybaby-series-b--3b3ca82d,Crazybaby,https://www.crunchbase.com/organization/crazybaby,Series B,10000000,USD,10000000,2018-10-29
Series C - Yunxuetang,https://www.crunchbase.com/funding_round/yunxuetang-series-c--4623e898,Yunxuetang,https://www.crunchbase.com/organization/yunxuetang,Series C,50000000,USD,50000000,2018-10-23
Series D - Shansong (FlashEX),https://www.crunchbase.com/funding_round/shansong-series-d--d6ed0172,Shansong (FlashEX),https://www.crunchbase.com/organization/shansong,Series D,60000000,USD,60000000,2018-08-28
Series C - Zichan360,https://www.crunchbase.com/funding_round/zichan360-资产360-series-c--7bc053b5,Zichan360,https://www.crunchbase.com/organization/zichan360-资产360,Series C,100000000,CNY,14636145,2018-08-07
Series C - Zhao You,https://www.crunchbase.com/funding_round/51zhaoyou-com-series-c--b6e3f756,Zhao You,https://www.crunchbase.com/organization/51zhaoyou-com,Series C,150000000,USD,150000000,2018-08-01
Series C - Yunding Technology,https://www.crunchbase.com/funding_round/yunding-technology-series-c--4a091c87,Yunding Technology,https://www.crunchbase.com/organization/yunding-technology,Series C,40000000,USD,40000000,2018-07-12
Venture Round - AsiaCollect,https://www.crunchbase.com/funding_round/asiacollect-series-unknown--e1c78a15,AsiaCollect,https://www.crunchbase.com/organization/asiacollect,Venture - Series Unknown,4500000,USD,4500000,2018-07-05
Series A - SoulSense,https://www.crunchbase.com/funding_round/soulsense-series-a--60d52026,SoulSense,https://www.crunchbase.com/organization/soulsense,Series A,,,,2018-07-04
Seed Round - ToDoEN,https://www.crunchbase.com/funding_round/todoen-seed--b9db156b,ToDoEN,https://www.crunchbase.com/organization/todoen,Seed,,,,2018-06-20
Series C - Yaoshibang,https://www.crunchbase.com/funding_round/yaoshibang-series-c--d00dfbc6,Yaoshibang,https://www.crunchbase.com/organization/yaoshibang,Series C,420000000,CNY,65626025,2018-06-14
Series B - Agora.io,https://www.crunchbase.com/funding_round/agora-io-series-b--cff11033,Agora.io,https://www.crunchbase.com/organization/agora-io,Series B,30000000,USD,30000000,2018-06-08
Series A - Goopal Group,https://www.crunchbase.com/funding_round/goopal-group-series-a--91cef4dc,Goopal Group,https://www.crunchbase.com/organization/goopal-group,Series A,12000000,USD,12000000,2018-06-05
Series B - Yalla,https://www.crunchbase.com/funding_round/yalla-01cc-series-b--b110199e,Yalla,https://www.crunchbase.com/organization/yalla-01cc,Series B,,,,2018-05-30
Seed Round - Zhaoguanche,https://www.crunchbase.com/funding_round/zhaoguanche-seed--531e01d7,Zhaoguanche,https://www.crunchbase.com/organization/zhaoguanche,Seed,,,,2018-05-29
Series A - Newestage,https://www.crunchbase.com/funding_round/newestage-series-a--7e534670,Newestage,https://www.crunchbase.com/organization/newestage,Series A,,,,2018-05-21
Series B - Jirnexu,https://www.crunchbase.com/funding_round/jirnexu-series-b--be096053,Jirnexu,https://www.crunchbase.com/organization/jirnexu,Series B,11000000,USD,11000000,2018-05-17
Series C - Uoko.com,https://www.crunchbase.com/funding_round/uoko-com-series-c--1c906e70,Uoko.com,https://www.crunchbase.com/organization/uoko-com,Series C,1000000000,CNY,157487755,2018-05-10
Series A - Changjinglu,https://www.crunchbase.com/funding_round/changjinglu-series-a--6d7b2fbf,Changjinglu,https://www.crunchbase.com/organization/changjinglu,Series A,3143000,USD,3143000,2018-05-02
Series B - Castbox,https://www.crunchbase.com/funding_round/castbox-fm-series-b--9052b9a5,Castbox,https://www.crunchbase.com/organization/castbox-fm,Series B,13500000,USD,13500000,2018-04-25
Series C - Patpat,https://www.crunchbase.com/funding_round/patpat-series-c--519cb36f,Patpat,https://www.crunchbase.com/organization/patpat,Series C,47800000,USD,47800000,2018-04-19
Series B - Piaoniu,https://www.crunchbase.com/funding_round/piaoniu-series-b--104cc93b,Piaoniu,https://www.crunchbase.com/organization/piaoniu,Series B,11000000,USD,11000000,2018-04-09
Series B - ScaleFlux,https://www.crunchbase.com/funding_round/scaleflux-series-b--e28f3614,ScaleFlux,https://www.crunchbase.com/organization/scaleflux,Series B,25000000,USD,25000000,2018-03-20
Series B - Zichan360,https://www.crunchbase.com/funding_round/zichan360-资产360-series-b--ba481d89,Zichan360,https://www.crunchbase.com/organization/zichan360-资产360,Series B,,,,2018-01-22
Series A - Easy Carry,https://www.crunchbase.com/funding_round/easy-carry-series-a--45d56740,Easy Carry,https://www.crunchbase.com/organization/easy-carry,Series A,18800000,USD,18800000,2018-01-19
Series B - Trusfort,https://www.crunchbase.com/funding_round/trusfort-series-b--b3cef524,Trusfort,https://www.crunchbase.com/organization/trusfort,Series B,19000000,USD,19000000,2018-01-16
Series B - Nanyan Information,https://www.crunchbase.com/funding_round/nanyan-information-series-b--868dc073,Nanyan Information,https://www.crunchbase.com/organization/nanyan-information,Series B,,,,2017-12-29
Series A - Chomp Cloud,https://www.crunchbase.com/funding_round/chomp-cloud-series-a--dccbb96d,Chomp Cloud,https://www.crunchbase.com/organization/chomp-cloud,Series A,10000000,USD,10000000,2017-12-22
Series A - Champzee,https://www.crunchbase.com/funding_round/champzee-series-a--e87843ba,Champzee,https://www.crunchbase.com/organization/champzee,Series A,10000000,USD,10000000,2017-12-20
Series A - Shixiseng,https://www.crunchbase.com/funding_round/shixiseng-series-a--ebc5cd6e,Shixiseng,https://www.crunchbase.com/organization/shixiseng,Series A,,,,2017-12-12
Seed Round - Sturfee,https://www.crunchbase.com/funding_round/sturfee-seed--8bba9f72,Sturfee,https://www.crunchbase.com/organization/sturfee,Seed,2000000,USD,2000000,2017-12-01
Series A - Ulandian.com,https://www.crunchbase.com/funding_round/ulandian-com-series-a--f2a3e944,Ulandian.com,https://www.crunchbase.com/organization/ulandian-com,Series A,3000000,USD,3000000,2017-11-07
Angel Round - Yixue Education,https://www.crunchbase.com/funding_round/yixue-education-angel--d7e6406d,Yixue Education,https://www.crunchbase.com/organization/yixue-education,Angel,41000000,USD,41000000,2017-11-07
