Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Cocovel,https://www.crunchbase.com/funding_round/cocovel-series-b--0ec1f11e,Cocovel,https://www.crunchbase.com/organization/cocovel,Series B,100000000,CNY,14352144,2018-10-31
Series A - Linlinyi,https://www.crunchbase.com/funding_round/linlinyi-series-a--cc6daab8,Linlinyi,https://www.crunchbase.com/organization/linlinyi,Series A,,,,2018-10-26
Series A - Familyone,https://www.crunchbase.com/funding_round/familyone-series-a--d4c0be72,Familyone,https://www.crunchbase.com/organization/familyone,Series A,10000000,USD,10000000,2018-10-26
Series A - Shannon.ai,https://www.crunchbase.com/funding_round/shannon-ai-series-a--64e7e0da,Shannon.ai,https://www.crunchbase.com/organization/shannon-ai,Series A,110000000,CNY,15808913,2018-10-26
Series E - Beisen,https://www.crunchbase.com/funding_round/beisen-series-e--34a9ea02,Beisen,https://www.crunchbase.com/organization/beisen,Series E,100000000,USD,100000000,2018-10-23
Angel Round - Xmov,https://www.crunchbase.com/funding_round/xmov-angel--95d2b02b,Xmov,https://www.crunchbase.com/organization/xmov,Angel,,,,2018-10-19
Series A - Ksher,https://www.crunchbase.com/funding_round/ksher-series-a--a55a148b,Ksher,https://www.crunchbase.com/organization/ksher,Series A,10000000,USD,10000000,2018-10-15
Series B - Letus Legend,https://www.crunchbase.com/funding_round/letus-legend-series-b--de671dd5,Letus Legend,https://www.crunchbase.com/organization/letus-legend,Series B,300000000,CNY,43543892,2018-10-11
Series B - Deep Intelligent Pharma,https://www.crunchbase.com/funding_round/deep-intelligent-pharma-series-b--7a22de45,Deep Intelligent Pharma,https://www.crunchbase.com/organization/deep-intelligent-pharma,Series B,15000000,USD,15000000,2018-10-09
Series A - Yunxi Technology,https://www.crunchbase.com/funding_round/yunxi-technology-series-a--63aed58d,Yunxi Technology,https://www.crunchbase.com/organization/yunxi-technology,Series A,22000000,USD,22000000,2018-09-19
Series E - Tuhu,https://www.crunchbase.com/funding_round/tuhu-series-e--f5e30836,Tuhu,https://www.crunchbase.com/organization/tuhu,Series E,450000000,USD,450000000,2018-09-17
Series A - Abox box,https://www.crunchbase.com/funding_round/abox-box-series-a--11b58d3f,Abox box,https://www.crunchbase.com/organization/abox-box,Series A,,,,2018-09-12
Series C - Loho Eyewear,https://www.crunchbase.com/funding_round/loho-holdings-series-c--4defb6dd,Loho Eyewear,https://www.crunchbase.com/organization/loho-holdings,Series C,100000000,USD,100000000,2018-09-11
Seed Round - DeepVision,https://www.crunchbase.com/funding_round/deepvision-seed--aae951c2,DeepVision,https://www.crunchbase.com/organization/deepvision,Seed,500000,USD,500000,2018-09-10
Venture Round - LianLian Pay,https://www.crunchbase.com/funding_round/lianlian-pay-series-unknown--bcb84ca2,LianLian Pay,https://www.crunchbase.com/organization/lianlian-pay,Venture - Series Unknown,1000000000,CNY,146560947,2018-09-03
Seed Round - Familyone,https://www.crunchbase.com/funding_round/familyone-seed--f059847e,Familyone,https://www.crunchbase.com/organization/familyone,Seed,,,,2018-08-31
Series C - Makeblock,https://www.crunchbase.com/funding_round/makeblock-series-c--8ae2a3ce,Makeblock,https://www.crunchbase.com/organization/makeblock,Series C,300000000,CNY,43830492,2018-08-30
Seed Round - RootPath Genomics,https://www.crunchbase.com/funding_round/rootpath-seed--4670a2f2,RootPath Genomics,https://www.crunchbase.com/organization/rootpath,Seed,7000000,USD,7000000,2018-08-30
Series A - Cheng Yi Radio,https://www.crunchbase.com/funding_round/cheng-yi-radio-series-a--c653c919,Cheng Yi Radio,https://www.crunchbase.com/organization/cheng-yi-radio,Series A,,,,2018-08-30
Series A - Xunyi,https://www.crunchbase.com/funding_round/hangzhou-xunyi-network-technology-series-a--1773e0a1,Xunyi,https://www.crunchbase.com/organization/hangzhou-xunyi-network-technology,Series A,,,,2018-08-20
Series B - XTX Technology,https://www.crunchbase.com/funding_round/xtx-technology-series-b--0d59864a,XTX Technology,https://www.crunchbase.com/organization/xtx-technology,Series B,38000000,USD,38000000,2018-08-20
Series A - Xunyi,https://www.crunchbase.com/funding_round/hangzhou-xunyi-network-technology-series-a--995bc3da,Xunyi,https://www.crunchbase.com/organization/hangzhou-xunyi-network-technology,Series A,,,,2018-08-20
Series D - KLOOK,https://www.crunchbase.com/funding_round/klook-series-d--6abbda70,KLOOK,https://www.crunchbase.com/organization/klook,Series D,200000000,USD,200000000,2018-08-07
Venture Round - WoLong,https://www.crunchbase.com/funding_round/wolong-series-unknown--2604016a,WoLong,https://www.crunchbase.com/organization/wolong,Venture - Series Unknown,,,,2018-08-06
Series B - Xiangwushuo,https://www.crunchbase.com/funding_round/xiangwushuo-series-b--eb3c31d8,Xiangwushuo,https://www.crunchbase.com/organization/xiangwushuo,Series B,65000000,USD,65000000,2018-08-01
Series D - Medlinker,https://www.crunchbase.com/funding_round/medlinker-series-d--793c421f,Medlinker,https://www.crunchbase.com/organization/medlinker,Series D,1000000000,CNY,146776063,2018-07-31
Seed Round - Old Road Hall,https://www.crunchbase.com/funding_round/old-road-hall-seed--4dac0bd3,Old Road Hall,https://www.crunchbase.com/organization/old-road-hall,Seed,21600000,CNY,3171014,2018-07-27
