Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Glycotest,https://www.crunchbase.com/funding_round/glycotest-series-a--74cb9a4c,Glycotest,https://www.crunchbase.com/organization/glycotest,Series A,10000000,USD,10000000,2018-10-23
Series A - Fushoukang,https://www.crunchbase.com/funding_round/fushoukang-series-a--2d2ef783,Fushoukang,https://www.crunchbase.com/organization/fushoukang,Series A,,,,2018-09-26
Series B - Shanghai LinkedCare Information Technology,https://www.crunchbase.com/funding_round/shanghai-linkedcare-information-technology-series-b--2d837716,Shanghai LinkedCare Information Technology,https://www.crunchbase.com/organization/shanghai-linkedcare-information-technology,Series B,100000000,CNY,15114996,2017-12-08
Venture Round - Shanghai Henlius Biotech,https://www.crunchbase.com/funding_round/shanghai-henlius-biotech-series-unknown--850b8262,Shanghai Henlius Biotech,https://www.crunchbase.com/organization/shanghai-henlius-biotech,Venture - Series Unknown,190000000,USD,190000000,2017-12-22
Debt Financing - Check-Cap,https://www.crunchbase.com/funding_round/check-cap-debt-financing--6d47ec90,Check-Cap,https://www.crunchbase.com/organization/check-cap,Debt Financing,12000000,USD,12000000,2014-10-19
Post-IPO Equity - DiaMedica,https://www.crunchbase.com/funding_round/diamedica-post-ipo-equity--b9269780,DiaMedica,https://www.crunchbase.com/organization/diamedica,Post-IPO Equity,4000000,USD,4000000,2016-07-18
Private Equity Round - Saladax Biomedical,https://www.crunchbase.com/funding_round/saladax-biomedical-private-equity--1cb62540,Saladax Biomedical,https://www.crunchbase.com/organization/saladax-biomedical,Private Equity,22400000,USD,22400000,2013-03-05
Venture Round - Amerigen Pharmaceuticals,https://www.crunchbase.com/funding_round/amerigen-pharmaceuticals-series-unknown--b0d79606,Amerigen Pharmaceuticals,https://www.crunchbase.com/organization/amerigen-pharmaceuticals,Venture - Series Unknown,35000000,USD,35000000,2015-01-09
Series C - Spirosure,https://www.crunchbase.com/funding_round/spirometrix-series-c--bbe36ef1,Spirosure,https://www.crunchbase.com/organization/spirometrix,Series C,17400000,USD,17400000,2016-06-30
Venture Round - Astute Medical,https://www.crunchbase.com/funding_round/astute-medical-series-unknown--2523038c,Astute Medical,https://www.crunchbase.com/organization/astute-medical,Venture - Series Unknown,19999999,USD,19999999,2015-10-14
