Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Mamizhidao,https://www.crunchbase.com/funding_round/mamizhidao-series-c--e433d0d9,Mamizhidao,https://www.crunchbase.com/organization/mamizhidao,Series C,,,,2018-06-26
Venture Round - UPLTV,https://www.crunchbase.com/funding_round/upltv-series-unknown--2057bd5c,UPLTV,https://www.crunchbase.com/organization/upltv,Venture - Series Unknown,10000000,USD,10000000,2018-03-21
Series A - Pleiades ENT Hospital,https://www.crunchbase.com/funding_round/pleiades-ent-hospital-series-a--fe0b841f,Pleiades ENT Hospital,https://www.crunchbase.com/organization/pleiades-ent-hospital,Series A,10000000,CNY,1452612,2018-08-16
Seed Round - MileBot Robotics,https://www.crunchbase.com/funding_round/milebot-robotics-seed--06393a77,MileBot Robotics,https://www.crunchbase.com/organization/milebot-robotics,Seed,,,,2018-05-17
Series B - Dessmann,https://www.crunchbase.com/funding_round/dessmann-series-b--cfc267e8,Dessmann,https://www.crunchbase.com/organization/dessmann,Series B,16000000,USD,16000000,2018-03-21
Corporate Round - Keeson Technology,https://www.crunchbase.com/funding_round/keeson-technology-corporate-round--838b1a10,Keeson Technology,https://www.crunchbase.com/organization/keeson-technology,Corporate Round,32000000,USD,32000000,2018-02-01
Series B - Suzhou Zelgen Biopharmaceuticals,https://www.crunchbase.com/funding_round/suzhou-zelgen-biopharmaceuticals-series-b--d393754f,Suzhou Zelgen Biopharmaceuticals,https://www.crunchbase.com/organization/suzhou-zelgen-biopharmaceuticals,Series B,400000000,CNY,62132061,2018-01-15
Series B - MiningLamp,https://www.crunchbase.com/funding_round/mininglamp-series-b--c5f3878a,MiningLamp,https://www.crunchbase.com/organization/mininglamp,Series B,30000000,USD,30000000,2016-08-10
Series A - Rontgen Medical,https://www.crunchbase.com/funding_round/rontgen-medical-series-a--70df3779,Rontgen Medical,https://www.crunchbase.com/organization/rontgen-medical,Series A,,,,2017-12-29
Seed Round - Shanghai Zelkova Intelligent Technology,https://www.crunchbase.com/funding_round/shanghai-zelkova-intelligent-technology-seed--9a41b466,Shanghai Zelkova Intelligent Technology,https://www.crunchbase.com/organization/shanghai-zelkova-intelligent-technology,Seed,,,,2017-11-17
Series B - iKongJian,https://www.crunchbase.com/funding_round/ikongjian-series-b--2c138524,iKongJian,https://www.crunchbase.com/organization/ikongjian,Series B,21000000,USD,21000000,2015-12-14
