Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Jianke,https://www.crunchbase.com/funding_round/jianke-series-b--2153ed9f,Jianke,https://www.crunchbase.com/organization/jianke,Series B,130000000,USD,130000000,2018-09-04
Series B - Lachesis,https://www.crunchbase.com/funding_round/lachesis-series-b--862def0f,Lachesis,https://www.crunchbase.com/organization/lachesis,Series B,29000000,USD,29000000,2018-08-28
Series B - Innovative Cellular Therapeutics,https://www.crunchbase.com/funding_round/innovative-cellular-therapeutics-series-b--d51947e5,Innovative Cellular Therapeutics,https://www.crunchbase.com/organization/innovative-cellular-therapeutics,Series B,28600000,USD,28600000,2018-04-25
Corporate Round - 7LeKang (7lk),https://www.crunchbase.com/funding_round/7lekang-corporate-round--da76f270,7LeKang (7lk),https://www.crunchbase.com/organization/7lekang,Corporate Round,,,,2018-08-01
Venture Round - Shanghai Henlius Biotech,https://www.crunchbase.com/funding_round/shanghai-henlius-biotech-series-unknown--850b8262,Shanghai Henlius Biotech,https://www.crunchbase.com/organization/shanghai-henlius-biotech,Venture - Series Unknown,190000000,USD,190000000,2017-12-22
Corporate Round - Jabrehoo Med Tech,https://www.crunchbase.com/funding_round/jabrehoo-med-tech-corporate-round--07c707a0,Jabrehoo Med Tech,https://www.crunchbase.com/organization/jabrehoo-med-tech,Corporate Round,,,,2018-04-25
Series C - Annoroad,https://www.crunchbase.com/funding_round/annoroad-series-c--2f613dfe,Annoroad,https://www.crunchbase.com/organization/annoroad,Series C,700000000,CNY,105497155,2017-11-03
Series B - Beijing Herun Detang Media and Advertising,https://www.crunchbase.com/funding_round/beijing-herun-detang-media-and-advertising-series-b--cadbd029,Beijing Herun Detang Media and Advertising,https://www.crunchbase.com/organization/beijing-herun-detang-media-and-advertising,Series B,8830000,USD,8830000,2010-08-19
Series B - Akeso Biopharma,https://www.crunchbase.com/funding_round/akeso-biopharma-series-b--219c782b,Akeso Biopharma,https://www.crunchbase.com/organization/akeso-biopharma,Series B,300000000,CNY,45480386,2017-08-29
Series B - Beijing Mabworks Biotech,https://www.crunchbase.com/funding_round/beijing-mabworks-biotech-series-b--106d87ce,Beijing Mabworks Biotech,https://www.crunchbase.com/organization/beijing-mabworks-biotech,Series B,39000000,USD,39000000,2017-01-25
Series B - Wellem,https://www.crunchbase.com/funding_round/wellem-series-b--c4297b7a,Wellem,https://www.crunchbase.com/organization/wellem,Series B,30000000,USD,30000000,2017-09-12
