Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - Akeso Biopharma,https://www.crunchbase.com/funding_round/akeso-biopharma-series-c--b5feeaf7,Akeso Biopharma,https://www.crunchbase.com/organization/akeso-biopharma,Series C,,,,2018-10-30
Series C - Dayi35.com,https://www.crunchbase.com/funding_round/dayi35-com-series-c--3ac838fe,Dayi35.com,https://www.crunchbase.com/organization/dayi35-com,Series C,,,,2018-10-29
Corporate Round - SinoVoice,https://www.crunchbase.com/funding_round/sinovoice-corporate-round--df79fd7d,SinoVoice,https://www.crunchbase.com/organization/sinovoice,Corporate Round,100000000,CNY,14562187,2018-09-25
Series A - Zhiyi Pharmaceutics,https://www.crunchbase.com/funding_round/zhiyi-pharmaceutics-series-a--5dfebe3c,Zhiyi Pharmaceutics,https://www.crunchbase.com/organization/zhiyi-pharmaceutics,Series A,50000000,CNY,7319780,2018-09-05
Seed Round - Meishe SDK,https://www.crunchbase.com/funding_round/meishe-sdk-seed--fecaf795,Meishe SDK,https://www.crunchbase.com/organization/meishe-sdk,Seed,,,,2018-08-24
Series B - XTX Technology,https://www.crunchbase.com/funding_round/xtx-technology-series-b--0d59864a,XTX Technology,https://www.crunchbase.com/organization/xtx-technology,Series B,38000000,USD,38000000,2018-08-20
Series C - Dayi35.com,https://www.crunchbase.com/funding_round/dayi35-com-series-c--7b81f7f8,Dayi35.com,https://www.crunchbase.com/organization/dayi35-com,Series C,,,,2018-08-16
Series A - SXMAPS,https://www.crunchbase.com/funding_round/sxmaps-series-a--c6f72beb,SXMAPS,https://www.crunchbase.com/organization/sxmaps,Series A,100000000,CNY,14607496,2018-08-10
Venture Round - Formlabs,https://www.crunchbase.com/funding_round/formlabs-series-unknown--4000d096,Formlabs,https://www.crunchbase.com/organization/formlabs,Venture - Series Unknown,15000000,USD,15000000,2018-08-01
Seed Round - Shenzhen TargetRx,https://www.crunchbase.com/funding_round/shenzhen-targetrx-seed--114a2f86,Shenzhen TargetRx,https://www.crunchbase.com/organization/shenzhen-targetrx,Seed,,,,2018-07-24
Series B - HaploX Biotechnology,https://www.crunchbase.com/funding_round/haplox-biotechnology-series-b--269af9ff,HaploX Biotechnology,https://www.crunchbase.com/organization/haplox-biotechnology,Series B,,,,2018-06-28
