Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series D - MobileMD System,https://www.crunchbase.com/funding_round/mobilemd-system-series-d--14682be6,MobileMD System,https://www.crunchbase.com/organization/mobilemd-system,Series D,47600000,USD,47600000,2018-04-09
Seed Round - Connect Biopharmaceuticals,https://www.crunchbase.com/funding_round/connect-biopharmaceuticals-seed--5024236a,Connect Biopharmaceuticals,https://www.crunchbase.com/organization/connect-biopharmaceuticals,Seed,5000000,USD,5000000,2016-11-01
Venture Round - Anyang Phoenix Photovoltaic Technology,https://www.crunchbase.com/funding_round/anyang-phoenix-photovoltaic-technology-series-unknown--d2cb413a,Anyang Phoenix Photovoltaic Technology,https://www.crunchbase.com/organization/anyang-phoenix-photovoltaic-technology,Venture - Series Unknown,,,,2011-06-01
Venture Round - Jiangsu Sanhuan Industrial (Group),https://www.crunchbase.com/funding_round/jiangsu-sanhuan-industrial-group-series-unknown--e3cc1a73,Jiangsu Sanhuan Industrial (Group),https://www.crunchbase.com/organization/jiangsu-sanhuan-industrial-group,Venture - Series Unknown,10000000,CNY,1567118,2011-09-01
Series A - Pinwine.cn,https://www.crunchbase.com/funding_round/pinwine-cn-series-a--d02e1098,Pinwine.cn,https://www.crunchbase.com/organization/pinwine-cn,Series A,15000000,CNY,2315460,2011-06-01
Series C - Yuyuto,https://www.crunchbase.com/funding_round/yuyuto-series-c--44b7b603,Yuyuto,https://www.crunchbase.com/organization/yuyuto,Series C,32000000,USD,32000000,2015-02-24
Series B - Yuyuto,https://www.crunchbase.com/funding_round/yuyuto-series-b--be8cecef,Yuyuto,https://www.crunchbase.com/organization/yuyuto,Series B,45000000,CNY,7413052,2014-02-01
Series B - Huakang Mobile Health,https://www.crunchbase.com/funding_round/huakang-mobile-health-series-b--91b013bb,Huakang Mobile Health,https://www.crunchbase.com/organization/huakang-mobile-health,Series B,32000000,USD,32000000,2015-04-28
Series B - Pinwine.cn,https://www.crunchbase.com/funding_round/pinwine-cn-series-b--20374241,Pinwine.cn,https://www.crunchbase.com/organization/pinwine-cn,Series B,,,,2013-03-01
Series A - LeEco,https://www.crunchbase.com/funding_round/letv-series-a--3802b141,LeEco,https://www.crunchbase.com/organization/letv,Series A,17500000,USD,17500000,2008-08-01
Series A - Connect Biopharmaceuticals,https://www.crunchbase.com/funding_round/connect-biopharmaceuticals-series-a--8509c011,Connect Biopharmaceuticals,https://www.crunchbase.com/organization/connect-biopharmaceuticals,Series A,20000000,USD,20000000,2017-01-23
Series B - Zhenkunhang,https://www.crunchbase.com/funding_round/zhenkunhang-series-b--7905b73d,Zhenkunhang,https://www.crunchbase.com/organization/zhenkunhang,Series B,52000000,USD,52000000,2017-07-12
