Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series C - TuSimple,https://www.crunchbase.com/funding_round/tusimple-llc-series-c--ff293ad1,TuSimple,https://www.crunchbase.com/organization/tusimple-llc,Series C,55000000,USD,55000000,2017-11-21
Series A - Xiaoniujh.com,https://www.crunchbase.com/funding_round/xiaoniujh-com-series-a--7d786f79,Xiaoniujh.com,https://www.crunchbase.com/organization/xiaoniujh-com,Series A,,,,2018-04-10
Series B - TuSimple,https://www.crunchbase.com/funding_round/tusimple-llc-series-b--24ad2568,TuSimple,https://www.crunchbase.com/organization/tusimple-llc,Series B,20000000,USD,20000000,2017-08-04
Series A - InMyShow,https://www.crunchbase.com/funding_round/inmyshow-series-a--2dfea107,InMyShow,https://www.crunchbase.com/organization/inmyshow,Series A,4000000,USD,4000000,2009-12-01
Series C - GeoTMT,https://www.crunchbase.com/funding_round/geotmt-series-c--9fb9468a,GeoTMT,https://www.crunchbase.com/organization/geotmt,Series C,,,,2014-05-01
Series B - InMyShow,https://www.crunchbase.com/funding_round/inmyshow-series-b--0dc28f72,InMyShow,https://www.crunchbase.com/organization/inmyshow,Series B,12000000,USD,12000000,2013-06-10
Series E - Miaopai,https://www.crunchbase.com/funding_round/miaopai-series-e--7aa7f95a,Miaopai,https://www.crunchbase.com/organization/miaopai,Series E,500000000,USD,500000000,2016-11-22
Series A - Taobao Movie,https://www.crunchbase.com/funding_round/taobao-movie-series-a--cc0c0050,Taobao Movie,https://www.crunchbase.com/organization/taobao-movie,Series A,1700000000,CNY,260476957,2016-05-16
Series C - GWC,https://www.crunchbase.com/funding_round/great-wall-club-series-c--7d374584,GWC,https://www.crunchbase.com/organization/great-wall-club,Series C,,,,2015-01-01
Series B - Miaopai,https://www.crunchbase.com/funding_round/miaopai-series-b--b161363a,Miaopai,https://www.crunchbase.com/organization/miaopai,Series B,25000000,USD,25000000,2013-08-29
Series C - Miaopai,https://www.crunchbase.com/funding_round/miaopai-series-c--638ab5a3,Miaopai,https://www.crunchbase.com/organization/miaopai,Series C,50000000,USD,50000000,2014-09-25
Series C - Travelzen.com,https://www.crunchbase.com/funding_round/travelzen-com-series-c--26725184,Travelzen.com,https://www.crunchbase.com/organization/travelzen-com,Series C,93000000,USD,93000000,2016-03-22
Series A - GWC,https://www.crunchbase.com/funding_round/great-wall-club-series-a--350409ef,GWC,https://www.crunchbase.com/organization/great-wall-club,Series A,,,,2012-01-01
Angel Round - TuSimple,https://www.crunchbase.com/funding_round/tusimple-llc-angel--b688fb6f,TuSimple,https://www.crunchbase.com/organization/tusimple-llc,Angel,50000000,CNY,8071100,2015-01-01
Seed Round - Deep AR,https://www.crunchbase.com/funding_round/deep-ar-seed--f70cec04,Deep AR,https://www.crunchbase.com/organization/deep-ar,Seed,6000000,CNY,968940,2015-03-26
