Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Aikucun,https://www.crunchbase.com/funding_round/aikucun-series-b--9bfe559c,Aikucun,https://www.crunchbase.com/organization/aikucun,Series B,110000000,USD,110000000,2018-10-26
Series A - Hui'an Jinke (Ahi Fintech),https://www.crunchbase.com/funding_round/hui-an-jinke-ahi-fintech-series-a--238e7f9a,Hui'an Jinke (Ahi Fintech),https://www.crunchbase.com/organization/hui-an-jinke-ahi-fintech,Series A,100000000,CNY,14626646,2018-08-08
Series B - 7Net,https://www.crunchbase.com/funding_round/7net-series-b--ce1f1c91,7Net,https://www.crunchbase.com/organization/7net,Series B,200000000,CNY,29891791,2018-07-16
Series B - Dongpin.cn,https://www.crunchbase.com/funding_round/dongpin-cn-series-b--371eae33,Dongpin.cn,https://www.crunchbase.com/organization/dongpin-cn,Series B,18000000,USD,18000000,2018-07-03
Series B - Weijiechengpei,https://www.crunchbase.com/funding_round/weijiechengpei-series-b--43d6231a,Weijiechengpei,https://www.crunchbase.com/organization/weijiechengpei,Series B,18000000,USD,18000000,2018-06-12
Series A - VIPCODE,https://www.crunchbase.com/funding_round/vipcode-series-a--56f78038,VIPCODE,https://www.crunchbase.com/organization/vipcode,Series A,,,,2018-06-01
Post-IPO Equity - Yonghui Superstores,https://www.crunchbase.com/funding_round/yonghui-superstores-post-ipo-equity--ffa9e846,Yonghui Superstores,https://www.crunchbase.com/organization/yonghui-superstores,Post-IPO Equity,37500000,CNY,5840302,2018-05-29
Angel Round - Chuangxinqizhi,https://www.crunchbase.com/funding_round/chuangxinqizhi-angel--4a95c981,Chuangxinqizhi,https://www.crunchbase.com/organization/chuangxinqizhi,Angel,15700000,USD,15700000,2018-05-23
Seed Round - Happyseed,https://www.crunchbase.com/funding_round/happyseed-seed--0f8266e1,Happyseed,https://www.crunchbase.com/organization/happyseed,Seed,,,,2018-05-18
Series B - Fictiv,https://www.crunchbase.com/funding_round/fictiv-series-b--71361e83,Fictiv,https://www.crunchbase.com/organization/fictiv,Series B,15000000,USD,15000000,2018-05-08
Seed Round - ClassWallet,https://www.crunchbase.com/funding_round/classwallet-seed--aa218c8d,ClassWallet,https://www.crunchbase.com/organization/classwallet,Seed,2300000,USD,2300000,2018-05-07
Series D - VIPKID,https://www.crunchbase.com/funding_round/vipkid-series-d--04fe83a4,VIPKID,https://www.crunchbase.com/organization/vipkid,Series D,500000000,USD,500000000,2018-04-27
