Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - Peanut.ai,https://www.crunchbase.com/funding_round/peanut-ai-series-a--54dfe6c7,Peanut.ai,https://www.crunchbase.com/organization/peanut-ai,Series A,,,,2018-08-27
Series A - Commsat,https://www.crunchbase.com/funding_round/commsat-series-a--31d6ef87,Commsat,https://www.crunchbase.com/organization/commsat,Series A,16000000,USD,16000000,2018-02-07
Seed Round - ShapeJoy,https://www.crunchbase.com/funding_round/shapejoy-seed--105a8e16,ShapeJoy,https://www.crunchbase.com/organization/shapejoy,Seed,,,,2017-12-01
Seed Round - WrapSpeed InsurTech,https://www.crunchbase.com/funding_round/wrapspeed-insurtech-seed--62505edb,WrapSpeed InsurTech,https://www.crunchbase.com/organization/wrapspeed-insurtech,Seed,,,,2017-11-01
Seed Round - MajorDD,https://www.crunchbase.com/funding_round/majordd-seed--fdbeb272,MajorDD,https://www.crunchbase.com/organization/majordd,Seed,,,,2017-11-15
Series A - Qysea,https://www.crunchbase.com/funding_round/qysea-series-a--930bfc84,Qysea,https://www.crunchbase.com/organization/qysea,Series A,,,,2017-07-15
Seed Round - Location Hunter,https://www.crunchbase.com/funding_round/location-hunter-seed--bbd3c4ea,Location Hunter,https://www.crunchbase.com/organization/location-hunter,Seed,,,,2017-03-15
Seed Round - Motoilet,https://www.crunchbase.com/funding_round/motoilet-seed--8cc59179,Motoilet,https://www.crunchbase.com/organization/motoilet,Seed,,,,2016-10-01
Series A - Tsing Pu,https://www.crunchbase.com/funding_round/tsing-pu-series-a--a279ac61,Tsing Pu,https://www.crunchbase.com/organization/tsing-pu,Series A,,,,2016-12-01
Seed Round - Yuexi,https://www.crunchbase.com/funding_round/yuexi-seed--6ab79532,Yuexi,https://www.crunchbase.com/organization/yuexi,Seed,,,,2016-03-01
Seed Round - Eqingdan,https://www.crunchbase.com/funding_round/eqingdan-seed--aa4f54be,Eqingdan,https://www.crunchbase.com/organization/eqingdan,Seed,,,,2014-12-30
Series B - Holatek,https://www.crunchbase.com/funding_round/holatek-series-b--21e406b3,Holatek,https://www.crunchbase.com/organization/holatek,Series B,200000000,CNY,32353161,2015-06-03
Seed Round - Feiliu,https://www.crunchbase.com/funding_round/feiliu-tech-seed--f3e87690,Feiliu,https://www.crunchbase.com/organization/feiliu-tech,Seed,,,,2017-06-01
Series A - Vinci,https://www.crunchbase.com/funding_round/vinci-2-series-a--c52b171a,Vinci,https://www.crunchbase.com/organization/vinci-2,Series A,35000000,CNY,5244570,2016-09-01
Series B - iPIN,https://www.crunchbase.com/funding_round/ipin-com-series-b--2b6eb167,iPIN,https://www.crunchbase.com/organization/ipin-com,Series B,,,,2017-05-15
Series A - Newrank.cn,https://www.crunchbase.com/funding_round/newrank-cn-series-a--a72fe2de,Newrank.cn,https://www.crunchbase.com/organization/newrank-cn,Series A,20200000,CNY,3183669,2015-10-14
Seed Round - Crazyfire,https://www.crunchbase.com/funding_round/crazyfire-seed--c6577e4e,Crazyfire,https://www.crunchbase.com/organization/crazyfire,Seed,,,,2015-08-14
Series A - Muzen Radio,https://www.crunchbase.com/funding_round/musen-radio-series-a--81a310d1,Muzen Radio,https://www.crunchbase.com/organization/musen-radio,Series A,,,,2017-01-14
