Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Debt Financing - Prodigy Finance,https://www.crunchbase.com/funding_round/prodigy-finance-debt-financing--fd48e88e,Prodigy Finance,https://www.crunchbase.com/organization/prodigy-finance,Debt Financing,760000000,GBP,996823281,2018-09-24
Venture Round - Plaid inc,https://www.crunchbase.com/funding_round/plaid-inc-series-unknown--8ce03f8b,Plaid inc,https://www.crunchbase.com/organization/plaid-inc,Venture - Series Unknown,2700000000,JPY,25128785,2018-04-19
Debt Financing - EnfraGen Capital,https://www.crunchbase.com/funding_round/enfragen-capital-debt-financing--32bf575b,EnfraGen Capital,https://www.crunchbase.com/organization/enfragen-capital,Debt Financing,700000000,USD,700000000,2018-07-11
Debt Financing - Cinnamon Inc.,https://www.crunchbase.com/funding_round/cinnamon-debt-financing--86f58ab8,Cinnamon Inc.,https://www.crunchbase.com/organization/cinnamon,Debt Financing,,,,2018-06-01
Debt Financing - Reliance Jio Infocomm Limited,https://www.crunchbase.com/funding_round/reliance-jio-infocomm-ltd-debt-financing--9f417575,Reliance Jio Infocomm Limited,https://www.crunchbase.com/organization/reliance-jio-infocomm-ltd,Debt Financing,500000000,USD,500000000,2018-04-14
Debt Financing - Sonnedix,https://www.crunchbase.com/funding_round/sonnedix-debt-financing--1aacdcf2,Sonnedix,https://www.crunchbase.com/organization/sonnedix,Debt Financing,16500000000,JPY,149357992,2018-07-06
Series A - Chordia Therapeutics,https://www.crunchbase.com/funding_round/chordia-therapeutics-series-a--2ecd9d4e,Chordia Therapeutics,https://www.crunchbase.com/organization/chordia-therapeutics,Series A,,,,2017-11-23
Series C - Xevo,https://www.crunchbase.com/funding_round/xevoinc-series-c--644972a8,Xevo,https://www.crunchbase.com/organization/xevoinc,Series C,10205478,USD,10205478,2016-01-13
Debt Financing - Waypoint Leasing Services,https://www.crunchbase.com/funding_round/waypoint-leasing-services-debt-financing--2b13f99d,Waypoint Leasing Services,https://www.crunchbase.com/organization/waypoint-leasing-services,Debt Financing,87500000,USD,87500000,2017-09-05
Post-IPO Debt - Canadian Solar,https://www.crunchbase.com/funding_round/canadian-solar-post-ipo-debt--606a736b,Canadian Solar,https://www.crunchbase.com/organization/canadian-solar,Post-IPO Debt,9600000000,JPY,92581519,2016-10-13
Series D - Sansan,https://www.crunchbase.com/funding_round/sansan-series-d--336966da,Sansan,https://www.crunchbase.com/organization/sansan,Series D,38000000,USD,38000000,2017-08-07
Post-IPO Debt - First Gen Corporation,https://www.crunchbase.com/funding_round/first-gen-corporation-post-ipo-debt--e1aa83be,First Gen Corporation,https://www.crunchbase.com/organization/first-gen-corporation,Post-IPO Debt,500000000,USD,500000000,2017-04-24
