Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series A - KaDa Story,https://www.crunchbase.com/funding_round/kada-story-series-a--a96c4f3a,KaDa Story,https://www.crunchbase.com/organization/kada-story,Series A,14000000,USD,14000000,2018-10-30
Series C - Qinbaobao,https://www.crunchbase.com/funding_round/qinbaobao-series-c--0279371b,Qinbaobao,https://www.crunchbase.com/organization/qinbaobao,Series C,,,,2018-10-29
Angel Round - Julyedu.com,https://www.crunchbase.com/funding_round/julyedu-com-angel--c8d1be02,Julyedu.com,https://www.crunchbase.com/organization/julyedu-com,Angel,10000000,CNY,1440092,2018-10-24
Series B - Shanghai AllDream Network Technology Co.,https://www.crunchbase.com/funding_round/shanghai-alldream-network-technology-co-series-b--ea5d9e45,Shanghai AllDream Network Technology Co.,https://www.crunchbase.com/organization/shanghai-alldream-network-technology-co,Series B,17500000,USD,17500000,2018-09-12
Seed Round - Yuangaofen,https://www.crunchbase.com/funding_round/yuangaofen-seed--8fcd30e9,Yuangaofen,https://www.crunchbase.com/organization/yuangaofen,Seed,,,,2018-08-03
Series C - Haifeng Education,https://www.crunchbase.com/funding_round/haifeng-education-series-c--9759d056,Haifeng Education,https://www.crunchbase.com/organization/haifeng-education,Series C,,,,2018-07-04
Series A - Hualala,https://www.crunchbase.com/funding_round/hualala-series-a--94ef5f2c,Hualala,https://www.crunchbase.com/organization/hualala,Series A,,,,2018-06-14
Series B - Jisuanke,https://www.crunchbase.com/funding_round/jisuanke-series-b--bbfb0090,Jisuanke,https://www.crunchbase.com/organization/jisuanke,Series B,,,,2018-06-11
Angel Round - Zhishiquan,https://www.crunchbase.com/funding_round/zhishiquan-angel--ae84c6e5,Zhishiquan,https://www.crunchbase.com/organization/zhishiquan,Angel,,,,2018-06-04
Series A - Capital Science,https://www.crunchbase.com/funding_round/capital-science-series-a--94b17f9e,Capital Science,https://www.crunchbase.com/organization/capital-science,Series A,,,,2018-05-23
