Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Series B - Cambricon Technologies,https://www.crunchbase.com/funding_round/cambricon-technologies-series-b--67291b32,Cambricon Technologies,https://www.crunchbase.com/organization/cambricon-technologies,Series B,100000000,USD,100000000,2018-06-20
Series A - YEESTOR,https://www.crunchbase.com/funding_round/yeestor-series-a--828d053b,YEESTOR,https://www.crunchbase.com/organization/yeestor,Series A,47800000,USD,47800000,2018-04-16
Series B - F5 Future Store,https://www.crunchbase.com/funding_round/f5-future-store-series-b--c07108b9,F5 Future Store,https://www.crunchbase.com/organization/f5-future-store,Series B,,,,2018-06-04
Series C - Wonder Workshop,https://www.crunchbase.com/funding_round/play-i-series-c--55539a37,Wonder Workshop,https://www.crunchbase.com/organization/play-i,Series C,41000000,USD,41000000,2017-10-30
Series A - F5 Future Store,https://www.crunchbase.com/funding_round/f5-future-store-series-a--d747feaa,F5 Future Store,https://www.crunchbase.com/organization/f5-future-store,Series A,12000000,CNY,1743489,2017-03-01
Series C - Yuyuto,https://www.crunchbase.com/funding_round/yuyuto-series-c--44b7b603,Yuyuto,https://www.crunchbase.com/organization/yuyuto,Series C,32000000,USD,32000000,2015-02-24
Series E - Kateeva,https://www.crunchbase.com/funding_round/kateeva-series-e--39f1a783,Kateeva,https://www.crunchbase.com/organization/kateeva,Series E,88000000,USD,88000000,2016-05-19
Series B - Wonder Workshop,https://www.crunchbase.com/funding_round/play-i-series-b--c30be204,Wonder Workshop,https://www.crunchbase.com/organization/play-i,Series B,20000000,USD,20000000,2016-07-28
Series B - SenseTime,https://www.crunchbase.com/funding_round/sensetime-series-b--e324b168,SenseTime,https://www.crunchbase.com/organization/sensetime,Series B,410000000,USD,410000000,2017-07-11
Angel Round - F5 Future Store,https://www.crunchbase.com/funding_round/f5-future-store-angel--30fba321,F5 Future Store,https://www.crunchbase.com/organization/f5-future-store,Angel,10000000,CNY,1539939,2016-01-01
